,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Erik Pieters,"€ 27,115","€ 1,410,000","€ 1,439,986",D,29,Netherlands,Amiens,Ligue 1,2018-2019
2,Serhou Guirassy,"€ 15,288","€ 795,000","€ 811,907",F,22,France,Amiens,Ligue 1,2018-2019
3,Juan Ferney Otero,"€ 14,731","€ 766,000","€ 782,290",F,23,Colombia,Amiens,Ligue 1,2018-2019
4,Guessouma Fofana,"€ 12,385","€ 644,000","€ 657,696",M,25,France,Amiens,Ligue 1,2018-2019
5,Saman Ghoddos,"€ 12,154","€ 632,000","€ 645,440",F,24,Iran,Amiens,Ligue 1,2018-2019
6,Emil Krafth,"€ 10,673","€ 555,000","€ 566,803",D,23,Sweden,Amiens,Ligue 1,2018-2019
7,Bakaye Dibassy,"€ 10,596","€ 551,000","€ 562,718",D,28,Mali,Amiens,Ligue 1,2018-2019
8,Moussa Konaté,"€ 9,192","€ 478,000","€ 488,165",F,25,Senegal,Amiens,Ligue 1,2018-2019
9,Alexis Blin,"€ 9,096","€ 473,000","€ 483,059",M,21,France,Amiens,Ligue 1,2018-2019
10,Quentin Cornette,"€ 8,135","€ 423,000","€ 431,996",F,24,France,Amiens,Ligue 1,2018-2019
11,Ganso,"€ 7,808","€ 406,000","€ 414,634",M,28,Brazil,Amiens,Ligue 1,2018-2019
12,Jordan Lefort,"€ 7,481","€ 389,000","€ 397,273",D,24,France,Amiens,Ligue 1,2018-2019
13,Stiven Mendoza,"€ 6,981","€ 363,000","€ 370,720",F,26,Colombia,Amiens,Ligue 1,2018-2019
14,Matthieu Dreyer,"€ 6,654","€ 346,000","€ 353,358",K,29,France,Amiens,Ligue 1,2018-2019
15,Régis Gurtner,"€ 6,500","€ 338,000","€ 345,188",K,31,France,Amiens,Ligue 1,2018-2019
16,Bachibou Koita,"€ 6,250","€ 325,000","€ 331,912",F,24,Niger,Amiens,Ligue 1,2018-2019
17,Prince Gouano,"€ 5,750","€ 299,000","€ 305,359",D,24,France,Amiens,Ligue 1,2018-2019
18,Bongani Zungu,"€ 5,750","€ 299,000","€ 305,359",M,25,South Africa,Amiens,Ligue 1,2018-2019
19,Rafal Kurzawa,"€ 5,750","€ 299,000","€ 305,359",M,25,Poland,Amiens,Ligue 1,2018-2019
20,Mathieu Bodmer,"€ 4,596","€ 239,000","€ 244,083",M,35,France,Amiens,Ligue 1,2018-2019
21,Thomas Monconduit,"€ 4,596","€ 239,000","€ 244,083",M,27,France,Amiens,Ligue 1,2018-2019
22,Khaled Adénon,"€ 3,500","€ 182,000","€ 185,871",D,32,Benin,Amiens,Ligue 1,2018-2019
23,Oualid El Hajjam,"€ 3,442","€ 179,000","€ 182,807",D,27,Morocco,Amiens,Ligue 1,2018-2019
24,Eddy Gnahoré,"€ 2,865","€ 149,000","€ 152,169",M,24,France,Amiens,Ligue 1,2018-2019
25,Stanley Segarel,"€ 2,769","€ 144,000","€ 147,062",F,24,France,Amiens,Ligue 1,2018-2019
26,Cheick Timite,"€ 2,558","€ 133,000","€ 135,828",F,20,Cote d'Ivoire,Amiens,Ligue 1,2018-2019
27,Gaoussou Traoré,"€ 1,788","€ 93,000","€ 94,978",F,18,France,Amiens,Ligue 1,2018-2019
28,Martin Gneba,"€ 1,577","€ 82,000","€ 83,744",F,19,France,Amiens,Ligue 1,2018-2019
29,Gauthier Banaziak,"€ 1,096","€ 57,000","€ 58,212",K,21,France,Amiens,Ligue 1,2018-2019
30,Mathurin Sakho,€ 808,"€ 42,000","€ 42,893",D,23,France,Amiens,Ligue 1,2018-2019
31,Valentin Gendrey,€ 385,"€ 20,000","€ 20,425",D,18,France,Amiens,Ligue 1,2018-2019
32,Réda Rabeï,€ 0,€ 0,€ 0,M,23,Algeria,Amiens,Ligue 1,2018-2019
33,Yannick Mamilonne,€ 0,€ 0,€ 0,F,26,Guadeloupe,Amiens,Ligue 1,2018-2019
34,Brighton Labeau,€ 0,€ 0,€ 0,F,22,France,Amiens,Ligue 1,2018-2019
35,Sanasi Sy,€ 0,€ 0,€ 0,D,18,France,Amiens,Ligue 1,2018-2019
36,Madih Talal,€ 0,€ 0,€ 0,M,20,France,Amiens,Ligue 1,2018-2019
