,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Yann Karamoh,"€ 35,577","€ 1,850,000","€ 1,889,343",F,19,France,Bordeaux,Ligue 1,2018-2019
2,Nicolas de Préville,"€ 27,596","€ 1,435,000","€ 1,465,518",F,27,France,Bordeaux,Ligue 1,2018-2019
3,Benoît Costil,"€ 27,596","€ 1,435,000","€ 1,465,518",K,30,France,Bordeaux,Ligue 1,2018-2019
4,Andreas Cornelius,"€ 24,904","€ 1,295,000","€ 1,322,540",F,25,Denmark,Bordeaux,Ligue 1,2018-2019
5,François Kamano,"€ 23,058","€ 1,199,000","€ 1,224,499",F,22,Guinea,Bordeaux,Ligue 1,2018-2019
6,Gaëtan Laborde,"€ 20,692","€ 1,076,000","€ 1,098,883",F,24,France,Bordeaux,Ligue 1,2018-2019
7,Otávio,"€ 18,596","€ 967,000","€ 987,565",M,24,Brazil,Bordeaux,Ligue 1,2018-2019
8,Younousse Sankharé,"€ 18,404","€ 957,000","€ 977,352",M,28,Senegal,Bordeaux,Ligue 1,2018-2019
9,Jimmy Briand,"€ 18,404","€ 957,000","€ 977,352",F,32,France,Bordeaux,Ligue 1,2018-2019
10,Paul Baysse,"€ 17,250","€ 897,000","€ 916,076",D,30,France,Bordeaux,Ligue 1,2018-2019
11,Jaroslav Plasil,"€ 17,250","€ 897,000","€ 916,076",M,36,Czech Republic,Bordeaux,Ligue 1,2018-2019
12,Alexandre Mendy,"€ 16,827","€ 875,000","€ 893,608",F,24,France,Bordeaux,Ligue 1,2018-2019
13,Pablo,"€ 13,808","€ 718,000","€ 733,269",D,27,Brazil,Bordeaux,Ligue 1,2018-2019
14,Youssouf Sabaly,"€ 12,635","€ 657,000","€ 670,972",D,25,Senegal,Bordeaux,Ligue 1,2018-2019
15,Lukas Lerager,"€ 12,500","€ 650,000","€ 663,823",M,24,Denmark,Bordeaux,Ligue 1,2018-2019
16,Samuel Kalu,"€ 12,500","€ 650,000","€ 663,823",F,20,Nigeria,Bordeaux,Ligue 1,2018-2019
17,Théo Pellenard,"€ 10,385","€ 540,000","€ 551,484",D,24,France,Bordeaux,Ligue 1,2018-2019
18,Jules Koundé,"€ 9,673","€ 503,000","€ 513,697",D,19,France,Bordeaux,Ligue 1,2018-2019
19,Igor Lewczuk,"€ 9,558","€ 497,000","€ 507,569",D,33,Poland,Bordeaux,Ligue 1,2018-2019
20,Zaydou Youssouf,"€ 9,135","€ 475,000","€ 485,102",F,18,France,Bordeaux,Ligue 1,2018-2019
21,Maxime Poundjé,"€ 8,058","€ 419,000","€ 427,911",D,25,France,Bordeaux,Ligue 1,2018-2019
22,Milan Gajic,"€ 8,058","€ 419,000","€ 427,911",D,22,Serbia,Bordeaux,Ligue 1,2018-2019
23,Josh Maja,"€ 7,596","€ 395,000","€ 403,400",F,19,England,Bordeaux,Ligue 1,2018-2019
24,Paul Bernardoni,"€ 7,019","€ 365,000","€ 372,762",K,21,France,Bordeaux,Ligue 1,2018-2019
25,Vukasin Jovanovic,"€ 7,000","€ 364,000","€ 371,741",D,22,Serbia,Bordeaux,Ligue 1,2018-2019
26,Jérôme Prior,"€ 6,827","€ 355,000","€ 362,550",K,22,France,Bordeaux,Ligue 1,2018-2019
27,Aurélien Tchouameni,"€ 6,154","€ 320,000","€ 326,805",M,18,France,Bordeaux,Ligue 1,2018-2019
28,Toma Basic,"€ 5,769","€ 300,000","€ 306,380",M,21,Croatia,Bordeaux,Ligue 1,2018-2019
29,Yacine Adli,"€ 4,808","€ 250,000","€ 255,317",M,17,France,Bordeaux,Ligue 1,2018-2019
30,Gaëtan Poussin,"€ 4,231","€ 220,000","€ 224,679",K,19,France,Bordeaux,Ligue 1,2018-2019
31,Sergi Palencia,"€ 4,038","€ 210,000","€ 214,466",D,22,Spain,Bordeaux,Ligue 1,2018-2019
32,Driss Trichard,"€ 3,058","€ 159,000","€ 162,381",D,23,France,Bordeaux,Ligue 1,2018-2019
33,Yassine Benrahou,"€ 2,308","€ 120,000","€ 122,552",M,19,Morocco,Bordeaux,Ligue 1,2018-2019
34,Alexandre Lauray,"€ 2,096","€ 109,000","€ 111,318",D,21,France,Bordeaux,Ligue 1,2018-2019
35,Over Mandanda,"€ 1,846","€ 96,000","€ 98,042",K,19,France,Bordeaux,Ligue 1,2018-2019
36,Till Cissokho,"€ 1,308","€ 68,000","€ 69,446",D,18,France,Bordeaux,Ligue 1,2018-2019
37,Thomas Carrique,"€ 1,192","€ 62,000","€ 63,319",D,19,France,Bordeaux,Ligue 1,2018-2019
38,Valentín Vada,"€ 1,135","€ 59,000","€ 60,255",M,22,Argentina,Bordeaux,Ligue 1,2018-2019
39,Albert Lottin,"€ 1,096","€ 57,000","€ 58,212",M,16,France,Bordeaux,Ligue 1,2018-2019
40,Daniel Mancini,€ 0,€ 0,€ 0,M,21,Argentina,Bordeaux,Ligue 1,2018-2019
41,Jonathan Cafú,€ 0,€ 0,€ 0,F,26,Brazil,Bordeaux,Ligue 1,2018-2019
42,Aaron Boupendza,€ 0,€ 0,€ 0,F,21,Gabon,Bordeaux,Ligue 1,2018-2019
43,Raoul Bellanova,€ 0,€ 0,€ 0,D,18,Italy,Bordeaux,Ligue 1,2018-2019
