,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Paul Baysse,"€ 17,250","€ 897,000","€ 916,076",D,30,France,Caen,Ligue 1,2018-2019
2,Claudio Beauvue,"€ 16,962","€ 882,000","€ 900,757",F,30,Guadeloupe,Caen,Ligue 1,2018-2019
3,Ronny Rodelin,"€ 16,096","€ 837,000","€ 854,800",F,28,France,Caen,Ligue 1,2018-2019
4,Fayçal Fajr,"€ 11,500","€ 598,000","€ 610,717",M,29,Morocco,Caen,Ligue 1,2018-2019
5,Enzo Crivelli,"€ 11,500","€ 598,000","€ 610,717",F,23,France,Caen,Ligue 1,2018-2019
6,Prince Oniangué,"€ 11,135","€ 579,000","€ 591,313",M,29,Congo,Caen,Ligue 1,2018-2019
7,Romain Genevois,"€ 10,346","€ 538,000","€ 549,441",D,30,Haiti,Caen,Ligue 1,2018-2019
8,Malik Tchokounté,"€ 9,365","€ 487,000","€ 497,357",F,29,France,Caen,Ligue 1,2018-2019
9,Ismaël Diomandé,"€ 9,192","€ 478,000","€ 488,165",M,25,Cote d'Ivoire,Caen,Ligue 1,2018-2019
10,Emmanuel Imorou,"€ 9,096","€ 473,000","€ 483,059",D,29,Benin,Caen,Ligue 1,2018-2019
11,Mouhamadou Dabo,"€ 9,096","€ 473,000","€ 483,059",D,31,France,Caen,Ligue 1,2018-2019
12,Jonathan Gradit,"€ 8,596","€ 447,000","€ 456,506",D,25,France,Caen,Ligue 1,2018-2019
13,Casimir Ninga,"€ 8,058","€ 419,000","€ 427,911",F,25,Chad,Caen,Ligue 1,2018-2019
14,Yacine Bammou,"€ 6,904","€ 359,000","€ 366,635",F,26,Morocco,Caen,Ligue 1,2018-2019
15,Baissama Sankoh,"€ 6,904","€ 359,000","€ 366,635",M,26,Guinea,Caen,Ligue 1,2018-2019
16,Brice Samba,"€ 6,904","€ 359,000","€ 366,635",K,24,France,Caen,Ligue 1,2018-2019
17,Alexander Djiku,"€ 6,904","€ 359,000","€ 366,635",D,23,France,Caen,Ligue 1,2018-2019
18,Jan Repas,"€ 6,904","€ 359,000","€ 366,635",F,21,Slovenia,Caen,Ligue 1,2018-2019
19,Frédéric Guilbert,"€ 6,904","€ 359,000","€ 366,635",D,23,France,Caen,Ligue 1,2018-2019
20,Stef Peeters,"€ 6,904","€ 359,000","€ 366,635",M,26,Belgium,Caen,Ligue 1,2018-2019
21,Aly Ndom,"€ 6,346","€ 330,000","€ 337,018",M,22,France,Caen,Ligue 1,2018-2019
22,Jessy Deminguet,"€ 6,135","€ 319,000","€ 325,784",M,20,France,Caen,Ligue 1,2018-2019
23,Adama Mbengue,"€ 5,808","€ 302,000","€ 308,423",D,24,Senegal,Caen,Ligue 1,2018-2019
24,Paul Reulet,"€ 4,596","€ 239,000","€ 244,083",K,24,France,Caen,Ligue 1,2018-2019
25,Erwin Zelazny,"€ 4,135","€ 215,000","€ 219,572",K,26,France,Caen,Ligue 1,2018-2019
26,Yoël Armougom,"€ 3,135","€ 163,000","€ 166,466",D,20,France,Caen,Ligue 1,2018-2019
27,Issa Marega,"€ 2,231","€ 116,000","€ 118,467",D,20,France,Caen,Ligue 1,2018-2019
28,Younn Zahary,"€ 1,827","€ 95,000","€ 97,020",D,19,France,Caen,Ligue 1,2018-2019
29,Herman Moussaki,"€ 1,808","€ 94,000","€ 95,999",F,19,Congo,Caen,Ligue 1,2018-2019
30,Jad Mouaddib,"€ 1,788","€ 93,000","€ 94,978",M,19,France,Caen,Ligue 1,2018-2019
31,Godson Kyeremeh,"€ 1,750","€ 91,000","€ 92,935",M,18,France,Caen,Ligue 1,2018-2019
32,Evens Joseph,"€ 1,135","€ 59,000","€ 60,255",F,18,France,Caen,Ligue 1,2018-2019
33,Thomas Callens,"€ 1,058","€ 55,000","€ 56,170",K,19,France,Caen,Ligue 1,2018-2019
34,Brice Tutu,€ 654,"€ 34,000","€ 34,723",F,20,France,Caen,Ligue 1,2018-2019
35,Timo Stavitski,€ 0,€ 0,€ 0,F,18,Finland,Caen,Ligue 1,2018-2019
36,Valentin Voisin,€ 0,€ 0,€ 0,M,22,France,Caen,Ligue 1,2018-2019
37,Saîf-Eddine Khaoui,€ 0,€ 0,€ 0,M,23,Tunisia,Caen,Ligue 1,2018-2019
38,Durel Avounou,€ 0,€ 0,€ 0,M,20,Congo,Caen,Ligue 1,2018-2019
39,Pape Sané,€ 0,€ 0,€ 0,F,26,Senegal,Caen,Ligue 1,2018-2019
