,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Thiago Maia,"€ 57,500","€ 2,990,000","€ 3,053,587",M,21,Brazil,Lille,Ligue 1,2018-2019
2,José Fonte,"€ 57,500","€ 2,990,000","€ 3,053,587",D,34,Portugal,Lille,Ligue 1,2018-2019
3,Loïc Rémy,"€ 41,404","€ 2,153,000","€ 2,198,787",F,31,France,Lille,Ligue 1,2018-2019
4,Thiago Mendes,"€ 41,404","€ 2,153,000","€ 2,198,787",M,26,Brazil,Lille,Ligue 1,2018-2019
5,Xeka,"€ 34,500","€ 1,794,000","€ 1,832,152",M,23,Portugal,Lille,Ligue 1,2018-2019
6,Jérémy Pied,"€ 34,500","€ 1,794,000","€ 1,832,152",D,29,France,Lille,Ligue 1,2018-2019
7,Mike Maignan,"€ 34,500","€ 1,794,000","€ 1,832,152",K,22,France,Lille,Ligue 1,2018-2019
8,Adama Soumaoro,"€ 34,500","€ 1,794,000","€ 1,832,152",D,26,France,Lille,Ligue 1,2018-2019
9,Nicolas Pépé,"€ 34,308","€ 1,784,000","€ 1,821,940",F,23,Cote d'Ivoire,Lille,Ligue 1,2018-2019
10,Edgar Ié,"€ 18,596","€ 967,000","€ 987,565",D,24,Portugal,Lille,Ligue 1,2018-2019
11,Luiz Araújo,"€ 18,596","€ 967,000","€ 987,565",F,22,Brazil,Lille,Ligue 1,2018-2019
12,Jonathan Bamba,"€ 18,115","€ 942,000","€ 962,033",F,22,France,Lille,Ligue 1,2018-2019
13,Zeki Celik,"€ 17,923","€ 932,000","€ 951,820",D,21,Turkey,Lille,Ligue 1,2018-2019
14,Rui Fonte,"€ 15,596","€ 811,000","€ 828,247",F,28,Portugal,Lille,Ligue 1,2018-2019
15,Jonathan Ikoné,"€ 14,135","€ 735,000","€ 750,631",M,20,France,Lille,Ligue 1,2018-2019
16,Youssouf Koné,"€ 11,250","€ 585,000","€ 597,441",D,22,Mali,Lille,Ligue 1,2018-2019
17,Lebo Mothiba,"€ 11,192","€ 582,000","€ 594,377",F,22,South Africa,Lille,Ligue 1,2018-2019
18,Rafael Leão,"€ 7,058","€ 367,000","€ 374,805",F,19,Portugal,Lille,Ligue 1,2018-2019
19,Gabriel Magalhães,"€ 6,462","€ 336,000","€ 343,146",D,20,Brazil,Lille,Ligue 1,2018-2019
20,Adam Jakubech,"€ 5,808","€ 302,000","€ 308,423",K,21,Slovakia,Lille,Ligue 1,2018-2019
21,Hervé Koffi,"€ 5,808","€ 302,000","€ 308,423",K,21,Burkina Faso,Lille,Ligue 1,2018-2019
22,Fodé Ballo-Touré,"€ 4,808","€ 250,000","€ 255,317",D,21,France,Lille,Ligue 1,2018-2019
23,Kouadio-Yves Dabila,"€ 4,154","€ 216,000","€ 220,594",D,21,Cote d'Ivoire,Lille,Ligue 1,2018-2019
24,Boubakary Soumaré,"€ 2,365","€ 123,000","€ 125,616",M,19,France,Lille,Ligue 1,2018-2019
25,Arton Zekaj,"€ 2,135","€ 111,000","€ 113,361",M,18,Kosovo,Lille,Ligue 1,2018-2019
26,Hakim Ouro-Sama,"€ 2,115","€ 110,000","€ 112,339",D,20,Togo,Lille,Ligue 1,2018-2019
27,Reinildo Mandava,"€ 1,442","€ 75,000","€ 76,595",D,24,Mozambique,Lille,Ligue 1,2018-2019
28,Rominigue Kouamé,€ 0,€ 0,€ 0,M,21,Mali,Lille,Ligue 1,2018-2019
29,Yassine Benzia,€ 0,€ 0,€ 0,M,23,Algeria,Lille,Ligue 1,2018-2019
30,Anwar El Ghazi,€ 0,€ 0,€ 0,F,23,Netherlands,Lille,Ligue 1,2018-2019
31,Teddy Okou,€ 0,€ 0,€ 0,F,20,France,Lille,Ligue 1,2018-2019
32,Cheikh Niasse,€ 0,€ 0,€ 0,M,18,Senegal,Lille,Ligue 1,2018-2019
