,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Memphis Depay,"€ 96,923","€ 5,040,000","€ 5,122,774",F,25,Netherlands,Lyon,Ligue 1,2019-2020
2,Anthony Lopes,"€ 92,308","€ 4,800,000","€ 4,878,832",K,28,Portugal,Lyon,Ligue 1,2019-2020
3,Bertrand Traoré,"€ 80,769","€ 4,200,000","€ 4,268,978",F,24,Burkina Faso,Lyon,Ligue 1,2019-2020
4,Houssem Aouar,"€ 69,231","€ 3,600,000","€ 3,659,124",M,21,France,Lyon,Ligue 1,2019-2020
5,Mapou Yanga-Mbiwa,"€ 64,423","€ 3,350,000","€ 3,405,018",D,30,France,Lyon,Ligue 1,2019-2020
6,Jason Denayer,"€ 62,115","€ 3,230,000","€ 3,283,047",D,24,Belgium,Lyon,Ligue 1,2019-2020
7,Marcelo,"€ 62,115","€ 3,230,000","€ 3,283,047",D,32,Brazil,Lyon,Ligue 1,2019-2020
8,Moussa Dembélé,"€ 59,808","€ 3,110,000","€ 3,161,077",F,23,France,Lyon,Ligue 1,2019-2020
9,Joachim Andersen,"€ 59,808","€ 3,110,000","€ 3,161,077",D,23,Denmark,Lyon,Ligue 1,2019-2020
10,Thiago Mendes,"€ 59,615","€ 3,100,000","€ 3,150,912",M,27,Brazil,Lyon,Ligue 1,2019-2020
11,Rafael,"€ 57,692","€ 3,000,000","€ 3,049,270",D,29,Brazil,Lyon,Ligue 1,2019-2020
12,Lucas Tousart,"€ 46,154","€ 2,400,000","€ 2,439,416",M,22,France,Lyon,Ligue 1,2019-2020
13,Bruno Guimarães,"€ 42,885","€ 2,230,000","€ 2,266,624",M,22,Brazil,Lyon,Ligue 1,2019-2020
14,Léo Dubois,"€ 42,308","€ 2,200,000","€ 2,236,131",D,24,France,Lyon,Ligue 1,2019-2020
15,Maxwel Cornet,"€ 41,000","€ 2,132,000","€ 2,167,015",F,22,Cote d'Ivoire,Lyon,Ligue 1,2019-2020
16,Kenny Tete,"€ 34,615","€ 1,800,000","€ 1,829,562",D,23,Netherlands,Lyon,Ligue 1,2019-2020
17,Ciprian Tatarusanu,"€ 34,615","€ 1,800,000","€ 1,829,562",K,33,Romania,Lyon,Ligue 1,2019-2020
18,Jeff Reine-Adélaïde,"€ 34,615","€ 1,800,000","€ 1,829,562",M,21,France,Lyon,Ligue 1,2019-2020
19,Youssouf Koné,"€ 30,769","€ 1,600,000","€ 1,626,277",D,24,Mali,Lyon,Ligue 1,2019-2020
20,Martin Terrier,"€ 23,077","€ 1,200,000","€ 1,219,708",F,22,France,Lyon,Ligue 1,2019-2020
21,Marçal,"€ 23,077","€ 1,200,000","€ 1,219,708",D,30,Brazil,Lyon,Ligue 1,2019-2020
22,Karl Toko Ekambi,"€ 20,000","€ 1,040,000","€ 1,057,080",F,27,Cameroon,Lyon,Ligue 1,2019-2020
23,Jean Lucas,"€ 19,231","€ 1,000,000","€ 1,016,423",M,21,Brazil,Lyon,Ligue 1,2019-2020
24,Oumar Solet,"€ 11,154","€ 580,000","€ 589,526",D,19,France,Lyon,Ligue 1,2019-2020
25,Amine Gouiri,"€ 8,077","€ 420,000","€ 426,898",F,19,France,Lyon,Ligue 1,2019-2020
26,Maxence Caqueret,"€ 6,346","€ 330,000","€ 335,420",M,19,France,Lyon,Ligue 1,2019-2020
27,Anthony Racioppi,"€ 6,346","€ 330,000","€ 335,420",K,20,Switzerland,Lyon,Ligue 1,2019-2020
28,Camilo,"€ 3,462","€ 180,000","€ 182,956",F,20,Brazil,Lyon,Ligue 1,2019-2020
29,Boubacar Fofana,"€ 2,885","€ 150,000","€ 152,463",F,21,France,Lyon,Ligue 1,2019-2020
30,Titouan Thomas,€ 962,"€ 50,000","€ 50,821",F,17,France,Lyon,Ligue 1,2019-2020
31,Rayan Cherki,€ 769,"€ 40,000","€ 40,657",F,16,France,Lyon,Ligue 1,2019-2020
