,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Dimitri Payet,"€ 115,385","€ 6,000,000","€ 6,098,540",F,32,France,Marseille,Ligue 1,2019-2020
2,Kevin Strootman,"€ 115,385","€ 6,000,000","€ 6,098,540",M,29,Netherlands,Marseille,Ligue 1,2019-2020
3,Florian Thauvin,"€ 97,308","€ 5,060,000","€ 5,143,102",F,26,France,Marseille,Ligue 1,2019-2020
4,Steve Mandanda,"€ 83,077","€ 4,320,000","€ 4,390,949",K,34,France,Marseille,Ligue 1,2019-2020
5,Darío Benedetto,"€ 59,615","€ 3,100,000","€ 3,150,912",F,29,Argentina,Marseille,Ligue 1,2019-2020
6,Morgan Sanson,"€ 55,192","€ 2,870,000","€ 2,917,135",M,25,France,Marseille,Ligue 1,2019-2020
7,Boubacar Kamara,"€ 50,577","€ 2,630,000","€ 2,673,193",D,19,France,Marseille,Ligue 1,2019-2020
8,Grégory Sertic,"€ 41,346","€ 2,150,000","€ 2,185,310",M,30,France,Marseille,Ligue 1,2019-2020
9,Valère Germain,"€ 41,346","€ 2,150,000","€ 2,185,310",F,29,France,Marseille,Ligue 1,2019-2020
10,Bouna Sarr,"€ 36,731","€ 1,910,000","€ 1,941,369",D,27,France,Marseille,Ligue 1,2019-2020
11,Duje Caleta-Car,"€ 34,808","€ 1,810,000","€ 1,839,726",D,22,Croatia,Marseille,Ligue 1,2019-2020
12,Valentin Rongier,"€ 33,077","€ 1,720,000","€ 1,748,248",M,24,France,Marseille,Ligue 1,2019-2020
13,Hiroki Sakai,"€ 28,846","€ 1,500,000","€ 1,524,635",D,29,Japan,Marseille,Ligue 1,2019-2020
14,Jordan Amavi,"€ 28,846","€ 1,500,000","€ 1,524,635",D,25,France,Marseille,Ligue 1,2019-2020
15,Maxime López,"€ 27,692","€ 1,440,000","€ 1,463,650",M,21,France,Marseille,Ligue 1,2019-2020
16,Yohann Pelé,"€ 18,462","€ 960,000","€ 975,766",K,36,France,Marseille,Ligue 1,2019-2020
17,Álvaro González,"€ 16,731","€ 870,000","€ 884,288",D,29,Spain,Marseille,Ligue 1,2019-2020
18,Nemanja Radonjic,"€ 15,962","€ 830,000","€ 843,631",F,23,Serbia,Marseille,Ligue 1,2019-2020
19,Saîf-Eddine Khaoui,"€ 3,846","€ 200,000","€ 203,285",F,24,Tunisia,Marseille,Ligue 1,2019-2020
20,Isaac Lihadji,"€ 1,154","€ 60,000","€ 60,985",F,17,France,Marseille,Ligue 1,2019-2020
21,Abdallah Ali Mohamed,€ 962,"€ 50,000","€ 50,821",D,20,Comoros,Marseille,Ligue 1,2019-2020
22,Florian Chabrolle,€ 962,"€ 50,000","€ 50,821",F,21,France,Marseille,Ligue 1,2019-2020
23,Simon Ngapandouetnbu,€ 769,"€ 40,000","€ 40,657",K,16,Cameroon,Marseille,Ligue 1,2019-2020
24,Marley Aké,€ 769,"€ 40,000","€ 40,657",F,18,France,Marseille,Ligue 1,2019-2020
25,Ahmadou Dia,€ 769,"€ 40,000","€ 40,657",K,19,France,Marseille,Ligue 1,2019-2020
26,Alexandre Phliponeau,€ 769,"€ 40,000","€ 40,657",M,19,France,Marseille,Ligue 1,2019-2020
27,Lucas Perrin,€ 769,"€ 40,000","€ 40,657",D,20,France,Marseille,Ligue 1,2019-2020
