,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Wissam Ben Yedder,"€ 150,000","€ 7,800,000","€ 7,928,102",F,29,France,Monaco,Ligue 1,2019-2020
2,Cesc Fàbregas,"€ 138,462","€ 7,200,000","€ 7,318,248",M,32,Spain,Monaco,Ligue 1,2019-2020
3,Gelson Martins,"€ 124,231","€ 6,460,000","€ 6,566,095",F,24,Portugal,Monaco,Ligue 1,2019-2020
4,Tiemoué Bakayoko,"€ 103,846","€ 5,400,000","€ 5,488,686",M,25,France,Monaco,Ligue 1,2019-2020
5,Islam Slimani,"€ 87,692","€ 4,560,000","€ 4,634,890",F,31,Algeria,Monaco,Ligue 1,2019-2020
6,Keita Baldé,"€ 76,923","€ 4,000,000","€ 4,065,693",F,24,Senegal,Monaco,Ligue 1,2019-2020
7,Jean-Kévin Augustin,"€ 76,154","€ 3,960,000","€ 4,025,036",F,22,France,Monaco,Ligue 1,2019-2020
8,Adrien Silva,"€ 74,038","€ 3,850,000","€ 3,913,230",M,30,Portugal,Monaco,Ligue 1,2019-2020
9,Kamil Glik,"€ 67,308","€ 3,500,000","€ 3,557,482",D,31,Poland,Monaco,Ligue 1,2019-2020
10,Stevan Jovetic,"€ 63,462","€ 3,300,000","€ 3,354,197",F,29,Montenegro,Monaco,Ligue 1,2019-2020
11,Danijel Subasic,"€ 61,538","€ 3,200,000","€ 3,252,555",K,34,Croatia,Monaco,Ligue 1,2019-2020
12,Jemerson,"€ 61,538","€ 3,200,000","€ 3,252,555",D,27,Brazil,Monaco,Ligue 1,2019-2020
13,Naldo,"€ 59,038","€ 3,070,000","€ 3,120,420",D,37,Brazil,Monaco,Ligue 1,2019-2020
14,Aleksandr Golovin,"€ 53,846","€ 2,800,000","€ 2,845,985",F,23,Russia,Monaco,Ligue 1,2019-2020
15,Benjamin Henrichs,"€ 43,269","€ 2,250,000","€ 2,286,952",D,22,Germany,Monaco,Ligue 1,2019-2020
16,Jorge,"€ 40,385","€ 2,100,000","€ 2,134,489",D,23,Brazil,Monaco,Ligue 1,2019-2020
17,Gabriel Boschilia,"€ 35,577","€ 1,850,000","€ 1,880,383",F,23,Brazil,Monaco,Ligue 1,2019-2020
18,Guillermo Maripán,"€ 26,923","€ 1,400,000","€ 1,422,993",D,25,Chile,Monaco,Ligue 1,2019-2020
19,Benjamin Lecomte,"€ 25,385","€ 1,320,000","€ 1,341,679",K,28,France,Monaco,Ligue 1,2019-2020
20,Ruben Aguilar,"€ 23,462","€ 1,220,000","€ 1,240,036",D,26,France,Monaco,Ligue 1,2019-2020
21,Diego Benaglio,"€ 22,115","€ 1,150,000","€ 1,168,887",K,36,Switzerland,Monaco,Ligue 1,2019-2020
22,Pietro Pellegri,"€ 22,115","€ 1,150,000","€ 1,168,887",F,18,Italy,Monaco,Ligue 1,2019-2020
23,Henry Onyekuru,"€ 20,962","€ 1,090,000","€ 1,107,901",F,22,Nigeria,Monaco,Ligue 1,2019-2020
24,Fodé Ballo-Touré,"€ 16,154","€ 840,000","€ 853,796",D,22,France,Monaco,Ligue 1,2019-2020
25,Gil Dias,"€ 10,000","€ 520,000","€ 528,540",F,22,Portugal,Monaco,Ligue 1,2019-2020
26,Willem Geubbels,"€ 8,846","€ 460,000","€ 467,555",F,18,France,Monaco,Ligue 1,2019-2020
27,Moussa Sylla,"€ 8,269","€ 430,000","€ 437,062",F,20,France,Monaco,Ligue 1,2019-2020
28,Sofiane Diop,"€ 6,731","€ 350,000","€ 355,748",F,19,France,Monaco,Ligue 1,2019-2020
29,Aurélien Tchouaméni,"€ 6,154","€ 320,000","€ 325,255",M,20,France,Monaco,Ligue 1,2019-2020
30,Seydou Sy,"€ 5,769","€ 300,000","€ 304,927",K,23,Senegal,Monaco,Ligue 1,2019-2020
31,Loïc Badiashile,"€ 4,615","€ 240,000","€ 243,942",K,21,France,Monaco,Ligue 1,2019-2020
32,Youssouf Fofana,"€ 4,615","€ 240,000","€ 243,942",M,21,France,Monaco,Ligue 1,2019-2020
33,Jean Marcelin,"€ 3,846","€ 200,000","€ 203,285",D,19,France,Monaco,Ligue 1,2019-2020
34,Benoît Badiashile,"€ 3,846","€ 200,000","€ 203,285",D,18,France,Monaco,Ligue 1,2019-2020
35,Arthur Zagre,"€ 2,500","€ 130,000","€ 132,135",D,17,France,Monaco,Ligue 1,2019-2020
36,Enzo Millot,€ 769,"€ 40,000","€ 40,657",M,17,France,Monaco,Ligue 1,2019-2020
