,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Anthony Briancon,"€ 18,462","€ 960,000","€ 975,766",D,24,France,Nimes,Ligue 1,2019-2020
2,Lucas Deaux,"€ 11,538","€ 600,000","€ 609,854",M,30,France,Nimes,Ligue 1,2019-2020
3,Renaud Ripart,"€ 11,538","€ 600,000","€ 609,854",F,26,France,Nimes,Ligue 1,2019-2020
4,Paul Bernardoni,"€ 11,538","€ 600,000","€ 609,854",K,22,France,Nimes,Ligue 1,2019-2020
5,Zinedine Ferhat,"€ 9,231","€ 480,000","€ 487,883",M,26,Algeria,Nimes,Ligue 1,2019-2020
6,Moussa Koné,"€ 9,231","€ 480,000","€ 487,883",F,23,Senegal,Nimes,Ligue 1,2019-2020
7,Pablo Martinez,"€ 9,231","€ 480,000","€ 487,883",D,30,France,Nimes,Ligue 1,2019-2020
8,Romain Philippoteaux,"€ 9,231","€ 480,000","€ 487,883",M,31,France,Nimes,Ligue 1,2019-2020
9,Loïck Landre,"€ 8,077","€ 420,000","€ 426,898",D,27,France,Nimes,Ligue 1,2019-2020
10,Lamine Fomba,"€ 8,077","€ 420,000","€ 426,898",M,21,France,Nimes,Ligue 1,2019-2020
11,Sidy Sarr,"€ 7,885","€ 410,000","€ 416,734",M,23,Senegal,Nimes,Ligue 1,2019-2020
12,Nolan Roux,"€ 7,500","€ 390,000","€ 396,405",F,31,France,Nimes,Ligue 1,2019-2020
13,Florian Miguel,"€ 5,000","€ 260,000","€ 264,270",D,23,France,Nimes,Ligue 1,2019-2020
14,Haris Duljevic,"€ 4,615","€ 240,000","€ 243,942",M,25,Bosnia-Herzegovina,Nimes,Ligue 1,2019-2020
15,Sofiane Alakouch,"€ 4,231","€ 220,000","€ 223,613",D,21,France,Nimes,Ligue 1,2019-2020
16,Theo Valls,"€ 3,654","€ 190,000","€ 193,120",M,23,France,Nimes,Ligue 1,2019-2020
17,Gaëtan Paquiez,"€ 2,500","€ 130,000","€ 132,135",D,25,France,Nimes,Ligue 1,2019-2020
18,Yassine Benrahou,"€ 2,500","€ 130,000","€ 132,135",F,21,Morocco,Nimes,Ligue 1,2019-2020
19,Clément Depres,"€ 2,115","€ 110,000","€ 111,807",F,24,France,Nimes,Ligue 1,2019-2020
20,Vlatko Stojanovski,"€ 2,115","€ 110,000","€ 111,807",F,22,North Macedonia,Nimes,Ligue 1,2019-2020
21,Kévin Denkey,"€ 1,538","€ 80,000","€ 81,314",F,18,Togo,Nimes,Ligue 1,2019-2020
22,Lucas Buades,€ 962,"€ 50,000","€ 50,821",D,21,France,Nimes,Ligue 1,2019-2020
23,Lucas Dias,€ 962,"€ 50,000","€ 50,821",K,20,France,Nimes,Ligue 1,2019-2020
24,Kelyan Guessoum,€ 769,"€ 40,000","€ 40,657",D,20,France,Nimes,Ligue 1,2019-2020
25,Théo Sainte-Luce,€ 769,"€ 40,000","€ 40,657",D,20,France,Nimes,Ligue 1,2019-2020
26,Sami Ben Amar,€ 769,"€ 40,000","€ 40,657",F,21,Morocco,Nimes,Ligue 1,2019-2020
