,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jean Lucas,"€ 27,692","€ 1,440,000","€ 1,440,000",M,22,Brazil,Brest,Ligue 1,2020-2021
2,Steve Mounié,"€ 16,154","€ 840,000","€ 840,000",F,26,Benin,Brest,Ligue 1,2020-2021
3,Christophe Hérelle,"€ 12,692","€ 660,000","€ 660,000",D,28,France,Brest,Ligue 1,2020-2021
4,Paul Lasne,"€ 12,692","€ 660,000","€ 660,000",M,31,France,Brest,Ligue 1,2020-2021
5,Romain Philippoteaux,"€ 11,923","€ 620,000","€ 620,000",F,32,France,Brest,Ligue 1,2020-2021
6,Heriberto Tavares,"€ 11,731","€ 610,000","€ 610,000",F,23,Portugal,Brest,Ligue 1,2020-2021
7,Franck Honorat,"€ 11,538","€ 600,000","€ 600,000",M,24,France,Brest,Ligue 1,2020-2021
8,Gautier Larsonneur,"€ 10,385","€ 540,000","€ 540,000",K,23,France,Brest,Ligue 1,2020-2021
9,Haris Belkebla,"€ 10,385","€ 540,000","€ 540,000",M,26,Algeria,Brest,Ligue 1,2020-2021
10,Gaëtan Charbonnier,"€ 9,231","€ 480,000","€ 480,000",F,31,France,Brest,Ligue 1,2020-2021
11,Ronaël Pierre-Gabriel,"€ 9,231","€ 480,000","€ 480,000",D,22,France,Brest,Ligue 1,2020-2021
12,Irvin Cardona,"€ 8,654","€ 450,000","€ 450,000",F,23,France,Brest,Ligue 1,2020-2021
13,Bandiougou Fadiga,"€ 6,346","€ 330,000","€ 330,000",F,20,France,Brest,Ligue 1,2020-2021
14,Romain Faivre,"€ 5,962","€ 310,000","€ 310,000",M,22,France,Brest,Ligue 1,2020-2021
15,Ferris N'Goma,"€ 5,577","€ 290,000","€ 290,000",M,27,France,Brest,Ligue 1,2020-2021
16,Romain Perraud,"€ 4,423","€ 230,000","€ 230,000",D,23,France,Brest,Ligue 1,2020-2021
17,Denys Bain,"€ 4,231","€ 220,000","€ 220,000",D,27,France,Brest,Ligue 1,2020-2021
18,Jean-Kevin Duverne,"€ 4,231","€ 220,000","€ 220,000",D,23,France,Brest,Ligue 1,2020-2021
19,Julien Faussurier,"€ 4,231","€ 220,000","€ 220,000",D,33,France,Brest,Ligue 1,2020-2021
20,Ludovic Baal,"€ 4,038","€ 210,000","€ 210,000",D,34,French Guiana,Brest,Ligue 1,2020-2021
21,Mouez Hassen,"€ 3,846","€ 200,000","€ 200,000",K,25,Tunisia,Brest,Ligue 1,2020-2021
22,Cristian Battocchio,"€ 3,846","€ 200,000","€ 200,000",M,28,Italy,Brest,Ligue 1,2020-2021
23,Lilian Brassier,"€ 1,731","€ 90,000","€ 90,000",D,20,France,Brest,Ligue 1,2020-2021
24,Jérémy Le Douaron,"€ 1,538","€ 80,000","€ 80,000",F,22,France,Brest,Ligue 1,2020-2021
25,Brendan Chardonnet,"€ 1,154","€ 60,000","€ 60,000",D,25,France,Brest,Ligue 1,2020-2021
26,Hianga'a MBock,"€ 1,154","€ 60,000","€ 60,000",M,20,France,Brest,Ligue 1,2020-2021
27,Hugo Magnetti,€ 962,"€ 50,000","€ 50,000",M,22,France,Brest,Ligue 1,2020-2021
28,Sébastien Cibois,€ 962,"€ 50,000","€ 50,000",K,22,France,Brest,Ligue 1,2020-2021
29,Rafiki Saïd,€ 577,"€ 30,000","€ 30,000",F,20,Comoros,Brest,Ligue 1,2020-2021
30,Idrissa Dioh,€ 577,"€ 30,000","€ 30,000",M,21,France,Brest,Ligue 1,2020-2021
