,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Kasper Dolberg,"€ 57,692","€ 3,000,000","€ 3,000,000",F,23,Denmark,Nice,Ligue 1,2020-2021
2,William Saliba,"€ 44,423","€ 2,310,000","€ 2,310,000",D,19,France,Nice,Ligue 1,2020-2021
3,Youcef Atal,"€ 34,615","€ 1,800,000","€ 1,800,000",D,24,Algeria,Nice,Ligue 1,2020-2021
4,Rony Lopes,"€ 34,231","€ 1,780,000","€ 1,780,000",F,24,Portugal,Nice,Ligue 1,2020-2021
5,Morgan Schneiderlin,"€ 29,615","€ 1,540,000","€ 1,540,000",M,30,France,Nice,Ligue 1,2020-2021
6,Dante,"€ 28,846","€ 1,500,000","€ 1,500,000",D,37,Brazil,Nice,Ligue 1,2020-2021
7,Myziane Maolida,"€ 23,269","€ 1,210,000","€ 1,210,000",F,21,France,Nice,Ligue 1,2020-2021
8,Alexis Claude-Maurice,"€ 23,077","€ 1,200,000","€ 1,200,000",F,22,France,Nice,Ligue 1,2020-2021
9,Jeff Reine-Adélaïde,"€ 21,731","€ 1,130,000","€ 1,130,000",M,22,France,Nice,Ligue 1,2020-2021
10,Stanley Nsoki,"€ 20,769","€ 1,080,000","€ 1,080,000",D,21,France,Nice,Ligue 1,2020-2021
11,Walter Benítez,"€ 19,808","€ 1,030,000","€ 1,030,000",K,27,Argentina,Nice,Ligue 1,2020-2021
12,Jean-Clair Todibo,"€ 15,000","€ 780,000","€ 780,000",D,21,France,Nice,Ligue 1,2020-2021
13,Jordan Lotomba,"€ 14,615","€ 760,000","€ 760,000",D,22,Switzerland,Nice,Ligue 1,2020-2021
14,Robson Bambu,"€ 12,692","€ 660,000","€ 660,000",D,22,Brazil,Nice,Ligue 1,2020-2021
15,Racine Coly,"€ 11,923","€ 620,000","€ 620,000",D,24,Senegal,Nice,Ligue 1,2020-2021
16,Danilo,"€ 8,654","€ 450,000","€ 450,000",M,24,Brazil,Nice,Ligue 1,2020-2021
17,Hassane Kamara,"€ 8,077","€ 420,000","€ 420,000",D,26,France,Nice,Ligue 1,2020-2021
18,Amine Gouiri,"€ 8,077","€ 420,000","€ 420,000",F,20,France,Nice,Ligue 1,2020-2021
19,Yoan Cardinale,"€ 6,346","€ 330,000","€ 330,000",K,26,France,Nice,Ligue 1,2020-2021
20,Pierre Lees Melou,"€ 5,577","€ 290,000","€ 290,000",M,27,France,Nice,Ligue 1,2020-2021
21,Hicham Boudaoui,"€ 5,577","€ 290,000","€ 290,000",M,21,Algeria,Nice,Ligue 1,2020-2021
22,Dan Ndoye,"€ 3,846","€ 200,000","€ 200,000",F,19,Switzerland,Nice,Ligue 1,2020-2021
23,Deji Sotona,"€ 3,654","€ 190,000","€ 190,000",F,17,Ireland,Nice,Ligue 1,2020-2021
24,Andy Pelmard,"€ 2,500","€ 130,000","€ 130,000",D,20,France,Nice,Ligue 1,2020-2021
25,Alexis Trouillet,"€ 1,154","€ 60,000","€ 60,000",M,19,France,Nice,Ligue 1,2020-2021
26,Flavius Daniliuc,€ 769,"€ 40,000","€ 40,000",D,19,Austria,Nice,Ligue 1,2020-2021
27,Khéphren Thuram,€ 577,"€ 30,000","€ 30,000",M,19,France,Nice,Ligue 1,2020-2021
28,Teddy Boulhendi,€ 385,"€ 20,000","€ 20,000",K,19,France,Nice,Ligue 1,2020-2021
