,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Cédric Hountondji,"€ 11,538","€ 600,000","€ 600,000",D,28,Benin,Clermont,Ligue 1,2021-2022
2,Mohamed Bayo,"€ 11,538","€ 600,000","€ 600,000",F,23,Guinea,Clermont,Ligue 1,2021-2022
3,Jodel Dossou,"€ 7,692","€ 400,000","€ 400,000",F,29,Benin,Clermont,Ligue 1,2021-2022
4,Grejohn Kyei,"€ 5,769","€ 300,000","€ 300,000",F,26,France,Clermont,Ligue 1,2021-2022
5,Florent Ogier,"€ 5,385","€ 280,000","€ 280,000",D,32,France,Clermont,Ligue 1,2021-2022
6,Vital N'Simba,"€ 4,423","€ 230,000","€ 230,000",D,28,Democratic Republic of the Congo,Clermont,Ligue 1,2021-2022
7,Oriol Busquets,"€ 4,038","€ 210,000","€ 210,000",M,23,Spain,Clermont,Ligue 1,2021-2022
8,Johan Gastien,"€ 3,846","€ 200,000","€ 200,000",M,34,France,Clermont,Ligue 1,2021-2022
9,Alidu Seidu,"€ 3,462","€ 180,000","€ 180,000",D,21,Ghana,Clermont,Ligue 1,2021-2022
10,Arial Mendy,"€ 3,077","€ 160,000","€ 160,000",D,27,Senegal,Clermont,Ligue 1,2021-2022
11,Jean-Claude Billong,"€ 2,885","€ 150,000","€ 150,000",D,28,Cameroon,Clermont,Ligue 1,2021-2022
12,Jason Berthomier,"€ 2,885","€ 150,000","€ 150,000",F,32,France,Clermont,Ligue 1,2021-2022
13,Jérôme Phojo,"€ 2,885","€ 150,000","€ 150,000",D,28,France,Clermont,Ligue 1,2021-2022
14,Pierre-Yves Hamel,"€ 2,885","€ 150,000","€ 150,000",F,27,France,Clermont,Ligue 1,2021-2022
15,Elbasan Rashani,"€ 2,692","€ 140,000","€ 140,000",F,28,Kosovo,Clermont,Ligue 1,2021-2022
16,Jim Allevinah,"€ 2,500","€ 130,000","€ 130,000",F,26,Gabon,Clermont,Ligue 1,2021-2022
17,Brandon Baiye,"€ 2,115","€ 110,000","€ 110,000",M,20,Belgium,Clermont,Ligue 1,2021-2022
18,Saîf-Eddine Khaoui,"€ 1,923","€ 100,000","€ 100,000",F,26,Tunisia,Clermont,Ligue 1,2021-2022
19,Arthur Desmas,"€ 1,538","€ 80,000","€ 80,000",K,27,France,Clermont,Ligue 1,2021-2022
20,Jonathan Iglesias,"€ 1,346","€ 70,000","€ 70,000",F,32,Uruguay,Clermont,Ligue 1,2021-2022
21,Akim Zedadka,"€ 1,154","€ 60,000","€ 60,000",D,26,France,Clermont,Ligue 1,2021-2022
22,Fred Gnalega,€ 962,"€ 50,000","€ 50,000",M,20,Cote d'Ivoire,Clermont,Ligue 1,2021-2022
23,Jordan Tell,€ 962,"€ 50,000","€ 50,000",F,24,France,Clermont,Ligue 1,2021-2022
24,Lucas Da Cunha,€ 962,"€ 50,000","€ 50,000",F,20,France,Clermont,Ligue 1,2021-2022
25,Salis Abdul Samed,€ 962,"€ 50,000","€ 50,000",M,21,Ghana,Clermont,Ligue 1,2021-2022
26,Josué Albert,€ 769,"€ 40,000","€ 40,000",D,30,French Guiana,Clermont,Ligue 1,2021-2022
27,Yohann Magnin,€ 577,"€ 30,000","€ 30,000",M,24,France,Clermont,Ligue 1,2021-2022
28,Lucas Margueron,€ 577,"€ 30,000","€ 30,000",K,20,France,Clermont,Ligue 1,2021-2022
29,Ouparine Djoco,€ 385,"€ 20,000","€ 20,000",K,23,France,Clermont,Ligue 1,2021-2022
30,Naël Jaby,€ 385,"€ 20,000","€ 20,000",F,20,France,Clermont,Ligue 1,2021-2022
31,Bryan Silva Teixeira,€ 385,"€ 20,000","€ 20,000",F,21,France,Clermont,Ligue 1,2021-2022
32,Julien Boyer,€ 385,"€ 20,000","€ 20,000",D,23,France,Clermont,Ligue 1,2021-2022
