,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Seko Fofana,"€ 30,000","€ 1,560,000","€ 1,560,000",M,26,Cote d'Ivoire,Lens,Ligue 1,2021-2022
2,Gaël Kakuta,"€ 20,000","€ 1,040,000","€ 1,040,000",F,30,Democratic Republic of the Congo,Lens,Ligue 1,2021-2022
3,Patrick Berg,"€ 17,308","€ 900,000","€ 900,000",M,24,Norway,Lens,Ligue 1,2021-2022
4,Ignatius Ganago,"€ 15,000","€ 780,000","€ 780,000",F,22,Cameroon,Lens,Ligue 1,2021-2022
5,Jonathan Clauss,"€ 13,846","€ 720,000","€ 720,000",M,29,France,Lens,Ligue 1,2021-2022
6,Kevin Danso,"€ 9,615","€ 500,000","€ 500,000",D,23,Austria,Lens,Ligue 1,2021-2022
7,Wuilker Fariñez,"€ 9,038","€ 470,000","€ 470,000",K,23,Venezuela,Lens,Ligue 1,2021-2022
8,Yannick Cahuzac,"€ 8,654","€ 450,000","€ 450,000",M,37,France,Lens,Ligue 1,2021-2022
9,Wesley Saïd,"€ 8,269","€ 430,000","€ 430,000",F,26,France,Lens,Ligue 1,2021-2022
10,Arnaud Kalimuendo,"€ 7,692","€ 400,000","€ 400,000",F,20,France,Lens,Ligue 1,2021-2022
11,Jean-Louis Leca,"€ 6,538","€ 340,000","€ 340,000",K,36,France,Lens,Ligue 1,2021-2022
12,Deiver Machado,"€ 6,538","€ 340,000","€ 340,000",D,28,Colombia,Lens,Ligue 1,2021-2022
13,Corentin Jean,"€ 6,154","€ 320,000","€ 320,000",F,26,France,Lens,Ligue 1,2021-2022
14,Przemyslaw Frankowski,"€ 5,577","€ 290,000","€ 290,000",M,26,Poland,Lens,Ligue 1,2021-2022
15,Massadio Haidara,"€ 4,615","€ 240,000","€ 240,000",D,29,Mali,Lens,Ligue 1,2021-2022
16,Florian Sotoca,"€ 4,615","€ 240,000","€ 240,000",F,31,France,Lens,Ligue 1,2021-2022
17,Cheick Doucouré,"€ 4,038","€ 210,000","€ 210,000",M,22,Mali,Lens,Ligue 1,2021-2022
18,Charles Boli,"€ 3,269","€ 170,000","€ 170,000",M,23,France,Lens,Ligue 1,2021-2022
19,Jonathan Gradit,"€ 3,269","€ 170,000","€ 170,000",D,29,France,Lens,Ligue 1,2021-2022
20,Jules Keita,"€ 3,077","€ 160,000","€ 160,000",F,23,Guinea,Lens,Ligue 1,2021-2022
21,Christopher Wooh,"€ 2,692","€ 140,000","€ 140,000",D,20,France,Lens,Ligue 1,2021-2022
22,Jonathan Varane,"€ 2,500","€ 130,000","€ 130,000",M,19,France,Lens,Ligue 1,2021-2022
23,Facundo Medina,"€ 2,308","€ 120,000","€ 120,000",D,22,Argentina,Lens,Ligue 1,2021-2022
24,David Costa,€ 577,"€ 30,000","€ 30,000",F,21,Portugal,Lens,Ligue 1,2021-2022
25,Mamadou Camara,€ 385,"€ 20,000","€ 20,000",M,19,Senegal,Lens,Ligue 1,2021-2022
26,Valentino Lesieur,€ 385,"€ 20,000","€ 20,000",K,18,Portugal,Lens,Ligue 1,2021-2022
27,Ibrahima Baldé,€ 385,"€ 20,000","€ 20,000",F,19,France,Lens,Ligue 1,2021-2022
28,Ismaël Boura,€ 385,"€ 20,000","€ 20,000",D,21,France,Lens,Ligue 1,2021-2022
