,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Igor Silva,"€ 18,269","€ 950,000","€ 950,000",D,25,Brazil,Lorient,Ligue 1,2021-2022
2,Terem Moffi,"€ 17,308","€ 900,000","€ 900,000",F,22,Nigeria,Lorient,Ligue 1,2021-2022
3,Jérémy Morel,"€ 12,115","€ 630,000","€ 630,000",D,37,Madagascar,Lorient,Ligue 1,2021-2022
4,Fabien Lemoine,"€ 11,154","€ 580,000","€ 580,000",M,34,France,Lorient,Ligue 1,2021-2022
5,Paul Nardi,"€ 11,154","€ 580,000","€ 580,000",K,27,France,Lorient,Ligue 1,2021-2022
6,Quentin Boisgard,"€ 10,577","€ 550,000","€ 550,000",F,24,France,Lorient,Ligue 1,2021-2022
7,Adrian Grbic,"€ 9,808","€ 510,000","€ 510,000",F,25,Austria,Lorient,Ligue 1,2021-2022
8,Moritz Jenz,"€ 9,038","€ 470,000","€ 470,000",D,22,Germany,Lorient,Ligue 1,2021-2022
9,Julien Laporte,"€ 8,462","€ 440,000","€ 440,000",D,28,France,Lorient,Ligue 1,2021-2022
10,Thomas Monconduit,"€ 8,077","€ 420,000","€ 420,000",M,30,France,Lorient,Ligue 1,2021-2022
11,Bonke Innocent,"€ 5,192","€ 270,000","€ 270,000",M,26,Nigeria,Lorient,Ligue 1,2021-2022
12,Houboulang Mendes,"€ 5,000","€ 260,000","€ 260,000",D,23,Guinea-Bissau,Lorient,Ligue 1,2021-2022
13,Thomas Fontaine,"€ 5,000","€ 260,000","€ 260,000",D,30,Madagascar,Lorient,Ligue 1,2021-2022
14,Vincent Le Goff,"€ 4,808","€ 250,000","€ 250,000",D,32,France,Lorient,Ligue 1,2021-2022
15,Armand Laurienté,"€ 4,808","€ 250,000","€ 250,000",F,23,France,Lorient,Ligue 1,2021-2022
16,Ibrahima Koné,"€ 4,808","€ 250,000","€ 250,000",F,22,Mali,Lorient,Ligue 1,2021-2022
17,Laurent Abergel,"€ 4,615","€ 240,000","€ 240,000",M,29,France,Lorient,Ligue 1,2021-2022
18,Stéphane Diarra,"€ 4,231","€ 220,000","€ 220,000",F,23,Cote d'Ivoire,Lorient,Ligue 1,2021-2022
19,Matthieu Dreyer,"€ 4,231","€ 220,000","€ 220,000",K,32,France,Lorient,Ligue 1,2021-2022
20,Jérôme Hergault,"€ 3,654","€ 190,000","€ 190,000",D,35,France,Lorient,Ligue 1,2021-2022
21,Enzo Le Fée,"€ 1,923","€ 100,000","€ 100,000",F,21,France,Lorient,Ligue 1,2021-2022
22,Samuel Loric,"€ 1,538","€ 80,000","€ 80,000",D,21,France,Lorient,Ligue 1,2021-2022
23,Taofeek Ismaheel,"€ 1,154","€ 60,000","€ 60,000",F,21,Nigeria,Lorient,Ligue 1,2021-2022
24,Sambou Soumano,"€ 1,154","€ 60,000","€ 60,000",F,21,Senegal,Lorient,Ligue 1,2021-2022
25,Dango Ouattara,€ 769,"€ 40,000","€ 40,000",F,19,Burkina Faso,Lorient,Ligue 1,2021-2022
26,Léo Pétrot,€ 769,"€ 40,000","€ 40,000",D,24,France,Lorient,Ligue 1,2021-2022
27,Thomas Callens,€ 769,"€ 40,000","€ 40,000",K,23,France,Lorient,Ligue 1,2021-2022
28,Loris Mouyokolo,€ 769,"€ 40,000","€ 40,000",D,20,France,Lorient,Ligue 1,2021-2022
29,Teddy Bartouche,€ 577,"€ 30,000","€ 30,000",K,24,France,Lorient,Ligue 1,2021-2022
30,Redwan Bourlès,€ 577,"€ 30,000","€ 30,000",M,19,France,Lorient,Ligue 1,2021-2022
31,Théo Le Bris,€ 577,"€ 30,000","€ 30,000",D,19,France,Lorient,Ligue 1,2021-2022
32,Malamine Doumbouya,€ 385,"€ 20,000","€ 20,000",M,21,France,Lorient,Ligue 1,2021-2022
