,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Moses Simon,"€ 34,615","€ 1,800,000","€ 1,800,000",F,26,Nigeria,Nantes,Ligue 1,2021-2022
2,Kalifa Coulibaly,"€ 28,846","€ 1,500,000","€ 1,500,000",F,30,Mali,Nantes,Ligue 1,2021-2022
3,Nicolas Pallois,"€ 25,385","€ 1,320,000","€ 1,320,000",D,34,France,Nantes,Ligue 1,2021-2022
4,Jean-Kévin Augustin,"€ 23,077","€ 1,200,000","€ 1,200,000",F,24,France,Nantes,Ligue 1,2021-2022
5,Andrei Girotto,"€ 20,769","€ 1,080,000","€ 1,080,000",D,29,Brazil,Nantes,Ligue 1,2021-2022
6,Alban Lafont,"€ 19,615","€ 1,020,000","€ 1,020,000",K,23,France,Nantes,Ligue 1,2021-2022
7,Ludovic Blas,"€ 18,462","€ 960,000","€ 960,000",F,24,France,Nantes,Ligue 1,2021-2022
8,Dennis Appiah,"€ 18,462","€ 960,000","€ 960,000",D,29,France,Nantes,Ligue 1,2021-2022
9,Anthony Limbombe,"€ 17,308","€ 900,000","€ 900,000",F,27,Belgium,Nantes,Ligue 1,2021-2022
10,Wylan Cyprien,"€ 17,308","€ 900,000","€ 900,000",M,27,France,Nantes,Ligue 1,2021-2022
11,Sébastien Corchia,"€ 17,308","€ 900,000","€ 900,000",D,31,France,Nantes,Ligue 1,2021-2022
12,Renaud Emond,"€ 17,308","€ 900,000","€ 900,000",F,29,Belgium,Nantes,Ligue 1,2021-2022
13,Fábio,"€ 15,000","€ 780,000","€ 780,000",D,31,Brazil,Nantes,Ligue 1,2021-2022
14,Willem Geubbels,"€ 14,615","€ 760,000","€ 760,000",F,20,France,Nantes,Ligue 1,2021-2022
15,Pedro Chirivella,"€ 13,846","€ 720,000","€ 720,000",M,24,Spain,Nantes,Ligue 1,2021-2022
16,Charles Traoré,"€ 10,385","€ 540,000","€ 540,000",D,30,Mali,Nantes,Ligue 1,2021-2022
17,Jean-Charles Castelletto,"€ 10,385","€ 540,000","€ 540,000",D,27,Cameroon,Nantes,Ligue 1,2021-2022
18,Marcus Coco,"€ 9,231","€ 480,000","€ 480,000",F,25,France,Nantes,Ligue 1,2021-2022
19,Randal Kolo Muani,"€ 6,923","€ 360,000","€ 360,000",F,23,France,Nantes,Ligue 1,2021-2022
20,Osman Bukari,"€ 6,731","€ 350,000","€ 350,000",F,23,Ghana,Nantes,Ligue 1,2021-2022
21,Molla Wagué,"€ 5,385","€ 280,000","€ 280,000",D,30,Mali,Nantes,Ligue 1,2021-2022
22,Denis Petric,"€ 4,231","€ 220,000","€ 220,000",K,33,Slovenia,Nantes,Ligue 1,2021-2022
23,Samuel Moutoussamy,"€ 4,038","€ 210,000","€ 210,000",M,25,Democratic Republic of the Congo,Nantes,Ligue 1,2021-2022
24,Rémy Descamps,"€ 2,308","€ 120,000","€ 120,000",K,25,France,Nantes,Ligue 1,2021-2022
25,Quentin Merlin,"€ 1,346","€ 70,000","€ 70,000",D,19,France,Nantes,Ligue 1,2021-2022
26,Roli Pereira de Sa,"€ 1,154","€ 60,000","€ 60,000",F,25,France,Nantes,Ligue 1,2021-2022
27,Charly Jan,€ 385,"€ 20,000","€ 20,000",K,22,France,Nantes,Ligue 1,2021-2022
28,Abdoulaye Sylla,€ 385,"€ 20,000","€ 20,000",D,21,Guinea,Nantes,Ligue 1,2021-2022
29,Gor Manvelyan,€ 385,"€ 20,000","€ 20,000",F,19,France,Nantes,Ligue 1,2021-2022
