,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Kylian Mbappé,"€ 1,384,615","€ 72,000,000","€ 72,000,000",F,23,France,Psg,Ligue 1,2021-2022
2,Lionel Messi,"€ 1,223,846","€ 63,640,000","€ 63,640,000",F,34,Argentina,Psg,Ligue 1,2021-2022
3,Neymar,"€ 1,083,846","€ 56,360,000","€ 56,360,000",F,29,Brazil,Psg,Ligue 1,2021-2022
4,Sergio Ramos,"€ 524,423","€ 27,270,000","€ 27,270,000",D,35,Spain,Psg,Ligue 1,2021-2022
5,Gianluigi Donnarumma,"€ 349,615","€ 18,180,000","€ 18,180,000",K,22,Italy,Psg,Ligue 1,2021-2022
6,Presnel Kimpembe,"€ 349,615","€ 18,180,000","€ 18,180,000",D,26,France,Psg,Ligue 1,2021-2022
7,Keylor Navas,"€ 314,615","€ 16,360,000","€ 16,360,000",K,35,Costa Rica,Psg,Ligue 1,2021-2022
8,Mauro Icardi,"€ 279,808","€ 14,550,000","€ 14,550,000",F,28,Argentina,Psg,Ligue 1,2021-2022
9,Achraf Hakimi,"€ 279,808","€ 14,550,000","€ 14,550,000",D,23,Morocco,Psg,Ligue 1,2021-2022
10,Marco Verratti,"€ 276,923","€ 14,400,000","€ 14,400,000",M,29,Italy,Psg,Ligue 1,2021-2022
11,Marquinhos,"€ 276,923","€ 14,400,000","€ 14,400,000",D,27,Brazil,Psg,Ligue 1,2021-2022
12,Ángel Di María,"€ 253,846","€ 13,200,000","€ 13,200,000",F,33,Argentina,Psg,Ligue 1,2021-2022
13,Georginio Wijnaldum,"€ 244,808","€ 12,730,000","€ 12,730,000",M,31,Netherlands,Psg,Ligue 1,2021-2022
14,Leandro Paredes,"€ 173,077","€ 9,000,000","€ 9,000,000",M,27,Argentina,Psg,Ligue 1,2021-2022
15,Juan Bernat,"€ 161,538","€ 8,400,000","€ 8,400,000",D,28,Spain,Psg,Ligue 1,2021-2022
16,Ander Herrera,"€ 150,000","€ 7,800,000","€ 7,800,000",M,32,Spain,Psg,Ligue 1,2021-2022
17,Julian Draxler,"€ 138,462","€ 7,200,000","€ 7,200,000",F,28,Germany,Psg,Ligue 1,2021-2022
18,Idrissa Gueye,"€ 115,385","€ 6,000,000","€ 6,000,000",M,32,Senegal,Psg,Ligue 1,2021-2022
19,Abdou Diallo,"€ 103,846","€ 5,400,000","€ 5,400,000",D,25,Senegal,Psg,Ligue 1,2021-2022
20,Layvin Kurzawa,"€ 103,846","€ 5,400,000","€ 5,400,000",D,29,France,Psg,Ligue 1,2021-2022
21,Thilo Kehrer,"€ 94,615","€ 4,920,000","€ 4,920,000",D,25,Germany,Psg,Ligue 1,2021-2022
22,Rafinha,"€ 62,500","€ 3,250,000","€ 3,250,000",M,28,Brazil,Psg,Ligue 1,2021-2022
23,Sergio Rico,"€ 39,423","€ 2,050,000","€ 2,050,000",K,28,Spain,Psg,Ligue 1,2021-2022
24,Danilo Pereira,"€ 30,192","€ 1,570,000","€ 1,570,000",M,30,Portugal,Psg,Ligue 1,2021-2022
25,Colin Dagba,"€ 19,231","€ 1,000,000","€ 1,000,000",D,23,France,Psg,Ligue 1,2021-2022
26,Edouard Michut,"€ 15,769","€ 820,000","€ 820,000",F,18,France,Psg,Ligue 1,2021-2022
27,Alexandre Letellier,"€ 11,538","€ 600,000","€ 600,000",K,31,France,Psg,Ligue 1,2021-2022
28,Xavi Simons,"€ 11,538","€ 600,000","€ 600,000",F,18,Netherlands,Psg,Ligue 1,2021-2022
29,El Chadaille Bitshiabu,"€ 10,192","€ 530,000","€ 530,000",D,16,France,Psg,Ligue 1,2021-2022
30,Nuno Mendes,"€ 7,692","€ 400,000","€ 400,000",D,19,Portugal,Psg,Ligue 1,2021-2022
31,Teddy Alloh,"€ 7,500","€ 390,000","€ 390,000",D,19,France,Psg,Ligue 1,2021-2022
32,Ismaël Gharbi,"€ 7,308","€ 380,000","€ 380,000",F,17,France,Psg,Ligue 1,2021-2022
33,Denis Franchi,"€ 7,115","€ 370,000","€ 370,000",K,19,Italy,Psg,Ligue 1,2021-2022
34,Bandiougou Fadiga,"€ 6,346","€ 330,000","€ 330,000",F,20,France,Psg,Ligue 1,2021-2022
35,Nathan Bitumazala,"€ 5,962","€ 310,000","€ 310,000",D,19,France,Psg,Ligue 1,2021-2022
36,Garissone Innocent,"€ 5,769","€ 300,000","€ 300,000",K,21,Haiti,Psg,Ligue 1,2021-2022
37,Éric Ebimbe,"€ 4,808","€ 250,000","€ 250,000",M,21,France,Psg,Ligue 1,2021-2022
38,Anfane Ahamada,"€ 3,462","€ 180,000","€ 180,000",M,19,France,Psg,Ligue 1,2021-2022
39,Lucas Lavallée,"€ 2,308","€ 120,000","€ 120,000",K,18,France,Psg,Ligue 1,2021-2022
40,Tidjany Touré,"€ 2,308","€ 120,000","€ 120,000",M,19,France,Psg,Ligue 1,2021-2022
