,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jens Cajuste,"€ 28,846","€ 1,500,000","€ 1,500,000",M,22,Sweden,Reims,Ligue 1,2021-2022
2,Maxime Busi,"€ 20,962","€ 1,090,000","€ 1,090,000",D,22,Belgium,Reims,Ligue 1,2021-2022
3,Yunis Abdelhamid,"€ 18,462","€ 960,000","€ 960,000",D,34,Morocco,Reims,Ligue 1,2021-2022
4,Valon Berisha,"€ 18,462","€ 960,000","€ 960,000",M,28,Kosovo,Reims,Ligue 1,2021-2022
5,Thomas Foket,"€ 13,846","€ 720,000","€ 720,000",D,27,Belgium,Reims,Ligue 1,2021-2022
6,Anastasios Donis,"€ 13,846","€ 720,000","€ 720,000",F,25,Greece,Reims,Ligue 1,2021-2022
7,Predrag Rajkovic,"€ 13,846","€ 720,000","€ 720,000",K,26,Serbia,Reims,Ligue 1,2021-2022
8,Arbër Zeneli,"€ 13,462","€ 700,000","€ 700,000",F,26,Kosovo,Reims,Ligue 1,2021-2022
9,Yehvann Diouf,"€ 9,231","€ 480,000","€ 480,000",K,22,France,Reims,Ligue 1,2021-2022
10,Wout Faes,"€ 8,077","€ 420,000","€ 420,000",D,23,Belgium,Reims,Ligue 1,2021-2022
11,Azor Matusiwa,"€ 7,692","€ 400,000","€ 400,000",M,23,Netherlands,Reims,Ligue 1,2021-2022
12,Mathieu Cafaro,"€ 7,500","€ 390,000","€ 390,000",F,24,France,Reims,Ligue 1,2021-2022
13,Moussa Doumbia,"€ 7,500","€ 390,000","€ 390,000",F,27,Mali,Reims,Ligue 1,2021-2022
14,Moreto Cassamá,"€ 7,115","€ 370,000","€ 370,000",M,23,Guinea-Bissau,Reims,Ligue 1,2021-2022
15,Mitchell van Bergen,"€ 6,731","€ 350,000","€ 350,000",F,22,Netherlands,Reims,Ligue 1,2021-2022
16,El Bilal Touré,"€ 4,808","€ 250,000","€ 250,000",F,20,Mali,Reims,Ligue 1,2021-2022
17,Ghislain Konan,"€ 4,423","€ 230,000","€ 230,000",D,26,Cote d'Ivoire,Reims,Ligue 1,2021-2022
18,Fraser Hornby,"€ 4,231","€ 220,000","€ 220,000",F,22,Scotland,Reims,Ligue 1,2021-2022
19,Alexis Flips,"€ 3,846","€ 200,000","€ 200,000",F,22,France,Reims,Ligue 1,2021-2022
20,Nicolas Penneteau,"€ 3,846","€ 200,000","€ 200,000",K,40,France,Reims,Ligue 1,2021-2022
21,Marshall Munetsi,"€ 3,462","€ 180,000","€ 180,000",M,25,Zimbabwe,Reims,Ligue 1,2021-2022
22,Hugo Ekitike,"€ 2,308","€ 120,000","€ 120,000",F,19,France,Reims,Ligue 1,2021-2022
23,Dion Lopy,"€ 1,923","€ 100,000","€ 100,000",M,20,Senegal,Reims,Ligue 1,2021-2022
24,Ilan Kebbal,"€ 1,731","€ 90,000","€ 90,000",F,23,Algeria,Reims,Ligue 1,2021-2022
25,Andreaw Gravillon,"€ 1,731","€ 90,000","€ 90,000",D,23,Guadeloupe,Reims,Ligue 1,2021-2022
26,Nathanaël Mbuku,€ 769,"€ 40,000","€ 40,000",F,19,France,Reims,Ligue 1,2021-2022
27,Bradley Locko,€ 769,"€ 40,000","€ 40,000",D,19,France,Reims,Ligue 1,2021-2022
28,Sambou Sissoko,€ 577,"€ 30,000","€ 30,000",M,22,France,Reims,Ligue 1,2021-2022
29,Fodé Doucouré,€ 577,"€ 30,000","€ 30,000",D,20,Mali,Reims,Ligue 1,2021-2022
30,Mamadou Mbow,€ 385,"€ 20,000","€ 20,000",D,21,Senegal,Reims,Ligue 1,2021-2022
