,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Frédéric Guilbert,"€ 46,538","€ 2,420,000","€ 2,420,000",D,27,France,Strasbourg,Ligue 1,2021-2022
2,Kévin Gameiro,"€ 27,692","€ 1,440,000","€ 1,440,000",F,34,France,Strasbourg,Ligue 1,2021-2022
3,Matz Sels,"€ 20,769","€ 1,080,000","€ 1,080,000",K,29,Belgium,Strasbourg,Ligue 1,2021-2022
4,Jean-Eudes Aholou,"€ 17,885","€ 930,000","€ 930,000",M,27,Cote d'Ivoire,Strasbourg,Ligue 1,2021-2022
5,Lebo Mothiba,"€ 16,154","€ 840,000","€ 840,000",F,25,South Africa,Strasbourg,Ligue 1,2021-2022
6,Sanjin Prcic,"€ 16,154","€ 840,000","€ 840,000",M,28,Bosnia-Herzegovina,Strasbourg,Ligue 1,2021-2022
7,Alexander Djiku,"€ 16,154","€ 840,000","€ 840,000",D,27,Ghana,Strasbourg,Ligue 1,2021-2022
8,Dimitri Liénard,"€ 11,731","€ 610,000","€ 610,000",M,33,France,Strasbourg,Ligue 1,2021-2022
9,Habib Diallo,"€ 11,731","€ 610,000","€ 610,000",F,26,Senegal,Strasbourg,Ligue 1,2021-2022
10,Majeed Waris,"€ 10,962","€ 570,000","€ 570,000",F,30,Ghana,Strasbourg,Ligue 1,2021-2022
11,Ludovic Ajorque,"€ 9,423","€ 490,000","€ 490,000",F,27,France,Strasbourg,Ligue 1,2021-2022
12,Gerzino Nyamsi,"€ 8,654","€ 450,000","€ 450,000",D,25,France,Strasbourg,Ligue 1,2021-2022
13,Adrien Thomasson,"€ 8,462","€ 440,000","€ 440,000",F,28,France,Strasbourg,Ligue 1,2021-2022
14,Ismaël Doukouré,"€ 7,692","€ 400,000","€ 400,000",D,18,France,Strasbourg,Ligue 1,2021-2022
15,Maxime Le Marchand,"€ 7,692","€ 400,000","€ 400,000",D,32,France,Strasbourg,Ligue 1,2021-2022
16,Eiji Kawashima,"€ 7,115","€ 370,000","€ 370,000",K,38,Japan,Strasbourg,Ligue 1,2021-2022
17,Jean-Ricner Bellegarde,"€ 6,538","€ 340,000","€ 340,000",M,23,France,Strasbourg,Ligue 1,2021-2022
18,Ibrahima Sissoko,"€ 6,346","€ 330,000","€ 330,000",M,24,France,Strasbourg,Ligue 1,2021-2022
19,Bingourou Kamara,"€ 5,577","€ 290,000","€ 290,000",K,24,Senegal,Strasbourg,Ligue 1,2021-2022
20,Anthony Caci,"€ 5,000","€ 260,000","€ 260,000",D,24,France,Strasbourg,Ligue 1,2021-2022
21,Karol Fila,"€ 3,846","€ 200,000","€ 200,000",D,23,Poland,Strasbourg,Ligue 1,2021-2022
22,Mahamé Siby,"€ 2,500","€ 130,000","€ 130,000",M,25,Mali,Strasbourg,Ligue 1,2021-2022
23,Lucas Perrin,"€ 1,923","€ 100,000","€ 100,000",D,23,France,Strasbourg,Ligue 1,2021-2022
24,Moïse Sahi Dion,€ 962,"€ 50,000","€ 50,000",F,20,Cote d'Ivoire,Strasbourg,Ligue 1,2021-2022
25,Aymeric Ahmed,€ 385,"€ 20,000","€ 20,000",F,18,France,Strasbourg,Ligue 1,2021-2022
26,Alexandre Pierre,€ 385,"€ 20,000","€ 20,000",K,20,Haiti,Strasbourg,Ligue 1,2021-2022
27,Habib Diarra,€ 385,"€ 20,000","€ 20,000",M,18,France,Strasbourg,Ligue 1,2021-2022
28,Alaa Bellaarouch,€ 385,"€ 20,000","€ 20,000",K,19,Morocco,Strasbourg,Ligue 1,2021-2022
