,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,723,437",F,25,Belgium,Crystal Palace,Premier League,2016-2017
2,Yohan Cabaye,"£ 85,500","£ 4,446,000","£ 4,790,449",M,30,France,Crystal Palace,Premier League,2016-2017
3,Mamadou Sakho,"£ 85,000","£ 4,420,000","£ 4,762,434",D,26,France,Crystal Palace,Premier League,2016-2017
4,Loïc Rémy,"£ 80,000","£ 4,160,000","£ 4,482,291",F,29,France,Crystal Palace,Premier League,2016-2017
5,Yannick Bolasie,"£ 75,000","£ 3,900,000","£ 4,202,148",F,27,Democratic Republic of Congo,Crystal Palace,Premier League,2016-2017
6,Steve Mandanda,"£ 70,000","£ 3,640,000","£ 3,922,005",K,31,France,Crystal Palace,Premier League,2016-2017
7,Connor Wickham,"£ 60,000","£ 3,120,000","£ 3,361,718",F,23,England,Crystal Palace,Premier League,2016-2017
8,Scott Dann,"£ 60,000","£ 3,120,000","£ 3,361,718",D,29,England,Crystal Palace,Premier League,2016-2017
9,Bakary Sako,"£ 55,000","£ 2,860,000","£ 3,081,575",F,28,Mali,Crystal Palace,Premier League,2016-2017
10,Andros Townsend,"£ 55,000","£ 2,860,000","£ 3,081,575",F,24,England,Crystal Palace,Premier League,2016-2017
11,Luka Milivojevic,"£ 55,000","£ 2,860,000","£ 3,081,575",M,25,Serbia,Crystal Palace,Premier League,2016-2017
12,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 3,081,575",D,25,Netherlands,Crystal Palace,Premier League,2016-2017
13,Jeffrey Schlupp,"£ 50,000","£ 2,600,000","£ 2,801,432",M,23,Ghana,Crystal Palace,Premier League,2016-2017
14,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,801,432",D,27,England,Crystal Palace,Premier League,2016-2017
15,James McArthur,"£ 40,000","£ 2,080,000","£ 2,241,146",M,28,Scotland,Crystal Palace,Premier League,2016-2017
16,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,961,002",D,26,England,Crystal Palace,Premier League,2016-2017
17,Wilfried Zaha,"£ 35,000","£ 1,820,000","£ 1,961,002",F,23,Cote d'Ivoire,Crystal Palace,Premier League,2016-2017
18,Jason Puncheon,"£ 35,000","£ 1,820,000","£ 1,961,002",M,30,England,Crystal Palace,Premier League,2016-2017
19,Fraizer Campbell,"£ 35,000","£ 1,820,000","£ 1,961,002",F,28,England,Crystal Palace,Premier League,2016-2017
20,Mathieu Flamini,"£ 35,000","£ 1,820,000","£ 1,961,002",M,32,France,Crystal Palace,Premier League,2016-2017
21,Pape Souaré,"£ 30,000","£ 1,560,000","£ 1,680,859",D,26,Senegal,Crystal Palace,Premier League,2016-2017
22,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,400,716",D,26,England,Crystal Palace,Premier League,2016-2017
23,Damien Delaney,"£ 25,000","£ 1,300,000","£ 1,400,716",D,34,Ireland,Crystal Palace,Premier League,2016-2017
24,Chung-yong Lee,"£ 25,000","£ 1,300,000","£ 1,400,716",M,27,South Korea,Crystal Palace,Premier League,2016-2017
25,Joe Ledley,"£ 25,000","£ 1,300,000","£ 1,400,716",M,29,Wales,Crystal Palace,Premier League,2016-2017
26,Julián Speroni,"£ 25,000","£ 1,300,000","£ 1,400,716",K,37,Argentina,Crystal Palace,Premier League,2016-2017
27,Wayne Hennessey,"£ 20,000","£ 1,040,000","£ 1,120,573",K,29,Wales,Crystal Palace,Premier League,2016-2017
28,Zeki Fryers,"£ 20,000","£ 1,040,000","£ 1,120,573",D,23,England,Crystal Palace,Premier League,2016-2017
29,Aaron Wan-Bissaka,"£ 15,000","£ 780,000","£ 840,430",D,18,England,Crystal Palace,Premier League,2016-2017
30,Sullay Kaikai,"£ 2,500","£ 130,000","£ 140,072",F,20,England,Crystal Palace,Premier League,2016-2017
31,Jonathan Benteke,"£ 1,288","£ 67,000","£ 72,191",F,21,Belgium,Crystal Palace,Premier League,2016-2017
32,Kwesi Appiah,"£ 1,192","£ 62,000","£ 66,803",F,25,Ghana,Crystal Palace,Premier League,2016-2017
33,Michael Phillips,£ 750,"£ 39,000","£ 42,021",M,18,England,Crystal Palace,Premier League,2016-2017
34,Kleton Perntreou,£ 692,"£ 36,000","£ 38,789",K,21,Albania,Crystal Palace,Premier League,2016-2017
35,Ben Wynter,£ 500,"£ 26,000","£ 28,014",D,18,England,Crystal Palace,Premier League,2016-2017
36,Luke Dreher,£ 404,"£ 21,000","£ 22,627",M,17,England,Crystal Palace,Premier League,2016-2017
37,Ryan Inniss,£ 0,£ 0,£ 0,D,21,England,Crystal Palace,Premier League,2016-2017
38,Keshi Anderson,£ 0,£ 0,£ 0,F,21,England,Crystal Palace,Premier League,2016-2017
39,Jordon Mutch,£ 0,£ 0,£ 0,M,24,England,Crystal Palace,Premier League,2016-2017
40,Noor Husin,£ 0,£ 0,£ 0,M,19,Afghanistan,Crystal Palace,Premier League,2016-2017
41,Jonathan Williams,£ 0,£ 0,£ 0,M,22,Wales,Crystal Palace,Premier League,2016-2017
42,Mile Jedinak,£ 0,£ 0,£ 0,M,31,Australia,Crystal Palace,Premier League,2016-2017
43,Hiram Boateng,£ 0,£ 0,£ 0,M,20,England,Crystal Palace,Premier League,2016-2017
44,Freddie Ladapo,£ 0,£ 0,£ 0,F,23,England,Crystal Palace,Premier League,2016-2017
45,Luke Croll,£ 0,£ 0,£ 0,D,21,England,Crystal Palace,Premier League,2016-2017
