,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Morgan Schneiderlin,"£ 120,000","£ 6,240,000","£ 6,723,437",M,26,France,Everton,Premier League,2016-2017
2,Romelu Lukaku,"£ 80,000","£ 4,160,000","£ 4,482,291",F,23,Belgium,Everton,Premier League,2016-2017
3,Yannick Bolasie,"£ 75,000","£ 3,900,000","£ 4,202,148",F,27,Democratic Republic of Congo,Everton,Premier League,2016-2017
4,Kevin Mirallas,"£ 70,000","£ 3,640,000","£ 3,922,005",F,28,Belgium,Everton,Premier League,2016-2017
5,Ashley Williams,"£ 70,000","£ 3,640,000","£ 3,922,005",D,31,Wales,Everton,Premier League,2016-2017
6,Leighton Baines,"£ 70,000","£ 3,640,000","£ 3,922,005",D,31,England,Everton,Premier League,2016-2017
7,Gareth Barry,"£ 60,000","£ 3,120,000","£ 3,361,718",M,35,England,Everton,Premier League,2016-2017
8,Oumar Niasse,"£ 55,000","£ 2,860,000","£ 3,081,575",F,26,Senegal,Everton,Premier League,2016-2017
9,Aaron Lennon,"£ 50,000","£ 2,600,000","£ 2,801,432",F,29,England,Everton,Premier League,2016-2017
10,James McCarthy,"£ 50,000","£ 2,600,000","£ 2,801,432",M,25,Ireland,Everton,Premier League,2016-2017
11,Phil Jagielka,"£ 50,000","£ 2,600,000","£ 2,801,432",D,33,England,Everton,Premier League,2016-2017
12,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,801,432",M,26,England,Everton,Premier League,2016-2017
13,Ross Barkley,"£ 48,000","£ 2,496,000","£ 2,689,375",M,22,England,Everton,Premier League,2016-2017
14,Idrissa Gueye,"£ 45,000","£ 2,340,000","£ 2,521,289",M,26,Senegal,Everton,Premier League,2016-2017
15,Ramiro Funes Mori,"£ 40,000","£ 2,080,000","£ 2,241,146",D,25,Argentina,Everton,Premier League,2016-2017
16,Arouna Koné,"£ 40,000","£ 2,080,000","£ 2,241,146",F,32,Cote d'Ivoire,Everton,Premier League,2016-2017
17,Enner Valencia,"£ 40,000","£ 2,080,000","£ 2,241,146",F,26,Ecuador,Everton,Premier League,2016-2017
18,Seamus Coleman,"£ 38,000","£ 1,976,000","£ 2,129,088",D,27,Ireland,Everton,Premier League,2016-2017
19,Darron Gibson,"£ 35,000","£ 1,820,000","£ 1,961,002",M,28,Ireland,Everton,Premier League,2016-2017
20,Muhamed Besic,"£ 30,000","£ 1,560,000","£ 1,680,859",M,23,Bosnia-Herzegovina,Everton,Premier League,2016-2017
21,Maarten Stekelenburg,"£ 30,000","£ 1,560,000","£ 1,680,859",K,33,Netherlands,Everton,Premier League,2016-2017
22,Luke Garbutt,"£ 27,500","£ 1,430,000","£ 1,540,788",D,23,England,Everton,Premier League,2016-2017
23,Bryan Oviedo,"£ 25,000","£ 1,300,000","£ 1,400,716",D,26,Costa Rica,Everton,Premier League,2016-2017
24,Mason Holgate,"£ 25,000","£ 1,300,000","£ 1,400,716",D,19,England,Everton,Premier League,2016-2017
25,Ademola Lookman,"£ 23,000","£ 1,196,000","£ 1,288,659",F,18,England,Everton,Premier League,2016-2017
26,Brendan Galloway,"£ 22,500","£ 1,170,000","£ 1,260,644",D,20,England,Everton,Premier League,2016-2017
27,Joel Robles,"£ 20,000","£ 1,040,000","£ 1,120,573",K,26,Spain,Everton,Premier League,2016-2017
28,Tom Davies,"£ 5,000","£ 260,000","£ 280,143",M,18,England,Everton,Premier League,2016-2017
29,Matthew Pennington,"£ 3,000","£ 156,000","£ 168,086",D,21,England,Everton,Premier League,2016-2017
30,Jonjoe Kenny,"£ 2,500","£ 130,000","£ 140,072",D,19,England,Everton,Premier League,2016-2017
31,Dominic Calvert-Lewin,"£ 2,000","£ 104,000","£ 112,057",F,19,England,Everton,Premier League,2016-2017
32,Joe Williams,£ 808,"£ 42,000","£ 45,254",M,19,England,Everton,Premier League,2016-2017
33,Mateusz Hewelt,£ 750,"£ 39,000","£ 42,021",K,19,Poland,Everton,Premier League,2016-2017
34,Tyias Browning,£ 0,£ 0,£ 0,D,22,England,Everton,Premier League,2016-2017
35,Conor McAleny,£ 0,£ 0,£ 0,F,23,England,Everton,Premier League,2016-2017
36,Shani Tarashaj,£ 0,£ 0,£ 0,F,21,Switzerland,Everton,Premier League,2016-2017
37,Gerard Deulofeu,£ 0,£ 0,£ 0,F,22,Spain,Everton,Premier League,2016-2017
38,Aiden McGeady,£ 0,£ 0,£ 0,F,30,Ireland,Everton,Premier League,2016-2017
39,Leandro Rodríguez,£ 0,£ 0,£ 0,F,23,Uruguay,Everton,Premier League,2016-2017
