,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Lazar Markovic,"£ 75,000","£ 3,900,000","£ 4,202,148",F,22,Serbia,Hull City,Premier League,2016-2017
2,Andrea Ranocchia,"£ 73,615","£ 3,828,000","£ 4,124,570",D,28,Italy,Hull City,Premier League,2016-2017
3,Oumar Niasse,"£ 55,000","£ 2,860,000","£ 3,081,575",F,26,Senegal,Hull City,Premier League,2016-2017
4,Dieumerci Mbokani,"£ 46,096","£ 2,397,000","£ 2,582,705",F,30,Democratic Republic of Congo,Hull City,Premier League,2016-2017
5,Ryan Mason,"£ 40,000","£ 2,080,000","£ 2,241,146",M,25,England,Hull City,Premier League,2016-2017
6,Abel Hernández,"£ 40,000","£ 2,080,000","£ 2,241,146",F,25,Uruguay,Hull City,Premier League,2016-2017
7,Robert Snodgrass,"£ 40,000","£ 2,080,000","£ 2,241,146",F,28,Scotland,Hull City,Premier League,2016-2017
8,Jake Livermore,"£ 36,000","£ 1,872,000","£ 2,017,031",M,26,England,Hull City,Premier League,2016-2017
9,Kamil Grosicki,"£ 35,000","£ 1,820,000","£ 1,961,002",F,28,Poland,Hull City,Premier League,2016-2017
10,Tom Huddlestone,"£ 32,000","£ 1,664,000","£ 1,792,916",M,29,England,Hull City,Premier League,2016-2017
11,David Marshall,"£ 32,000","£ 1,664,000","£ 1,792,916",K,31,Scotland,Hull City,Premier League,2016-2017
12,Michael Dawson,"£ 30,000","£ 1,560,000","£ 1,680,859",D,32,England,Hull City,Premier League,2016-2017
13,Curtis Davies,"£ 25,000","£ 1,300,000","£ 1,400,716",D,31,England,Hull City,Premier League,2016-2017
14,Ahmed Elmohamady,"£ 25,000","£ 1,300,000","£ 1,400,716",D,28,Egypt,Hull City,Premier League,2016-2017
15,Markus Henriksen,"£ 25,000","£ 1,300,000","£ 1,400,716",M,23,Norway,Hull City,Premier League,2016-2017
16,Andrew Robertson,"£ 23,000","£ 1,196,000","£ 1,288,659",D,22,Scotland,Hull City,Premier League,2016-2017
17,Evandro,"£ 23,000","£ 1,196,000","£ 1,288,659",M,29,Brazil,Hull City,Premier League,2016-2017
18,Shaun Maloney,"£ 20,000","£ 1,040,000","£ 1,120,573",M,33,Scotland,Hull City,Premier League,2016-2017
19,David Meyler,"£ 18,000","£ 936,000","£ 1,008,516",M,27,Ireland,Hull City,Premier League,2016-2017
20,Moses Odubajo,"£ 18,000","£ 936,000","£ 1,008,516",D,22,England,Hull City,Premier League,2016-2017
21,Harry Maguire,"£ 16,000","£ 832,000","£ 896,458",D,23,England,Hull City,Premier League,2016-2017
22,Sam Clucas,"£ 16,000","£ 832,000","£ 896,458",M,25,England,Hull City,Premier League,2016-2017
23,Adama Diomande,"£ 13,000","£ 676,000","£ 728,372",F,26,Norway,Hull City,Premier League,2016-2017
24,Eldin Jakupovic,"£ 12,000","£ 624,000","£ 672,344",K,31,Switzerland,Hull City,Premier League,2016-2017
25,Will Keane,"£ 12,000","£ 624,000","£ 672,344",F,23,England,Hull City,Premier League,2016-2017
26,Omar Elabdellaoui,"£ 11,385","£ 592,000","£ 637,865",D,24,Norway,Hull City,Premier League,2016-2017
27,Alfred N'Diaye,"£ 10,000","£ 520,000","£ 560,286",M,26,Senegal,Hull City,Premier League,2016-2017
28,Brian Lenihan,"£ 2,000","£ 104,000","£ 112,057",D,22,Ireland,Hull City,Premier League,2016-2017
29,Josh Tymon,"£ 2,000","£ 104,000","£ 112,057",D,17,England,Hull City,Premier League,2016-2017
30,Jarrod Bowen,"£ 1,500","£ 78,000","£ 84,043",F,19,England,Hull City,Premier League,2016-2017
31,Greg Olley,£ 692,"£ 36,000","£ 38,789",M,20,England,Hull City,Premier League,2016-2017
32,Ben Hinchliffe,£ 596,"£ 31,000","£ 33,402",M,18,England,Hull City,Premier League,2016-2017
33,Will Mannion,£ 596,"£ 31,000","£ 33,402",K,18,England,Hull City,Premier League,2016-2017
34,Daniel Batty,£ 500,"£ 26,000","£ 28,014",M,18,England,Hull City,Premier League,2016-2017
35,Greg Luer,£ 500,"£ 26,000","£ 28,014",F,21,England,Hull City,Premier League,2016-2017
36,Josh Clackstone,£ 0,£ 0,£ 0,D,19,England,Hull City,Premier League,2016-2017
37,Alex Bruce,£ 0,£ 0,£ 0,D,31,Northern Ireland,Hull City,Premier League,2016-2017
38,Johan Ter Horst,£ 0,£ 0,£ 0,F,21,England,Hull City,Premier League,2016-2017
39,Harvey Rodgers,£ 0,£ 0,£ 0,D,19,England,Hull City,Premier League,2016-2017
40,Dusan Kuciak,£ 0,£ 0,£ 0,K,31,Slovakia,Hull City,Premier League,2016-2017
41,James Weir,£ 0,£ 0,£ 0,M,20,England,Hull City,Premier League,2016-2017
42,Allan McGregor,£ 0,£ 0,£ 0,K,34,Scotland,Hull City,Premier League,2016-2017
