,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Álvaro Negredo,"£ 108,962","£ 5,666,000","£ 6,104,967",F,30,Spain,Middlesbrough,Premier League,2016-2017
2,Víctor Valdés,"£ 50,000","£ 2,600,000","£ 2,801,432",K,34,Spain,Middlesbrough,Premier League,2016-2017
3,Calum Chambers,"£ 45,000","£ 2,340,000","£ 2,521,289",D,21,England,Middlesbrough,Premier League,2016-2017
4,Antonio Barragán,"£ 40,000","£ 2,080,000","£ 2,241,146",D,29,Spain,Middlesbrough,Premier League,2016-2017
5,Adama Traoré,"£ 40,000","£ 2,080,000","£ 2,241,146",F,20,Spain,Middlesbrough,Premier League,2016-2017
6,Marten de Roon,"£ 40,000","£ 2,080,000","£ 2,241,146",M,25,Netherlands,Middlesbrough,Premier League,2016-2017
7,Rudy Gestede,"£ 35,000","£ 1,820,000","£ 1,961,002",F,27,Benin,Middlesbrough,Premier League,2016-2017
8,Patrick Bamford,"£ 35,000","£ 1,820,000","£ 1,961,002",F,22,England,Middlesbrough,Premier League,2016-2017
9,Stewart Downing,"£ 33,000","£ 1,716,000","£ 1,848,945",M,31,England,Middlesbrough,Premier League,2016-2017
10,Viktor Fischer,"£ 32,000","£ 1,664,000","£ 1,792,916",F,22,Denmark,Middlesbrough,Premier League,2016-2017
11,Cristhian Stuani,"£ 32,000","£ 1,664,000","£ 1,792,916",F,29,Uruguay,Middlesbrough,Premier League,2016-2017
12,Brad Guzan,"£ 30,000","£ 1,560,000","£ 1,680,859",K,31,United States,Middlesbrough,Premier League,2016-2017
13,Gastón Ramírez,"£ 30,000","£ 1,560,000","£ 1,680,859",M,25,Uruguay,Middlesbrough,Premier League,2016-2017
14,George Friend,"£ 25,000","£ 1,300,000","£ 1,400,716",D,28,England,Middlesbrough,Premier League,2016-2017
15,Ben Gibson,"£ 25,000","£ 1,300,000","£ 1,400,716",D,23,England,Middlesbrough,Premier League,2016-2017
16,Daniel Ayala,"£ 25,000","£ 1,300,000","£ 1,400,716",D,25,Spain,Middlesbrough,Premier League,2016-2017
17,Fábio,"£ 25,000","£ 1,300,000","£ 1,400,716",D,25,Brazil,Middlesbrough,Premier League,2016-2017
18,Grant Leadbitter,"£ 20,000","£ 1,040,000","£ 1,120,573",M,30,England,Middlesbrough,Premier League,2016-2017
19,Adam Forshaw,"£ 20,000","£ 1,040,000","£ 1,120,573",M,24,England,Middlesbrough,Premier League,2016-2017
20,Adam Clayton,"£ 20,000","£ 1,040,000","£ 1,120,573",M,27,England,Middlesbrough,Premier League,2016-2017
21,Adlène Guédioura,"£ 20,000","£ 1,040,000","£ 1,120,573",M,30,Algeria,Middlesbrough,Premier League,2016-2017
22,James Husband,"£ 14,000","£ 728,000","£ 784,401",D,22,England,Middlesbrough,Premier League,2016-2017
23,Dael Fry,"£ 2,500","£ 130,000","£ 140,072",D,18,England,Middlesbrough,Premier League,2016-2017
24,Carlos de Pena,£ 0,£ 0,£ 0,F,24,Uruguay,Middlesbrough,Premier League,2016-2017
25,Connor Ripley,£ 0,£ 0,£ 0,K,23,England,Middlesbrough,Premier League,2016-2017
26,Bernardo Espinosa,£ 0,£ 0,£ 0,D,26,Colombia,Middlesbrough,Premier League,2016-2017
27,Jordan Rhodes,£ 0,£ 0,£ 0,F,26,Scotland,Middlesbrough,Premier League,2016-2017
28,Julien de Sart,£ 0,£ 0,£ 0,M,21,Belgium,Middlesbrough,Premier League,2016-2017
29,Alex Baptiste,£ 0,£ 0,£ 0,D,30,England,Middlesbrough,Premier League,2016-2017
30,Albert Adomah,£ 0,£ 0,£ 0,F,28,Ghana,Middlesbrough,Premier League,2016-2017
31,Emilio Nsue,£ 0,£ 0,£ 0,D,26,Equatorial Guinea,Middlesbrough,Premier League,2016-2017
32,Adam Reach,£ 0,£ 0,£ 0,M,23,England,Middlesbrough,Premier League,2016-2017
33,Tomás Mejías,£ 0,£ 0,£ 0,K,27,Spain,Middlesbrough,Premier League,2016-2017
34,Dimitrios Konstantopoulos,£ 0,£ 0,£ 0,K,37,Greece,Middlesbrough,Premier League,2016-2017
35,David Nugent,£ 0,£ 0,£ 0,F,31,England,Middlesbrough,Premier League,2016-2017
