,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Wilfried Bony,"£ 100,000","£ 5,200,000","£ 5,602,864",F,27,Cote d'Ivoire,Stoke City,Premier League,2016-2017
2,Saido Berahino,"£ 80,000","£ 4,160,000","£ 4,482,291",F,22,Burundi,Stoke City,Premier League,2016-2017
3,Xherdan Shaqiri,"£ 65,000","£ 3,380,000","£ 3,641,862",F,24,Switzerland,Stoke City,Premier League,2016-2017
4,Mame Diouf,"£ 65,000","£ 3,380,000","£ 3,641,862",F,28,Senegal,Stoke City,Premier League,2016-2017
5,Marko Arnautovic,"£ 50,000","£ 2,600,000","£ 2,801,432",F,27,Austria,Stoke City,Premier League,2016-2017
6,Joe Allen,"£ 50,000","£ 2,600,000","£ 2,801,432",M,26,Wales,Stoke City,Premier League,2016-2017
7,Giannelli Imbula,"£ 50,000","£ 2,600,000","£ 2,801,432",M,23,Democratic Republic of Congo,Stoke City,Premier League,2016-2017
8,Ryan Shawcross,"£ 45,000","£ 2,340,000","£ 2,521,289",D,28,England,Stoke City,Premier League,2016-2017
9,Erik Pieters,"£ 37,500","£ 1,950,000","£ 2,101,074",D,27,Netherlands,Stoke City,Premier League,2016-2017
10,Glen Johnson,"£ 35,000","£ 1,820,000","£ 1,961,002",D,31,England,Stoke City,Premier League,2016-2017
11,Ibrahim Afellay,"£ 35,000","£ 1,820,000","£ 1,961,002",M,30,Netherlands,Stoke City,Premier League,2016-2017
12,Jack Butland,"£ 35,000","£ 1,820,000","£ 1,961,002",K,23,England,Stoke City,Premier League,2016-2017
13,Geoff Cameron,"£ 35,000","£ 1,820,000","£ 1,961,002",M,30,United States,Stoke City,Premier League,2016-2017
14,Charlie Adam,"£ 35,000","£ 1,820,000","£ 1,961,002",M,30,Scotland,Stoke City,Premier League,2016-2017
15,Stephen Ireland,"£ 32,500","£ 1,690,000","£ 1,820,931",M,29,Ireland,Stoke City,Premier League,2016-2017
16,Marc Muniesa,"£ 32,500","£ 1,690,000","£ 1,820,931",D,24,Spain,Stoke City,Premier League,2016-2017
17,Phil Bardsley,"£ 31,000","£ 1,612,000","£ 1,736,888",D,31,Scotland,Stoke City,Premier League,2016-2017
18,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,680,859",K,33,England,Stoke City,Premier League,2016-2017
19,Jonathan Walters,"£ 30,000","£ 1,560,000","£ 1,680,859",F,32,Ireland,Stoke City,Premier League,2016-2017
20,Peter Crouch,"£ 30,000","£ 1,560,000","£ 1,680,859",F,35,England,Stoke City,Premier League,2016-2017
21,Glenn Whelan,"£ 27,500","£ 1,430,000","£ 1,540,788",M,32,Ireland,Stoke City,Premier League,2016-2017
22,Ramadan Sobhi,"£ 23,000","£ 1,196,000","£ 1,288,659",F,19,Egypt,Stoke City,Premier League,2016-2017
23,Shay Given,"£ 20,000","£ 1,040,000","£ 1,120,573",K,40,Ireland,Stoke City,Premier League,2016-2017
24,Bruno Martins Indi,"£ 17,231","£ 896,000","£ 965,417",D,24,Netherlands,Stoke City,Premier League,2016-2017
25,Daniel Bachmann,"£ 2,500","£ 130,000","£ 140,072",K,21,Austria,Stoke City,Premier League,2016-2017
26,Julien Ngoy,"£ 1,500","£ 78,000","£ 84,043",F,18,Belgium,Stoke City,Premier League,2016-2017
27,Tom Edwards,£ 96,"£ 5,000","£ 5,387",D,17,England,Stoke City,Premier League,2016-2017
28,Thibaud Verlinden,£ 96,"£ 5,000","£ 5,387",F,16,Belgium,Stoke City,Premier League,2016-2017
29,Bojan Krkic,£ 0,£ 0,£ 0,F,25,Spain,Stoke City,Premier League,2016-2017
30,Joselu,£ 0,£ 0,£ 0,F,26,Spain,Stoke City,Premier League,2016-2017
31,Philipp Wollscheid,£ 0,£ 0,£ 0,D,27,Germany,Stoke City,Premier League,2016-2017
32,Joel Taylor,£ 0,£ 0,£ 0,D,20,England,Stoke City,Premier League,2016-2017
33,Ryan Sweeney,£ 0,£ 0,£ 0,D,19,Ireland,Stoke City,Premier League,2016-2017
34,Jakob Haugaard,£ 0,£ 0,£ 0,K,24,Denmark,Stoke City,Premier League,2016-2017
