,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Jermain Defoe,"£ 80,000","£ 4,160,000","£ 4,482,291",F,33,England,Sunderland,Premier League,2016-2017
2,Fabio Borini,"£ 60,000","£ 3,120,000","£ 3,361,718",F,25,Italy,Sunderland,Premier League,2016-2017
3,Adnan Januzaj,"£ 60,000","£ 3,120,000","£ 3,361,718",F,21,Belgium,Sunderland,Premier League,2016-2017
4,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 3,081,575",D,25,Netherlands,Sunderland,Premier League,2016-2017
5,Lee Cattermole,"£ 50,000","£ 2,600,000","£ 2,801,432",M,28,England,Sunderland,Premier League,2016-2017
6,John O'Shea,"£ 47,000","£ 2,444,000","£ 2,633,346",D,35,Ireland,Sunderland,Premier League,2016-2017
7,Lamine Koné,"£ 45,000","£ 2,340,000","£ 2,521,289",D,27,Cote d'Ivoire,Sunderland,Premier League,2016-2017
8,Wahbi Khazri,"£ 40,000","£ 2,080,000","£ 2,241,146",M,25,Tunisia,Sunderland,Premier League,2016-2017
9,Jack Rodwell,"£ 37,000","£ 1,924,000","£ 2,073,060",M,25,England,Sunderland,Premier League,2016-2017
10,Papy Djilobodji,"£ 35,000","£ 1,820,000","£ 1,961,002",D,27,Senegal,Sunderland,Premier League,2016-2017
11,Darron Gibson,"£ 35,000","£ 1,820,000","£ 1,961,002",M,28,Ireland,Sunderland,Premier League,2016-2017
12,Sebastian Larsson,"£ 35,000","£ 1,820,000","£ 1,961,002",M,31,Sweden,Sunderland,Premier League,2016-2017
13,Billy Jones,"£ 32,000","£ 1,664,000","£ 1,792,916",D,29,England,Sunderland,Premier League,2016-2017
14,Jan Kirchhoff,"£ 30,000","£ 1,560,000","£ 1,680,859",M,25,Germany,Sunderland,Premier League,2016-2017
15,Didier Ndong,"£ 30,000","£ 1,560,000","£ 1,680,859",M,22,Gabon,Sunderland,Premier League,2016-2017
16,Joleon Lescott,"£ 30,000","£ 1,560,000","£ 1,680,859",D,33,England,Sunderland,Premier League,2016-2017
17,Vito Mannone,"£ 28,000","£ 1,456,000","£ 1,568,802",K,28,Italy,Sunderland,Premier League,2016-2017
18,Jason Denayer,"£ 25,000","£ 1,300,000","£ 1,400,716",D,21,Belgium,Sunderland,Premier League,2016-2017
19,Bryan Oviedo,"£ 25,000","£ 1,300,000","£ 1,400,716",D,26,Costa Rica,Sunderland,Premier League,2016-2017
20,Duncan Watmore,"£ 20,000","£ 1,040,000","£ 1,120,573",F,22,England,Sunderland,Premier League,2016-2017
21,Paddy McNair,"£ 20,000","£ 1,040,000","£ 1,120,573",M,21,Northern Ireland,Sunderland,Premier League,2016-2017
22,Steven Pienaar,"£ 20,000","£ 1,040,000","£ 1,120,573",F,34,South Africa,Sunderland,Premier League,2016-2017
23,Victor Anichebe,"£ 20,000","£ 1,040,000","£ 1,120,573",F,28,Nigeria,Sunderland,Premier League,2016-2017
24,Jordan Pickford,"£ 20,000","£ 1,040,000","£ 1,120,573",K,22,England,Sunderland,Premier League,2016-2017
25,Mika,"£ 15,000","£ 780,000","£ 840,430",K,25,Portugal,Sunderland,Premier League,2016-2017
26,Donald Love,"£ 10,000","£ 520,000","£ 560,286",D,21,Scotland,Sunderland,Premier League,2016-2017
27,Lynden Gooch,"£ 5,000","£ 260,000","£ 280,143",F,20,United States,Sunderland,Premier League,2016-2017
28,Rees Greenwood,"£ 4,000","£ 208,000","£ 224,115",F,19,England,Sunderland,Premier League,2016-2017
29,Josh Robson,"£ 2,000","£ 104,000","£ 112,057",D,18,England,Sunderland,Premier League,2016-2017
30,Ethan Robson,"£ 1,000","£ 52,000","£ 56,029",M,19,England,Sunderland,Premier League,2016-2017
31,Joel Asoro,"£ 1,000","£ 52,000","£ 56,029",F,17,Sweden,Sunderland,Premier League,2016-2017
32,George Honeyman,£ 808,"£ 42,000","£ 45,254",M,21,England,Sunderland,Premier League,2016-2017
33,Elliot Embleton,£ 500,"£ 26,000","£ 28,014",M,17,England,Sunderland,Premier League,2016-2017
34,Michael Ledger,£ 192,"£ 10,000","£ 10,775",D,18,England,Sunderland,Premier League,2016-2017
35,Max Stryjek,£ 0,£ 0,£ 0,K,19,Poland,Sunderland,Premier League,2016-2017
36,Younès Kaboul,£ 0,£ 0,£ 0,D,30,France,Sunderland,Premier League,2016-2017
37,Adam Matthews,£ 0,£ 0,£ 0,D,24,Wales,Sunderland,Premier League,2016-2017
38,Josh Maja,£ 0,£ 0,£ 0,F,17,England,Sunderland,Premier League,2016-2017
39,Jeremain Lens,£ 0,£ 0,£ 0,F,28,Netherlands,Sunderland,Premier League,2016-2017
40,Javier Manquillo,£ 0,£ 0,£ 0,D,22,Spain,Sunderland,Premier League,2016-2017
41,Tommy Robson,£ 0,£ 0,£ 0,D,20,England,Sunderland,Premier League,2016-2017
42,Will Buckley,£ 0,£ 0,£ 0,F,26,England,Sunderland,Premier League,2016-2017
