,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Saido Berahino,"£ 80,000","£ 4,160,000","£ 4,482,291",F,22,Burundi,West Bromwich,Premier League,2016-2017
2,Claudio Yacob,"£ 60,000","£ 3,120,000","£ 3,361,718",M,28,Argentina,West Bromwich,Premier League,2016-2017
3,Salomón Rondón,"£ 60,000","£ 3,120,000","£ 3,361,718",F,26,Venezuela,West Bromwich,Premier League,2016-2017
4,Nacer Chadli,"£ 55,000","£ 2,860,000","£ 3,081,575",F,26,Belgium,West Bromwich,Premier League,2016-2017
5,Darren Fletcher,"£ 52,000","£ 2,704,000","£ 2,913,489",M,32,Scotland,West Bromwich,Premier League,2016-2017
6,Ben Foster,"£ 50,000","£ 2,600,000","£ 2,801,432",K,33,England,West Bromwich,Premier League,2016-2017
7,Jonny Evans,"£ 47,000","£ 2,444,000","£ 2,633,346",D,28,Northern Ireland,West Bromwich,Premier League,2016-2017
8,Jonas Olsson,"£ 45,000","£ 2,340,000","£ 2,521,289",D,33,Sweden,West Bromwich,Premier League,2016-2017
9,Jake Livermore,"£ 36,000","£ 1,872,000","£ 2,017,031",M,26,England,West Bromwich,Premier League,2016-2017
10,Matt Phillips,"£ 35,000","£ 1,820,000","£ 1,961,002",F,25,Scotland,West Bromwich,Premier League,2016-2017
11,James Morrison,"£ 35,000","£ 1,820,000","£ 1,961,002",M,30,Scotland,West Bromwich,Premier League,2016-2017
12,Chris Brunt,"£ 32,000","£ 1,664,000","£ 1,792,916",M,31,Northern Ireland,West Bromwich,Premier League,2016-2017
13,Craig Dawson,"£ 30,000","£ 1,560,000","£ 1,680,859",D,26,England,West Bromwich,Premier League,2016-2017
14,Marc Wilson,"£ 30,000","£ 1,560,000","£ 1,680,859",D,28,Ireland,West Bromwich,Premier League,2016-2017
15,Gareth McAuley,"£ 26,000","£ 1,352,000","£ 1,456,745",D,36,Northern Ireland,West Bromwich,Premier League,2016-2017
16,James McClean,"£ 25,000","£ 1,300,000","£ 1,400,716",F,27,Ireland,West Bromwich,Premier League,2016-2017
17,Brendan Galloway,"£ 22,500","£ 1,170,000","£ 1,260,644",D,20,England,West Bromwich,Premier League,2016-2017
18,Allan Nyom,"£ 22,000","£ 1,144,000","£ 1,232,630",D,28,Cameroon,West Bromwich,Premier League,2016-2017
19,Hal Robson-Kanu,"£ 20,000","£ 1,040,000","£ 1,120,573",F,27,Wales,West Bromwich,Premier League,2016-2017
20,Boaz Myhill,"£ 18,500","£ 962,000","£ 1,036,530",K,33,Wales,West Bromwich,Premier League,2016-2017
21,Sam Field,"£ 6,500","£ 338,000","£ 364,186",M,18,England,West Bromwich,Premier League,2016-2017
22,Jonathan Leko,"£ 2,500","£ 130,000","£ 140,072",F,17,England,West Bromwich,Premier League,2016-2017
23,Jack Rose,"£ 2,500","£ 130,000","£ 140,072",K,21,England,West Bromwich,Premier League,2016-2017
24,Kane Wilson,£ 96,"£ 5,000","£ 5,387",D,16,England,West Bromwich,Premier League,2016-2017
25,Rekeem Harper,£ 96,"£ 5,000","£ 5,387",M,16,England,West Bromwich,Premier League,2016-2017
26,Sébastien Pocognoli,£ 0,£ 0,£ 0,D,28,Belgium,West Bromwich,Premier League,2016-2017
27,Callum McManaman,£ 0,£ 0,£ 0,F,25,England,West Bromwich,Premier League,2016-2017
28,Craig Gardner,£ 0,£ 0,£ 0,M,29,England,West Bromwich,Premier League,2016-2017
29,Rickie Lambert,£ 0,£ 0,£ 0,F,34,England,West Bromwich,Premier League,2016-2017
30,Alex Palmer,£ 0,£ 0,£ 0,K,19,England,West Bromwich,Premier League,2016-2017
