,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Jamie Vardy,"£ 100,000","£ 5,200,000","£ 5,477,279",F,30,England,Leicester,Premier League,2017-2018
2,Riyad Mahrez,"£ 100,000","£ 5,200,000","£ 5,477,279",F,26,Algeria,Leicester,Premier League,2017-2018
3,Adrien Silva,"£ 80,000","£ 4,160,000","£ 4,381,823",M,28,Portugal,Leicester,Premier League,2017-2018
4,Islam Slimani,"£ 80,000","£ 4,160,000","£ 4,381,823",F,29,Algeria,Leicester,Premier League,2017-2018
5,Kasper Schmeichel,"£ 80,000","£ 4,160,000","£ 4,381,823",K,30,Denmark,Leicester,Premier League,2017-2018
6,Kelechi Iheanacho,"£ 60,000","£ 3,120,000","£ 3,286,367",F,20,Nigeria,Leicester,Premier League,2017-2018
7,Wes Morgan,"£ 60,000","£ 3,120,000","£ 3,286,367",D,33,Jamaica,Leicester,Premier League,2017-2018
8,Aleksandar Dragovic,"£ 51,423","£ 2,674,000","£ 2,816,585",D,26,Austria,Leicester,Premier League,2017-2018
9,Demarai Gray,"£ 50,000","£ 2,600,000","£ 2,738,639",F,21,England,Leicester,Premier League,2017-2018
10,Christian Fuchs,"£ 50,000","£ 2,600,000","£ 2,738,639",D,31,Austria,Leicester,Premier League,2017-2018
11,Vicente Iborra,"£ 50,000","£ 2,600,000","£ 2,738,639",M,29,Spain,Leicester,Premier League,2017-2018
12,Danny Simpson,"£ 45,000","£ 2,340,000","£ 2,464,775",D,30,England,Leicester,Premier League,2017-2018
13,Marc Albrighton,"£ 45,000","£ 2,340,000","£ 2,464,775",M,27,England,Leicester,Premier League,2017-2018
14,Harry Maguire,"£ 40,000","£ 2,080,000","£ 2,190,912",D,24,England,Leicester,Premier League,2017-2018
15,Andy King,"£ 40,000","£ 2,080,000","£ 2,190,912",M,28,Wales,Leicester,Premier League,2017-2018
16,Yohan Benalouane,"£ 40,000","£ 2,080,000","£ 2,190,912",D,30,Tunisia,Leicester,Premier League,2017-2018
17,Nampalys Mendy,"£ 40,000","£ 2,080,000","£ 2,190,912",M,25,France,Leicester,Premier League,2017-2018
18,Robert Huth,"£ 37,500","£ 1,950,000","£ 2,053,980",D,32,Germany,Leicester,Premier League,2017-2018
19,Shinji Okazaki,"£ 35,000","£ 1,820,000","£ 1,917,048",F,31,Japan,Leicester,Premier League,2017-2018
20,Matty James,"£ 32,000","£ 1,664,000","£ 1,752,729",M,25,England,Leicester,Premier League,2017-2018
21,Leonardo Ulloa,"£ 30,000","£ 1,560,000","£ 1,643,184",F,30,Argentina,Leicester,Premier League,2017-2018
22,Wilfred Ndidi,"£ 30,000","£ 1,560,000","£ 1,643,184",M,20,Nigeria,Leicester,Premier League,2017-2018
23,Eldin Jakupovic,"£ 23,000","£ 1,196,000","£ 1,259,774",K,32,Switzerland,Leicester,Premier League,2017-2018
24,Ben Chilwell,"£ 20,000","£ 1,040,000","£ 1,095,456",D,20,England,Leicester,Premier League,2017-2018
25,Daniel Amartey,"£ 20,000","£ 1,040,000","£ 1,095,456",M,22,Ghana,Leicester,Premier League,2017-2018
26,Ben Hamer,"£ 12,000","£ 624,000","£ 657,273",K,29,England,Leicester,Premier League,2017-2018
27,Hamza Choudhury,"£ 7,500","£ 390,000","£ 410,796",M,19,England,Leicester,Premier League,2017-2018
28,Harvey Barnes,"£ 3,000","£ 156,000","£ 164,318",M,19,England,Leicester,Premier League,2017-2018
29,George Thomas,"£ 2,500","£ 130,000","£ 136,932",F,20,Wales,Leicester,Premier League,2017-2018
30,Josh Knight,"£ 1,500","£ 78,000","£ 82,159",D,19,England,Leicester,Premier League,2017-2018
31,Sam Hughes,£ 904,"£ 47,000","£ 49,506",D,20,England,Leicester,Premier League,2017-2018
32,Layton Ndukwu,£ 500,"£ 26,000","£ 27,386",F,18,England,Leicester,Premier League,2017-2018
33,Fousseni Diabaté,£ 0,£ 0,£ 0,F,21,Mali,Leicester,Premier League,2017-2018
34,Ahmed Musa,£ 0,£ 0,£ 0,F,24,Nigeria,Leicester,Premier League,2017-2018
