,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Virgil van Dijk,"£ 180,000","£ 9,360,000","£ 9,859,102",D,25,Netherlands,Liverpool,Premier League,2017-2018
2,James Milner,"£ 140,000","£ 7,280,000","£ 7,668,190",M,31,England,Liverpool,Premier League,2017-2018
3,Daniel Sturridge,"£ 130,000","£ 6,760,000","£ 7,120,462",F,27,England,Liverpool,Premier League,2017-2018
4,Mohamed Salah,"£ 120,000","£ 6,240,000","£ 6,572,735",F,25,Egypt,Liverpool,Premier League,2017-2018
5,Adam Lallana,"£ 110,000","£ 5,720,000","£ 6,025,007",M,29,England,Liverpool,Premier League,2017-2018
6,Sadio Mané,"£ 100,000","£ 5,200,000","£ 5,477,279",F,25,Senegal,Liverpool,Premier League,2017-2018
7,Roberto Firmino,"£ 100,000","£ 5,200,000","£ 5,477,279",F,25,Brazil,Liverpool,Premier League,2017-2018
8,Dejan Lovren,"£ 100,000","£ 5,200,000","£ 5,477,279",D,27,Croatia,Liverpool,Premier League,2017-2018
9,Jordan Henderson,"£ 100,000","£ 5,200,000","£ 5,477,279",M,27,England,Liverpool,Premier League,2017-2018
10,Alex Oxlade-Chamberlain,"£ 80,000","£ 4,160,000","£ 4,381,823",M,23,England,Liverpool,Premier League,2017-2018
11,Nathaniel Clyne,"£ 75,000","£ 3,900,000","£ 4,107,959",D,26,England,Liverpool,Premier League,2017-2018
12,Georginio Wijnaldum,"£ 75,000","£ 3,900,000","£ 4,107,959",M,26,Netherlands,Liverpool,Premier League,2017-2018
13,Danny Ings,"£ 75,000","£ 3,900,000","£ 4,107,959",F,24,England,Liverpool,Premier League,2017-2018
14,Alberto Moreno,"£ 65,000","£ 3,380,000","£ 3,560,231",D,24,Spain,Liverpool,Premier League,2017-2018
15,Joel Matip,"£ 60,000","£ 3,120,000","£ 3,286,367",D,25,Cameroon,Liverpool,Premier League,2017-2018
16,Loris Karius,"£ 60,000","£ 3,120,000","£ 3,286,367",K,24,Germany,Liverpool,Premier League,2017-2018
17,Simon Mignolet,"£ 55,000","£ 2,860,000","£ 3,012,503",K,29,Belgium,Liverpool,Premier League,2017-2018
18,Emre Can,"£ 45,000","£ 2,340,000","£ 2,464,775",M,23,Germany,Liverpool,Premier League,2017-2018
19,Andrew Robertson,"£ 40,000","£ 2,080,000","£ 2,190,912",D,23,Scotland,Liverpool,Premier League,2017-2018
20,Ragnar Klavan,"£ 30,000","£ 1,560,000","£ 1,643,184",D,31,Estonia,Liverpool,Premier League,2017-2018
21,Joe Gomez,"£ 30,000","£ 1,560,000","£ 1,643,184",D,20,England,Liverpool,Premier League,2017-2018
22,Ádám Bogdán,"£ 24,000","£ 1,248,000","£ 1,314,547",K,29,Hungary,Liverpool,Premier League,2017-2018
23,Dominic Solanke,"£ 20,000","£ 1,040,000","£ 1,095,456",F,19,England,Liverpool,Premier League,2017-2018
24,Danny Ward,"£ 18,000","£ 936,000","£ 985,910",K,24,Wales,Liverpool,Premier League,2017-2018
25,Ben Woodburn,"£ 12,000","£ 624,000","£ 657,273",F,17,Wales,Liverpool,Premier League,2017-2018
26,Trent Alexander-Arnold,"£ 12,000","£ 624,000","£ 657,273",D,18,England,Liverpool,Premier League,2017-2018
27,Conor Masterson,£ 769,"£ 40,000","£ 42,133",D,18,Ireland,Liverpool,Premier League,2017-2018
28,Curtis Jones,£ 96,"£ 5,000","£ 5,267",M,16,England,Liverpool,Premier League,2017-2018
29,Lazar Markovic,£ 0,£ 0,£ 0,F,23,Serbia,Liverpool,Premier League,2017-2018
30,Divock Origi,£ 0,£ 0,£ 0,F,22,Belgium,Liverpool,Premier League,2017-2018
31,Marko Grujic,£ 0,£ 0,£ 0,M,21,Serbia,Liverpool,Premier League,2017-2018
32,Connor Randall,£ 0,£ 0,£ 0,D,21,England,Liverpool,Premier League,2017-2018
33,Sheyi Ojo,£ 0,£ 0,£ 0,F,20,England,Liverpool,Premier League,2017-2018
34,Jon Flanagan,£ 0,£ 0,£ 0,D,24,England,Liverpool,Premier League,2017-2018
