,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Wilfried Bony,"£ 90,000","£ 4,680,000","£ 4,929,551",F,28,Cote d'Ivoire,Swansea,Premier League,2017-2018
2,André Ayew,"£ 80,000","£ 4,160,000","£ 4,381,823",F,27,Ghana,Swansea,Premier League,2017-2018
3,Tammy Abraham,"£ 50,000","£ 2,600,000","£ 2,738,639",F,19,England,Swansea,Premier League,2017-2018
4,Sam Clucas,"£ 50,000","£ 2,600,000","£ 2,738,639",M,26,England,Swansea,Premier League,2017-2018
5,Jordan Ayew,"£ 50,000","£ 2,600,000","£ 2,738,639",F,25,Ghana,Swansea,Premier League,2017-2018
6,Lukasz Fabianski,"£ 50,000","£ 2,600,000","£ 2,738,639",K,32,Poland,Swansea,Premier League,2017-2018
7,Leroy Fer,"£ 45,000","£ 2,340,000","£ 2,464,775",M,27,Netherlands,Swansea,Premier League,2017-2018
8,Federico Fernández,"£ 43,000","£ 2,236,000","£ 2,355,230",D,28,Argentina,Swansea,Premier League,2017-2018
9,Andy King,"£ 40,000","£ 2,080,000","£ 2,190,912",M,28,Wales,Swansea,Premier League,2017-2018
10,Leon Britton,"£ 37,500","£ 1,950,000","£ 2,053,980",M,34,England,Swansea,Premier League,2017-2018
11,Wayne Routledge,"£ 36,000","£ 1,872,000","£ 1,971,820",F,32,England,Swansea,Premier League,2017-2018
12,Tom Carroll,"£ 35,000","£ 1,820,000","£ 1,917,048",M,25,England,Swansea,Premier League,2017-2018
13,Martin Olsson,"£ 32,500","£ 1,690,000","£ 1,780,116",D,29,Sweden,Swansea,Premier League,2017-2018
14,Kyle Naughton,"£ 32,000","£ 1,664,000","£ 1,752,729",D,28,England,Swansea,Premier League,2017-2018
15,Ángel Rangel,"£ 32,000","£ 1,664,000","£ 1,752,729",D,34,Spain,Swansea,Premier League,2017-2018
16,Nathan Dyer,"£ 32,000","£ 1,664,000","£ 1,752,729",F,29,England,Swansea,Premier League,2017-2018
17,Luciano Narsingh,"£ 30,000","£ 1,560,000","£ 1,643,184",F,26,Netherlands,Swansea,Premier League,2017-2018
18,Kyle Bartley,"£ 27,500","£ 1,430,000","£ 1,506,252",D,26,England,Swansea,Premier League,2017-2018
19,Renato Sanches,"£ 25,712","£ 1,337,000","£ 1,408,293",M,19,Portugal,Swansea,Premier League,2017-2018
20,Kristoffer Nordfeldt,"£ 25,000","£ 1,300,000","£ 1,369,320",K,28,Sweden,Swansea,Premier League,2017-2018
21,Alfie Mawson,"£ 25,000","£ 1,300,000","£ 1,369,320",D,23,England,Swansea,Premier League,2017-2018
22,Erwin Mulder,"£ 20,000","£ 1,040,000","£ 1,095,456",K,28,Netherlands,Swansea,Premier League,2017-2018
23,Mike van der Hoorn,"£ 15,000","£ 780,000","£ 821,592",D,24,Netherlands,Swansea,Premier League,2017-2018
24,Connor Roberts,"£ 5,000","£ 260,000","£ 273,864",D,21,Wales,Swansea,Premier League,2017-2018
25,Kenji Gorré,"£ 4,000","£ 208,000","£ 219,091",F,22,Curacao,Swansea,Premier League,2017-2018
26,Daniel James,"£ 2,500","£ 130,000","£ 136,932",F,19,Wales,Swansea,Premier League,2017-2018
27,Courtney Baker-Richardson,"£ 2,000","£ 104,000","£ 109,546",F,21,England,Swansea,Premier League,2017-2018
28,Adnan Maric,"£ 1,500","£ 78,000","£ 82,159",M,20,Sweden,Swansea,Premier League,2017-2018
29,George Byers,£ 500,"£ 26,000","£ 27,386",M,21,Scotland,Swansea,Premier League,2017-2018
30,Jay Fulton,£ 0,£ 0,£ 0,M,23,Scotland,Swansea,Premier League,2017-2018
31,Joe Rodon,£ 0,£ 0,£ 0,D,19,Wales,Swansea,Premier League,2017-2018
32,Matt Grimes,£ 0,£ 0,£ 0,M,21,England,Swansea,Premier League,2017-2018
33,Adam King,£ 0,£ 0,£ 0,M,21,Scotland,Swansea,Premier League,2017-2018
34,Oliver McBurnie,£ 0,£ 0,£ 0,F,21,Scotland,Swansea,Premier League,2017-2018
35,Roque Mesa,£ 0,£ 0,£ 0,M,28,Spain,Swansea,Premier League,2017-2018
36,Sung-yong Ki,£ 0,£ 0,£ 0,M,28,South Korea,Swansea,Premier League,2017-2018
