,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Gerard Deulofeu,"£ 85,423","£ 4,442,000","£ 4,678,860",F,23,Spain,Watford,Premier League,2017-2018
2,Andre Gray,"£ 70,000","£ 3,640,000","£ 3,834,095",F,26,England,Watford,Premier League,2017-2018
3,Troy Deeney,"£ 65,000","£ 3,380,000","£ 3,560,231",F,29,England,Watford,Premier League,2017-2018
4,André Carrillo,"£ 59,481","£ 3,093,000","£ 3,257,928",F,26,Peru,Watford,Premier League,2017-2018
5,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,738,639",M,27,England,Watford,Premier League,2017-2018
6,Sebastian Prödl,"£ 45,000","£ 2,340,000","£ 2,464,775",D,30,Austria,Watford,Premier League,2017-2018
7,Daryl Janmaat,"£ 45,000","£ 2,340,000","£ 2,464,775",D,27,Netherlands,Watford,Premier League,2017-2018
8,Roberto Pereyra,"£ 45,000","£ 2,340,000","£ 2,464,775",M,26,Argentina,Watford,Premier League,2017-2018
9,Heurelho Gomes,"£ 35,000","£ 1,820,000","£ 1,917,048",K,36,Brazil,Watford,Premier League,2017-2018
10,Stefano Okaka,"£ 35,000","£ 1,820,000","£ 1,917,048",F,27,Italy,Watford,Premier League,2017-2018
11,Nathaniel Chalobah,"£ 35,000","£ 1,820,000","£ 1,917,048",M,22,England,Watford,Premier League,2017-2018
12,José Holebas,"£ 30,000","£ 1,560,000","£ 1,643,184",D,33,Greece,Watford,Premier League,2017-2018
13,Will Hughes,"£ 30,000","£ 1,560,000","£ 1,643,184",M,22,England,Watford,Premier League,2017-2018
14,Christian Kabasele,"£ 30,000","£ 1,560,000","£ 1,643,184",D,26,Belgium,Watford,Premier League,2017-2018
15,Richarlison,"£ 25,000","£ 1,300,000","£ 1,369,320",F,20,Brazil,Watford,Premier League,2017-2018
16,Miguel Britos,"£ 25,000","£ 1,300,000","£ 1,369,320",D,31,Uruguay,Watford,Premier League,2017-2018
17,Abdoulaye Doucouré,"£ 20,000","£ 1,040,000","£ 1,095,456",M,24,France,Watford,Premier League,2017-2018
18,Jerome Sinclair,"£ 20,000","£ 1,040,000","£ 1,095,456",F,20,England,Watford,Premier League,2017-2018
19,Kiko Femenía,"£ 20,000","£ 1,040,000","£ 1,095,456",D,26,Spain,Watford,Premier League,2017-2018
20,Marvin Zeegelaar,"£ 20,000","£ 1,040,000","£ 1,095,456",D,26,Netherlands,Watford,Premier League,2017-2018
21,Orestis Karnezis,"£ 19,058","£ 991,000","£ 1,043,843",K,31,Greece,Watford,Premier League,2017-2018
22,Craig Cathcart,"£ 18,000","£ 936,000","£ 985,910",D,28,Northern Ireland,Watford,Premier League,2017-2018
23,Didier Ndong,"£ 18,000","£ 936,000","£ 985,910",M,23,Gabon,Watford,Premier League,2017-2018
24,Tommie Hoban,"£ 16,000","£ 832,000","£ 876,365",D,23,Ireland,Watford,Premier League,2017-2018
25,Dodi Lukebakio,"£ 13,096","£ 681,000","£ 717,313",F,19,Belgium,Watford,Premier League,2017-2018
26,Molla Wagué,"£ 9,269","£ 482,000","£ 507,702",D,26,Mali,Watford,Premier League,2017-2018
27,Adrian Mariappa,"£ 7,000","£ 364,000","£ 383,410",D,30,Jamaica,Watford,Premier League,2017-2018
28,Daniel Bachmann,"£ 2,500","£ 130,000","£ 136,932",K,22,Austria,Watford,Premier League,2017-2018
29,Carl Stewart,£ 750,"£ 39,000","£ 41,080",M,20,England,Watford,Premier League,2017-2018
30,Joy Mukena,£ 192,"£ 10,000","£ 10,533",D,17,England,Watford,Premier League,2017-2018
31,Michael Folivi,£ 0,£ 0,£ 0,F,19,England,Watford,Premier League,2017-2018
32,Costel Pantilimon,£ 0,£ 0,£ 0,K,30,Romania,Watford,Premier League,2017-2018
33,Étienne Capoue,£ 0,£ 0,£ 0,M,28,France,Watford,Premier League,2017-2018
34,Younès Kaboul,£ 0,£ 0,£ 0,D,31,France,Watford,Premier League,2017-2018
35,Ben Watson,£ 0,£ 0,£ 0,M,31,England,Watford,Premier League,2017-2018
36,Isaac Success,£ 0,£ 0,£ 0,F,21,Nigeria,Watford,Premier League,2017-2018
37,Nordin Amrabat,£ 0,£ 0,£ 0,F,30,Morocco,Watford,Premier League,2017-2018
