,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Oumar Niasse,"£ 50,000","£ 2,600,000","£ 2,691,852",F,28,Senegal,Cardiff,Premier League,2018-2019
2,Harry Arter,"£ 40,000","£ 2,080,000","£ 2,153,482",M,28,Ireland,Cardiff,Premier League,2018-2019
3,Bobby Reid,"£ 30,000","£ 1,560,000","£ 1,615,111",M,25,Jamaica,Cardiff,Premier League,2018-2019
4,Alex Smithies,"£ 30,000","£ 1,560,000","£ 1,615,111",K,28,England,Cardiff,Premier League,2018-2019
5,Bruno Ecuele Manga,"£ 29,500","£ 1,534,000","£ 1,588,193",D,29,Gabon,Cardiff,Premier League,2018-2019
6,Junior Hoilett,"£ 28,000","£ 1,456,000","£ 1,507,437",F,28,Canada,Cardiff,Premier League,2018-2019
7,Sean Morrison,"£ 25,000","£ 1,300,000","£ 1,345,926",D,27,England,Cardiff,Premier League,2018-2019
8,Josh Murphy,"£ 25,000","£ 1,300,000","£ 1,345,926",F,23,England,Cardiff,Premier League,2018-2019
9,Joe Ralls,"£ 24,500","£ 1,274,000","£ 1,319,008",M,24,England,Cardiff,Premier League,2018-2019
10,Aron Gunnarsson,"£ 24,000","£ 1,248,000","£ 1,292,089",M,29,Iceland,Cardiff,Premier League,2018-2019
11,Lee Tomlin,"£ 22,500","£ 1,170,000","£ 1,211,333",F,29,England,Cardiff,Premier League,2018-2019
12,Callum Paterson,"£ 22,500","£ 1,170,000","£ 1,211,333",M,23,Scotland,Cardiff,Premier League,2018-2019
13,Leandro Bacuna,"£ 20,019","£ 1,041,000","£ 1,077,776",M,26,Curacao,Cardiff,Premier League,2018-2019
14,Danny Ward,"£ 20,000","£ 1,040,000","£ 1,076,741",F,27,England,Cardiff,Premier League,2018-2019
15,Joe Bennett,"£ 19,500","£ 1,014,000","£ 1,049,822",D,28,England,Cardiff,Premier League,2018-2019
16,Neil Etheridge,"£ 19,500","£ 1,014,000","£ 1,049,822",K,28,Philippines,Cardiff,Premier League,2018-2019
17,Greg Cunningham,"£ 19,000","£ 988,000","£ 1,022,904",D,27,Ireland,Cardiff,Premier League,2018-2019
18,Matthew Connolly,"£ 19,000","£ 988,000","£ 1,022,904",D,30,England,Cardiff,Premier League,2018-2019
19,Lee Peltier,"£ 19,000","£ 988,000","£ 1,022,904",D,31,England,Cardiff,Premier League,2018-2019
20,Nathaniel Mendez-Laing,"£ 18,500","£ 962,000","£ 995,985",F,26,England,Cardiff,Premier League,2018-2019
21,Gary Madine,"£ 18,000","£ 936,000","£ 969,067",F,27,England,Cardiff,Premier League,2018-2019
22,Kenneth Zohore,"£ 16,500","£ 858,000","£ 888,311",F,24,Denmark,Cardiff,Premier League,2018-2019
23,Víctor Camarasa,"£ 16,115","£ 838,000","£ 867,605",M,24,Spain,Cardiff,Premier League,2018-2019
24,Stuart O'Keefe,"£ 15,000","£ 780,000","£ 807,556",M,27,England,Cardiff,Premier League,2018-2019
25,Sol Bamba,"£ 14,000","£ 728,000","£ 753,719",D,33,Cote d'Ivoire,Cardiff,Premier League,2018-2019
26,Jazz Richards,"£ 13,000","£ 676,000","£ 699,882",D,27,Wales,Cardiff,Premier League,2018-2019
27,Kadeem Harris,"£ 12,000","£ 624,000","£ 646,045",M,25,England,Cardiff,Premier League,2018-2019
28,Brian Murphy,"£ 10,500","£ 546,000","£ 565,289",K,35,Ireland,Cardiff,Premier League,2018-2019
29,Loïc Damour,"£ 9,500","£ 494,000","£ 511,452",M,27,France,Cardiff,Premier League,2018-2019
30,Rhys Healey,"£ 3,000","£ 156,000","£ 161,511",F,23,England,Cardiff,Premier League,2018-2019
31,Cameron Coxe,£ 692,"£ 36,000","£ 37,272",D,19,Wales,Cardiff,Premier League,2018-2019
32,Lloyd Humphries,£ 596,"£ 31,000","£ 32,095",M,20,Wales,Cardiff,Premier League,2018-2019
33,Ciaron Brown,£ 0,£ 0,£ 0,D,20,England,Cardiff,Premier League,2018-2019
34,Jack McKay,£ 0,£ 0,£ 0,F,21,Scotland,Cardiff,Premier League,2018-2019
35,Omar Bogle,£ 0,£ 0,£ 0,F,25,England,Cardiff,Premier League,2018-2019
