,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,André Schürrle,"£ 103,577","£ 5,386,000","£ 5,576,275",F,27,Germany,Fulham,Premier League,2018-2019
2,Lazar Markovic,"£ 75,000","£ 3,900,000","£ 4,037,778",F,24,Serbia,Fulham,Premier League,2018-2019
3,André Zambo Anguissa,"£ 67,000","£ 3,484,000","£ 3,607,082",M,22,Cameroon,Fulham,Premier League,2018-2019
4,Jean Michaël Seri,"£ 65,000","£ 3,380,000","£ 3,499,408",M,26,Cote d'Ivoire,Fulham,Premier League,2018-2019
5,Aleksandar Mitrovic,"£ 60,000","£ 3,120,000","£ 3,230,223",F,23,Serbia,Fulham,Premier League,2018-2019
6,Luciano Vietto,"£ 55,365","£ 2,879,000","£ 2,980,709",F,24,Argentina,Fulham,Premier League,2018-2019
7,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,691,852",D,23,England,Fulham,Premier League,2018-2019
8,Fabri,"£ 45,000","£ 2,340,000","£ 2,422,667",K,30,Spain,Fulham,Premier League,2018-2019
9,Sergio Rico,"£ 44,885","£ 2,334,000","£ 2,416,455",K,24,Spain,Fulham,Premier League,2018-2019
10,Ryan Babel,"£ 42,827","£ 2,227,000","£ 2,305,675",F,31,Netherlands,Fulham,Premier League,2018-2019
11,Tom Cairney,"£ 40,000","£ 2,080,000","£ 2,153,482",M,27,Scotland,Fulham,Premier League,2018-2019
12,Marcus Bettinelli,"£ 35,000","£ 1,820,000","£ 1,884,297",K,26,England,Fulham,Premier League,2018-2019
13,Havard Nordtveit,"£ 34,115","£ 1,774,000","£ 1,836,671",M,28,Norway,Fulham,Premier League,2018-2019
14,Alfie Mawson,"£ 32,000","£ 1,664,000","£ 1,722,785",D,24,England,Fulham,Premier League,2018-2019
15,Joe Bryan,"£ 30,000","£ 1,560,000","£ 1,615,111",D,24,England,Fulham,Premier League,2018-2019
16,Tim Ream,"£ 27,000","£ 1,404,000","£ 1,453,600",D,30,United States,Fulham,Premier League,2018-2019
17,Maxime Le Marchand,"£ 25,000","£ 1,300,000","£ 1,345,926",D,28,France,Fulham,Premier League,2018-2019
18,Timothy Fosu-Mensah,"£ 25,000","£ 1,300,000","£ 1,345,926",D,20,Netherlands,Fulham,Premier League,2018-2019
19,Kevin McDonald,"£ 22,000","£ 1,144,000","£ 1,184,415",M,29,Scotland,Fulham,Premier League,2018-2019
20,Cyrus Christie,"£ 20,000","£ 1,040,000","£ 1,076,741",D,25,Ireland,Fulham,Premier League,2018-2019
21,Ryan Sessegnon,"£ 15,000","£ 780,000","£ 807,556",M,18,England,Fulham,Premier League,2018-2019
22,Neeskens Kebano,"£ 13,462","£ 700,000","£ 724,729",M,26,Democratic Republic of the Congo,Fulham,Premier League,2018-2019
23,Ibrahima Cissé,"£ 12,500","£ 650,000","£ 672,963",M,24,Guinea,Fulham,Premier League,2018-2019
24,Aboubakar Kamara,"£ 12,500","£ 650,000","£ 672,963",F,23,France,Fulham,Premier League,2018-2019
25,Stefan Johansen,"£ 10,000","£ 520,000","£ 538,370",M,27,Norway,Fulham,Premier League,2018-2019
26,Denis Odoi,"£ 8,981","£ 467,000","£ 483,498",D,30,Belgium,Fulham,Premier League,2018-2019
27,Floyd Ayité,"£ 8,000","£ 416,000","£ 430,696",F,29,Togo,Fulham,Premier League,2018-2019
28,Marcelo Djaló,"£ 3,000","£ 156,000","£ 161,511",D,24,Guinea-Bissau,Fulham,Premier League,2018-2019
29,Steven Sessegnon,"£ 2,000","£ 104,000","£ 107,674",D,18,England,Fulham,Premier League,2018-2019
30,Luca de la Torre,"£ 1,500","£ 78,000","£ 80,756",M,20,United States,Fulham,Premier League,2018-2019
31,Matt O'Riley,£ 500,"£ 26,000","£ 26,919",M,17,England,Fulham,Premier League,2018-2019
32,Rui Fonte,£ 0,£ 0,£ 0,F,28,Portugal,Fulham,Premier League,2018-2019
33,Harvey Elliott,£ 0,£ 0,£ 0,F,15,England,Fulham,Premier League,2018-2019
