,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Aaron Mooy,"£ 50,000","£ 2,600,000","£ 2,691,852",M,27,Australia,Huddersfield,Premier League,2018-2019
2,Jason Puncheon,"£ 35,000","£ 1,820,000","£ 1,884,297",M,32,England,Huddersfield,Premier League,2018-2019
3,Erik Durm,"£ 35,000","£ 1,820,000","£ 1,884,297",D,26,Germany,Huddersfield,Premier League,2018-2019
4,Laurent Depoitre,"£ 35,000","£ 1,820,000","£ 1,884,297",F,29,Belgium,Huddersfield,Premier League,2018-2019
5,Steve Mounié,"£ 35,000","£ 1,820,000","£ 1,884,297",F,23,Benin,Huddersfield,Premier League,2018-2019
6,Terence Kongolo,"£ 35,000","£ 1,820,000","£ 1,884,297",D,24,Netherlands,Huddersfield,Premier League,2018-2019
7,Zanka,"£ 33,000","£ 1,716,000","£ 1,776,622",D,28,Denmark,Huddersfield,Premier League,2018-2019
8,Alex Pritchard,"£ 30,000","£ 1,560,000","£ 1,615,111",M,25,England,Huddersfield,Premier League,2018-2019
9,Danny Williams,"£ 30,000","£ 1,560,000","£ 1,615,111",M,29,United States,Huddersfield,Premier League,2018-2019
10,Adama Diakhaby,"£ 30,000","£ 1,560,000","£ 1,615,111",F,21,France,Huddersfield,Premier League,2018-2019
11,Jonas Lössl,"£ 28,000","£ 1,456,000","£ 1,507,437",K,29,Denmark,Huddersfield,Premier League,2018-2019
12,Ramadan Sobhi,"£ 27,000","£ 1,404,000","£ 1,453,600",F,21,Egypt,Huddersfield,Premier League,2018-2019
13,Elias Kachunga,"£ 25,000","£ 1,300,000","£ 1,345,926",F,26,Democratic Republic of the Congo,Huddersfield,Premier League,2018-2019
14,Christopher Schindler,"£ 25,000","£ 1,300,000","£ 1,345,926",D,28,Germany,Huddersfield,Premier League,2018-2019
15,Florent Hadergjonaj,"£ 23,000","£ 1,196,000","£ 1,238,252",D,23,Kosovo,Huddersfield,Premier League,2018-2019
16,Jonathan Hogg,"£ 22,500","£ 1,170,000","£ 1,211,333",M,29,England,Huddersfield,Premier League,2018-2019
17,Chris Löwe,"£ 20,000","£ 1,040,000","£ 1,076,741",D,29,Germany,Huddersfield,Premier League,2018-2019
18,Tommy Smith,"£ 20,000","£ 1,040,000","£ 1,076,741",D,26,England,Huddersfield,Premier League,2018-2019
19,Abdelhamid Sabiri,"£ 17,500","£ 910,000","£ 942,148",M,21,Germany,Huddersfield,Premier League,2018-2019
20,Rajiv van La Parra,"£ 17,500","£ 910,000","£ 942,148",F,27,Netherlands,Huddersfield,Premier League,2018-2019
21,Juninho Bacuna,"£ 17,000","£ 884,000","£ 915,230",M,20,Netherlands,Huddersfield,Premier League,2018-2019
22,Collin Quaner,"£ 15,712","£ 817,000","£ 845,863",F,27,Germany,Huddersfield,Premier League,2018-2019
23,Philip Billing,"£ 15,000","£ 780,000","£ 807,556",M,22,Denmark,Huddersfield,Premier League,2018-2019
24,Jon Gorenc-Stankovic,"£ 15,000","£ 780,000","£ 807,556",D,22,Slovenia,Huddersfield,Premier League,2018-2019
25,Karlan Grant,"£ 12,192","£ 634,000","£ 656,398",F,20,England,Huddersfield,Premier League,2018-2019
26,Ben Hamer,"£ 12,000","£ 624,000","£ 646,045",K,30,England,Huddersfield,Premier League,2018-2019
27,Isaac Mbenza,"£ 9,288","£ 483,000","£ 500,063",F,22,Belgium,Huddersfield,Premier League,2018-2019
28,Joel Coleman,"£ 3,000","£ 156,000","£ 161,511",K,22,England,Huddersfield,Premier League,2018-2019
29,Matty Daly,"£ 1,000","£ 52,000","£ 53,837",M,17,England,Huddersfield,Premier League,2018-2019
30,Demeaco Duhaney,"£ 1,000","£ 52,000","£ 53,837",D,19,England,Huddersfield,Premier League,2018-2019
31,Ryan Schofield,£ 500,"£ 26,000","£ 26,919",K,18,England,Huddersfield,Premier League,2018-2019
32,Aaron Rowe,£ 96,"£ 5,000","£ 5,177",M,17,England,Huddersfield,Premier League,2018-2019
33,Jack Payne,£ 0,£ 0,£ 0,M,23,England,Huddersfield,Premier League,2018-2019
