,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Alexis Sánchez,"£ 350,000","£ 18,200,000","£ 18,842,965",F,29,Chile,Manchester United,Premier League,2018-2019
2,Paul Pogba,"£ 290,000","£ 15,080,000","£ 15,612,743",M,25,France,Manchester United,Premier League,2018-2019
3,David de Gea,"£ 200,000","£ 10,400,000","£ 10,767,409",K,27,Spain,Manchester United,Premier League,2018-2019
4,Romelu Lukaku,"£ 180,000","£ 9,360,000","£ 9,690,668",F,25,Belgium,Manchester United,Premier League,2018-2019
5,Juan Mata,"£ 160,000","£ 8,320,000","£ 8,613,927",M,30,Spain,Manchester United,Premier League,2018-2019
6,Luke Shaw,"£ 150,000","£ 7,800,000","£ 8,075,557",D,22,England,Manchester United,Premier League,2018-2019
7,Fred,"£ 120,000","£ 6,240,000","£ 6,460,445",M,25,Brazil,Manchester United,Premier League,2018-2019
8,Ashley Young,"£ 120,000","£ 6,240,000","£ 6,460,445",D,32,England,Manchester United,Premier League,2018-2019
9,Nemanja Matic,"£ 120,000","£ 6,240,000","£ 6,460,445",M,29,Serbia,Manchester United,Premier League,2018-2019
10,Ander Herrera,"£ 115,000","£ 5,980,000","£ 6,191,260",M,28,Spain,Manchester United,Premier League,2018-2019
11,Marcos Rojo,"£ 110,000","£ 5,720,000","£ 5,922,075",D,28,Argentina,Manchester United,Premier League,2018-2019
12,Anthony Martial,"£ 110,000","£ 5,720,000","£ 5,922,075",F,22,France,Manchester United,Premier League,2018-2019
13,Marouane Fellaini,"£ 100,000","£ 5,200,000","£ 5,383,704",M,30,Belgium,Manchester United,Premier League,2018-2019
14,Antonio Valencia,"£ 85,000","£ 4,420,000","£ 4,576,149",D,32,Ecuador,Manchester United,Premier League,2018-2019
15,Eric Bailly,"£ 80,000","£ 4,160,000","£ 4,306,964",D,24,Cote d'Ivoire,Manchester United,Premier League,2018-2019
16,Victor Lindelöf,"£ 75,000","£ 3,900,000","£ 4,037,778",D,23,Sweden,Manchester United,Premier League,2018-2019
17,Jesse Lingard,"£ 75,000","£ 3,900,000","£ 4,037,778",F,25,England,Manchester United,Premier League,2018-2019
18,Phil Jones,"£ 75,000","£ 3,900,000","£ 4,037,778",D,26,England,Manchester United,Premier League,2018-2019
19,Chris Smalling,"£ 70,000","£ 3,640,000","£ 3,768,593",D,28,England,Manchester United,Premier League,2018-2019
20,Sergio Romero,"£ 70,000","£ 3,640,000","£ 3,768,593",K,31,Argentina,Manchester United,Premier League,2018-2019
21,Matteo Darmian,"£ 45,000","£ 2,340,000","£ 2,422,667",D,28,Italy,Manchester United,Premier League,2018-2019
22,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,615,111",K,35,England,Manchester United,Premier League,2018-2019
23,Andreas Pereira,"£ 30,000","£ 1,560,000","£ 1,615,111",M,22,Brazil,Manchester United,Premier League,2018-2019
24,Timothy Fosu-Mensah,"£ 25,000","£ 1,300,000","£ 1,345,926",D,20,Netherlands,Manchester United,Premier League,2018-2019
25,Diogo Dalot,"£ 25,000","£ 1,300,000","£ 1,345,926",D,19,Portugal,Manchester United,Premier League,2018-2019
26,Marcus Rashford,"£ 20,000","£ 1,040,000","£ 1,076,741",F,20,England,Manchester United,Premier League,2018-2019
27,Scott McTominay,"£ 20,000","£ 1,040,000","£ 1,076,741",M,21,Scotland,Manchester United,Premier League,2018-2019
28,Axel Tuanzebe,"£ 10,000","£ 520,000","£ 538,370",D,20,England,Manchester United,Premier League,2018-2019
29,Tahith Chong,"£ 10,000","£ 520,000","£ 538,370",F,18,Netherlands,Manchester United,Premier League,2018-2019
30,Angel Gomes,"£ 10,000","£ 520,000","£ 538,370",M,17,England,Manchester United,Premier League,2018-2019
31,James Garner,"£ 5,000","£ 260,000","£ 269,185",M,17,England,Manchester United,Premier League,2018-2019
32,Mason Greenwood,£ 96,"£ 5,000","£ 5,177",F,16,England,Manchester United,Premier League,2018-2019
33,Joel Pereira,£ 0,£ 0,£ 0,K,22,Portugal,Manchester United,Premier League,2018-2019
34,Cameron Borthwick-Jackson,£ 0,£ 0,£ 0,D,21,England,Manchester United,Premier League,2018-2019
35,James Wilson,£ 0,£ 0,£ 0,F,22,England,Manchester United,Premier League,2018-2019
