,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Salomón Rondón,"£ 60,000","£ 3,120,000","£ 3,230,223",F,28,Venezuela,Newcastle,Premier League,2018-2019
2,Yoshinori Muto,"£ 54,000","£ 2,808,000","£ 2,907,200",F,25,Japan,Newcastle,Premier League,2018-2019
3,Ayoze Pérez,"£ 45,000","£ 2,340,000","£ 2,422,667",F,24,Spain,Newcastle,Premier League,2018-2019
4,Mohamed Diamé,"£ 45,000","£ 2,340,000","£ 2,422,667",M,31,Senegal,Newcastle,Premier League,2018-2019
5,Federico Fernández,"£ 43,000","£ 2,236,000","£ 2,314,993",D,29,Argentina,Newcastle,Premier League,2018-2019
6,Miguel Almirón,"£ 42,000","£ 2,184,000","£ 2,261,156",M,24,Paraguay,Newcastle,Premier League,2018-2019
7,Antonio Barreca,"£ 41,288","£ 2,147,000","£ 2,222,849",D,23,Italy,Newcastle,Premier League,2018-2019
8,Martin Dubravka,"£ 40,000","£ 2,080,000","£ 2,153,482",K,29,Slovakia,Newcastle,Premier League,2018-2019
9,Joselu,"£ 40,000","£ 2,080,000","£ 2,153,482",F,28,Spain,Newcastle,Premier League,2018-2019
10,Sung-yong Ki,"£ 40,000","£ 2,080,000","£ 2,153,482",M,29,South Korea,Newcastle,Premier League,2018-2019
11,Fabian Schär,"£ 40,000","£ 2,080,000","£ 2,153,482",D,26,Switzerland,Newcastle,Premier League,2018-2019
12,Jamaal Lascelles,"£ 40,000","£ 2,080,000","£ 2,153,482",D,24,England,Newcastle,Premier League,2018-2019
13,Florian Lejeune,"£ 38,000","£ 1,976,000","£ 2,045,808",D,27,France,Newcastle,Premier League,2018-2019
14,Jonjo Shelvey,"£ 35,000","£ 1,820,000","£ 1,884,297",M,26,England,Newcastle,Premier League,2018-2019
15,Ciaran Clark,"£ 35,000","£ 1,820,000","£ 1,884,297",D,28,Ireland,Newcastle,Premier League,2018-2019
16,Paul Dummett,"£ 35,000","£ 1,820,000","£ 1,884,297",D,26,Wales,Newcastle,Premier League,2018-2019
17,Christian Atsu,"£ 30,000","£ 1,560,000","£ 1,615,111",F,26,Ghana,Newcastle,Premier League,2018-2019
18,DeAndre Yedlin,"£ 30,000","£ 1,560,000","£ 1,615,111",D,24,United States,Newcastle,Premier League,2018-2019
19,Matt Ritchie,"£ 30,000","£ 1,560,000","£ 1,615,111",M,28,Scotland,Newcastle,Premier League,2018-2019
20,Javier Manquillo,"£ 25,000","£ 1,300,000","£ 1,345,926",D,24,Spain,Newcastle,Premier League,2018-2019
21,Jacob Murphy,"£ 25,000","£ 1,300,000","£ 1,345,926",F,23,England,Newcastle,Premier League,2018-2019
22,Kenedy,"£ 25,000","£ 1,300,000","£ 1,345,926",M,22,Brazil,Newcastle,Premier League,2018-2019
23,Rob Elliot,"£ 25,000","£ 1,300,000","£ 1,345,926",K,32,Ireland,Newcastle,Premier League,2018-2019
24,Isaac Hayden,"£ 22,000","£ 1,144,000","£ 1,184,415",M,23,England,Newcastle,Premier League,2018-2019
25,Achraf Lazaar,"£ 15,000","£ 780,000","£ 807,556",D,26,Morocco,Newcastle,Premier League,2018-2019
26,Karl Darlow,"£ 15,000","£ 780,000","£ 807,556",K,27,England,Newcastle,Premier League,2018-2019
27,Freddie Woodman,"£ 3,000","£ 156,000","£ 161,511",K,21,England,Newcastle,Premier League,2018-2019
28,Sean Longstaff,"£ 1,000","£ 52,000","£ 53,837",M,20,England,Newcastle,Premier League,2018-2019
29,Nathan Harker,£ 500,"£ 26,000","£ 26,919",K,19,England,Newcastle,Premier League,2018-2019
30,Kell Watts,£ 404,"£ 21,000","£ 21,742",D,18,England,Newcastle,Premier League,2018-2019
31,Lewis Cass,£ 346,"£ 18,000","£ 18,636",D,18,England,Newcastle,Premier League,2018-2019
32,Henri Saivet,£ 0,£ 0,£ 0,M,27,Senegal,Newcastle,Premier League,2018-2019
33,Jamie Sterry,£ 0,£ 0,£ 0,D,22,England,Newcastle,Premier League,2018-2019
34,Jack Colback,£ 0,£ 0,£ 0,M,28,England,Newcastle,Premier League,2018-2019
35,Dwight Gayle,£ 0,£ 0,£ 0,F,27,England,Newcastle,Premier League,2018-2019
36,Callum Roberts,£ 0,£ 0,£ 0,F,21,England,Newcastle,Premier League,2018-2019
37,Rolando Aarons,£ 0,£ 0,£ 0,F,22,England,Newcastle,Premier League,2018-2019
