,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Fraser Forster,"£ 90,000","£ 4,680,000","£ 4,845,334",K,30,England,Southampton,Premier League,2018-2019
2,Manolo Gabbiadini,"£ 80,000","£ 4,160,000","£ 4,306,964",F,26,Italy,Southampton,Premier League,2018-2019
3,Danny Ings,"£ 75,000","£ 3,900,000","£ 4,037,778",F,25,England,Southampton,Premier League,2018-2019
4,Charlie Austin,"£ 70,000","£ 3,640,000","£ 3,768,593",F,28,England,Southampton,Premier League,2018-2019
5,Oriol Romeu,"£ 65,000","£ 3,380,000","£ 3,499,408",M,26,Spain,Southampton,Premier League,2018-2019
6,Cédric Soares,"£ 65,000","£ 3,380,000","£ 3,499,408",D,26,Portugal,Southampton,Premier League,2018-2019
7,Mario Lemina,"£ 65,000","£ 3,380,000","£ 3,499,408",M,24,Gabon,Southampton,Premier League,2018-2019
8,Mohamed Elyounoussi,"£ 60,000","£ 3,120,000","£ 3,230,223",F,23,Norway,Southampton,Premier League,2018-2019
9,Steven Davis,"£ 60,000","£ 3,120,000","£ 3,230,223",M,33,Northern Ireland,Southampton,Premier League,2018-2019
10,Jannik Vestergaard,"£ 60,000","£ 3,120,000","£ 3,230,223",D,25,Denmark,Southampton,Premier League,2018-2019
11,Shane Long,"£ 60,000","£ 3,120,000","£ 3,230,223",F,31,Ireland,Southampton,Premier League,2018-2019
12,Wesley Hoedt,"£ 60,000","£ 3,120,000","£ 3,230,223",D,24,Netherlands,Southampton,Premier League,2018-2019
13,Ryan Bertrand,"£ 60,000","£ 3,120,000","£ 3,230,223",D,28,England,Southampton,Premier League,2018-2019
14,Nathan Redmond,"£ 60,000","£ 3,120,000","£ 3,230,223",F,24,England,Southampton,Premier League,2018-2019
15,Alex McCarthy,"£ 50,000","£ 2,600,000","£ 2,691,852",K,28,England,Southampton,Premier League,2018-2019
16,Maya Yoshida,"£ 50,000","£ 2,600,000","£ 2,691,852",D,29,Japan,Southampton,Premier League,2018-2019
17,Pierre-Emile Höjbjerg,"£ 50,000","£ 2,600,000","£ 2,691,852",M,22,Denmark,Southampton,Premier League,2018-2019
18,Stuart Armstrong,"£ 50,000","£ 2,600,000","£ 2,691,852",M,26,Scotland,Southampton,Premier League,2018-2019
19,Jack Stephens,"£ 45,000","£ 2,340,000","£ 2,422,667",D,24,England,Southampton,Premier League,2018-2019
20,James Ward-Prowse,"£ 45,000","£ 2,340,000","£ 2,422,667",M,23,England,Southampton,Premier League,2018-2019
21,Sam Gallagher,"£ 40,000","£ 2,080,000","£ 2,153,482",F,22,England,Southampton,Premier League,2018-2019
22,Angus Gunn,"£ 40,000","£ 2,080,000","£ 2,153,482",K,22,England,Southampton,Premier League,2018-2019
23,Matt Targett,"£ 35,000","£ 1,820,000","£ 1,884,297",D,22,England,Southampton,Premier League,2018-2019
24,Jan Bednarek,"£ 20,000","£ 1,040,000","£ 1,076,741",D,22,Poland,Southampton,Premier League,2018-2019
25,Sam McQueen,"£ 18,000","£ 936,000","£ 969,067",D,23,England,Southampton,Premier League,2018-2019
26,Josh Sims,"£ 18,000","£ 936,000","£ 969,067",F,21,England,Southampton,Premier League,2018-2019
27,Alfie Jones,"£ 2,000","£ 104,000","£ 107,674",D,20,England,Southampton,Premier League,2018-2019
28,Callum Slattery,"£ 2,000","£ 104,000","£ 107,674",M,19,England,Southampton,Premier League,2018-2019
29,Yan Valery,"£ 2,000","£ 104,000","£ 107,674",D,19,France,Southampton,Premier League,2018-2019
30,Harry Lewis,"£ 1,000","£ 52,000","£ 53,837",K,20,England,Southampton,Premier League,2018-2019
31,Marcus Barnes,£ 808,"£ 42,000","£ 43,484",F,21,England,Southampton,Premier League,2018-2019
32,Tyreke Johnson,£ 808,"£ 42,000","£ 43,484",M,19,England,Southampton,Premier League,2018-2019
33,Jack Rose,£ 798,"£ 41,500","£ 42,966",K,23,England,Southampton,Premier League,2018-2019
34,Michael Obafemi,£ 596,"£ 31,000","£ 32,095",F,17,Ireland,Southampton,Premier League,2018-2019
35,Kayne Ramsay,£ 500,"£ 26,000","£ 26,919",D,17,England,Southampton,Premier League,2018-2019
36,Harrison Reed,£ 0,£ 0,£ 0,M,23,England,Southampton,Premier League,2018-2019
37,Guido Carrillo,£ 0,£ 0,£ 0,F,27,Argentina,Southampton,Premier League,2018-2019
38,Sofiane Boufal,£ 0,£ 0,£ 0,F,24,Morocco,Southampton,Premier League,2018-2019
39,Jordy Clasie,£ 0,£ 0,£ 0,M,27,Netherlands,Southampton,Premier League,2018-2019
40,Jake Hesketh,£ 0,£ 0,£ 0,M,22,England,Southampton,Premier League,2018-2019
