,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Harry Kane,"£ 200,000","£ 10,400,000","£ 10,767,409",F,24,England,Tottenham,Premier League,2018-2019
2,Dele Alli,"£ 100,000","£ 5,200,000","£ 5,383,704",M,22,England,Tottenham,Premier League,2018-2019
3,Hugo Lloris,"£ 100,000","£ 5,200,000","£ 5,383,704",K,31,France,Tottenham,Premier League,2018-2019
4,Jan Vertonghen,"£ 89,769","£ 4,668,000","£ 4,832,910",D,31,Belgium,Tottenham,Premier League,2018-2019
5,Heung-min Son,"£ 85,000","£ 4,420,000","£ 4,576,149",F,25,South Korea,Tottenham,Premier League,2018-2019
6,Moussa Sissoko,"£ 80,000","£ 4,160,000","£ 4,306,964",M,28,France,Tottenham,Premier League,2018-2019
7,Erik Lamela,"£ 80,000","£ 4,160,000","£ 4,306,964",F,26,Argentina,Tottenham,Premier League,2018-2019
8,Lucas Moura,"£ 75,000","£ 3,900,000","£ 4,037,778",F,25,Brazil,Tottenham,Premier League,2018-2019
9,Fernando Llorente,"£ 75,000","£ 3,900,000","£ 4,037,778",F,33,Spain,Tottenham,Premier League,2018-2019
10,Christian Eriksen,"£ 75,000","£ 3,900,000","£ 4,037,778",M,26,Denmark,Tottenham,Premier League,2018-2019
11,Serge Aurier,"£ 70,000","£ 3,640,000","£ 3,768,593",D,25,Cote d'Ivoire,Tottenham,Premier League,2018-2019
12,Victor Wanyama,"£ 65,000","£ 3,380,000","£ 3,499,408",M,27,Kenya,Tottenham,Premier League,2018-2019
13,Davinson Sánchez,"£ 65,000","£ 3,380,000","£ 3,499,408",D,22,Colombia,Tottenham,Premier League,2018-2019
14,Kieran Trippier,"£ 65,000","£ 3,380,000","£ 3,499,408",D,27,England,Tottenham,Premier League,2018-2019
15,Eric Dier,"£ 60,000","£ 3,120,000","£ 3,230,223",M,24,England,Tottenham,Premier League,2018-2019
16,Danny Rose,"£ 60,000","£ 3,120,000","£ 3,230,223",D,27,England,Tottenham,Premier League,2018-2019
17,Ben Davies,"£ 60,000","£ 3,120,000","£ 3,230,223",D,25,Wales,Tottenham,Premier League,2018-2019
18,Mousa Dembélé,"£ 55,000","£ 2,860,000","£ 2,961,037",M,30,Belgium,Tottenham,Premier League,2018-2019
19,Harry Winks,"£ 50,000","£ 2,600,000","£ 2,691,852",M,22,England,Tottenham,Premier League,2018-2019
20,Toby Alderweireld,"£ 50,000","£ 2,600,000","£ 2,691,852",D,29,Belgium,Tottenham,Premier League,2018-2019
21,Michel Vorm,"£ 40,000","£ 2,080,000","£ 2,153,482",K,34,Netherlands,Tottenham,Premier League,2018-2019
22,Georges-Kevin N'Koudou,"£ 35,000","£ 1,820,000","£ 1,884,297",F,23,France,Tottenham,Premier League,2018-2019
23,Vincent Janssen,"£ 34,000","£ 1,768,000","£ 1,830,459",F,24,Netherlands,Tottenham,Premier League,2018-2019
24,Juan Foyth,"£ 21,596","£ 1,123,000","£ 1,162,673",D,20,Argentina,Tottenham,Premier League,2018-2019
25,Paulo Gazzaniga,"£ 20,000","£ 1,040,000","£ 1,076,741",K,26,Argentina,Tottenham,Premier League,2018-2019
26,Kyle Walker-Peters,"£ 20,000","£ 1,040,000","£ 1,076,741",D,21,England,Tottenham,Premier League,2018-2019
27,Luke Amos,"£ 5,000","£ 260,000","£ 269,185",M,21,England,Tottenham,Premier League,2018-2019
28,Oliver Skipp,"£ 5,000","£ 260,000","£ 269,185",M,17,England,Tottenham,Premier League,2018-2019
29,Alfie Whiteman,"£ 1,500","£ 78,000","£ 80,756",K,19,England,Tottenham,Premier League,2018-2019
30,George Marsh,£ 596,"£ 31,000","£ 32,095",M,19,England,Tottenham,Premier League,2018-2019
31,Kazaiah Sterling,£ 0,£ 0,£ 0,F,19,England,Tottenham,Premier League,2018-2019
32,Timothy Eyoma,£ 0,£ 0,£ 0,D,18,England,Tottenham,Premier League,2018-2019
33,Josh Onomah,£ 0,£ 0,£ 0,M,21,England,Tottenham,Premier League,2018-2019
34,Cameron Carter-Vickers,£ 0,£ 0,£ 0,D,20,United States,Tottenham,Premier League,2018-2019
