,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Callum Wilson,"£ 60,000","£ 3,120,000","£ 3,198,573",F,27,England,Bournemouth,Premier League,2019-2020
2,Jefferson Lerma,"£ 55,000","£ 2,860,000","£ 2,932,025",M,25,Colombia,Bournemouth,Premier League,2019-2020
3,Joshua King,"£ 45,000","£ 2,340,000","£ 2,398,930",F,28,Norway,Bournemouth,Premier League,2019-2020
4,Steve Cook,"£ 45,000","£ 2,340,000","£ 2,398,930",D,28,England,Bournemouth,Premier League,2019-2020
5,Nathan Aké,"£ 40,000","£ 2,080,000","£ 2,132,382",D,24,Netherlands,Bournemouth,Premier League,2019-2020
6,Artur Boruc,"£ 40,000","£ 2,080,000","£ 2,132,382",K,39,Poland,Bournemouth,Premier League,2019-2020
7,Philip Billing,"£ 40,000","£ 2,080,000","£ 2,132,382",M,23,Denmark,Bournemouth,Premier League,2019-2020
8,Jordon Ibe,"£ 38,077","£ 1,980,000","£ 2,029,864",F,24,England,Bournemouth,Premier League,2019-2020
9,Arnaut Danjuma,"£ 37,500","£ 1,950,000","£ 1,999,108",F,23,Netherlands,Bournemouth,Premier League,2019-2020
10,Dan Gosling,"£ 35,000","£ 1,820,000","£ 1,865,834",M,30,England,Bournemouth,Premier League,2019-2020
11,Adam Smith,"£ 35,000","£ 1,820,000","£ 1,865,834",D,28,England,Bournemouth,Premier League,2019-2020
12,Ryan Fraser,"£ 35,000","£ 1,820,000","£ 1,865,834",F,25,Scotland,Bournemouth,Premier League,2019-2020
13,Charlie Daniels,"£ 35,000","£ 1,820,000","£ 1,865,834",D,33,England,Bournemouth,Premier League,2019-2020
14,Andrew Surman,"£ 35,000","£ 1,820,000","£ 1,865,834",M,33,England,Bournemouth,Premier League,2019-2020
15,Jack Stacey,"£ 30,000","£ 1,560,000","£ 1,599,287",D,23,England,Bournemouth,Premier League,2019-2020
16,Chris Mepham,"£ 30,000","£ 1,560,000","£ 1,599,287",D,22,Wales,Bournemouth,Premier League,2019-2020
17,Lewis Cook,"£ 30,000","£ 1,560,000","£ 1,599,287",M,23,England,Bournemouth,Premier League,2019-2020
18,Lloyd Kelly,"£ 30,000","£ 1,560,000","£ 1,599,287",D,21,England,Bournemouth,Premier League,2019-2020
19,Simon Francis,"£ 30,000","£ 1,560,000","£ 1,599,287",D,34,England,Bournemouth,Premier League,2019-2020
20,Junior Stanislas,"£ 25,000","£ 1,300,000","£ 1,332,739",F,30,England,Bournemouth,Premier League,2019-2020
21,David Brooks,"£ 25,000","£ 1,300,000","£ 1,332,739",F,22,Wales,Bournemouth,Premier League,2019-2020
22,Dominic Solanke,"£ 25,000","£ 1,300,000","£ 1,332,739",F,22,England,Bournemouth,Premier League,2019-2020
23,Diego Rico,"£ 19,231","£ 1,000,000","£ 1,025,184",D,26,Spain,Bournemouth,Premier League,2019-2020
24,Harry Wilson,"£ 11,923","£ 620,000","£ 635,614",F,22,Wales,Bournemouth,Premier League,2019-2020
25,Sam Surridge,"£ 5,385","£ 280,000","£ 287,051",F,21,England,Bournemouth,Premier League,2019-2020
26,Mark Travers,"£ 5,000","£ 260,000","£ 266,548",K,20,Ireland,Bournemouth,Premier League,2019-2020
27,Aaron Ramsdale,"£ 5,000","£ 260,000","£ 266,548",K,21,England,Bournemouth,Premier League,2019-2020
28,Kyle Taylor,"£ 3,077","£ 160,000","£ 164,029",M,20,England,Bournemouth,Premier League,2019-2020
29,Jack Simpson,"£ 3,077","£ 160,000","£ 164,029",D,23,England,Bournemouth,Premier League,2019-2020
