,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,N'Golo Kanté,"£ 290,000","£ 15,080,000","£ 15,459,770",M,28,France,Chelsea,Premier League,2019-2020
2,Kepa,"£ 150,000","£ 7,800,000","£ 7,996,433",K,25,Spain,Chelsea,Premier League,2019-2020
3,César Azpilicueta,"£ 150,000","£ 7,800,000","£ 7,996,433",D,30,Spain,Chelsea,Premier League,2019-2020
4,Christian Pulisic,"£ 150,000","£ 7,800,000","£ 7,996,433",F,21,United States,Chelsea,Premier League,2019-2020
5,Willian,"£ 138,462","£ 7,200,000","£ 7,381,323",F,31,Brazil,Chelsea,Premier League,2019-2020
6,Callum Hudson-Odoi,"£ 120,000","£ 6,240,000","£ 6,397,146",F,19,England,Chelsea,Premier League,2019-2020
7,Ruben Loftus-Cheek,"£ 120,000","£ 6,240,000","£ 6,397,146",M,24,England,Chelsea,Premier League,2019-2020
8,Jorginho,"£ 110,000","£ 5,720,000","£ 5,864,051",M,28,Italy,Chelsea,Premier League,2019-2020
9,Olivier Giroud,"£ 110,000","£ 5,720,000","£ 5,864,051",F,33,France,Chelsea,Premier League,2019-2020
10,Antonio Rüdiger,"£ 100,000","£ 5,200,000","£ 5,330,955",D,26,Germany,Chelsea,Premier League,2019-2020
11,Reece James,"£ 100,000","£ 5,200,000","£ 5,330,955",D,20,England,Chelsea,Premier League,2019-2020
12,Marcos Alonso,"£ 100,000","£ 5,200,000","£ 5,330,955",D,29,Spain,Chelsea,Premier League,2019-2020
13,Mateo Kovacic,"£ 100,000","£ 5,200,000","£ 5,330,955",M,25,Croatia,Chelsea,Premier League,2019-2020
14,Ross Barkley,"£ 96,154","£ 5,000,000","£ 5,125,919",M,26,England,Chelsea,Premier League,2019-2020
15,Michy Batshuayi,"£ 90,000","£ 4,680,000","£ 4,797,860",F,26,Belgium,Chelsea,Premier League,2019-2020
16,Mason Mount,"£ 80,000","£ 4,160,000","£ 4,264,764",F,21,England,Chelsea,Premier League,2019-2020
17,Andreas Christensen,"£ 80,000","£ 4,160,000","£ 4,264,764",D,23,Denmark,Chelsea,Premier League,2019-2020
18,Emerson,"£ 75,000","£ 3,900,000","£ 3,998,216",D,25,Italy,Chelsea,Premier League,2019-2020
19,Tammy Abraham,"£ 57,692","£ 3,000,000","£ 3,075,551",F,22,England,Chelsea,Premier League,2019-2020
20,Pedro,"£ 57,692","£ 3,000,000","£ 3,075,551",F,32,Spain,Chelsea,Premier League,2019-2020
21,Marco van Ginkel,"£ 52,885","£ 2,750,000","£ 2,819,255",M,27,Netherlands,Chelsea,Premier League,2019-2020
22,Lewis Baker,"£ 43,269","£ 2,250,000","£ 2,306,663",M,24,England,Chelsea,Premier League,2019-2020
23,Kurt Zouma,"£ 40,000","£ 2,080,000","£ 2,132,382",D,25,France,Chelsea,Premier League,2019-2020
24,Willy Caballero,"£ 35,000","£ 1,820,000","£ 1,865,834",K,38,Argentina,Chelsea,Premier League,2019-2020
25,Michael Hector,"£ 16,923","£ 880,000","£ 902,162",D,27,Jamaica,Chelsea,Premier League,2019-2020
26,Fikayo Tomori,"£ 14,423","£ 750,000","£ 768,888",D,22,England,Chelsea,Premier League,2019-2020
27,Danilo Pantic,"£ 10,000","£ 520,000","£ 533,096",M,23,Serbia,Chelsea,Premier League,2019-2020
28,Jamie Cumming,"£ 2,115","£ 110,000","£ 112,770",K,20,England,Chelsea,Premier League,2019-2020
