,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Kevin De Bruyne,"£ 350,000","£ 18,200,000","£ 18,658,344",F,28,Belgium,Manchester City,Premier League,2019-2020
2,Raheem Sterling,"£ 300,000","£ 15,600,000","£ 15,992,866",F,25,England,Manchester City,Premier League,2019-2020
3,Sergio Agüero,"£ 230,192","£ 11,970,000","£ 12,271,449",F,31,Argentina,Manchester City,Premier League,2019-2020
4,David Silva,"£ 220,000","£ 11,440,000","£ 11,728,102",F,34,Spain,Manchester City,Premier League,2019-2020
5,Kyle Walker,"£ 160,000","£ 8,320,000","£ 8,529,528",D,29,England,Manchester City,Premier League,2019-2020
6,Fernandinho,"£ 150,000","£ 7,800,000","£ 7,996,433",M,34,Brazil,Manchester City,Premier League,2019-2020
7,Bernardo Silva,"£ 150,000","£ 7,800,000","£ 7,996,433",F,25,Portugal,Manchester City,Premier League,2019-2020
8,Ilkay Gündogan,"£ 140,000","£ 7,280,000","£ 7,463,337",M,29,Germany,Manchester City,Premier League,2019-2020
9,Rodri,"£ 121,154","£ 6,300,000","£ 6,458,657",M,23,Spain,Manchester City,Premier League,2019-2020
10,Aymeric Laporte,"£ 120,000","£ 6,240,000","£ 6,397,146",D,25,France,Manchester City,Premier League,2019-2020
11,Nicolás Otamendi,"£ 120,000","£ 6,240,000","£ 6,397,146",D,31,Argentina,Manchester City,Premier League,2019-2020
12,Riyad Mahrez,"£ 120,000","£ 6,240,000","£ 6,397,146",F,28,Algeria,Manchester City,Premier League,2019-2020
13,John Stones,"£ 100,000","£ 5,200,000","£ 5,330,955",D,25,England,Manchester City,Premier League,2019-2020
14,Leroy Sané,"£ 90,000","£ 4,680,000","£ 4,797,860",F,24,Germany,Manchester City,Premier League,2019-2020
15,Benjamin Mendy,"£ 90,000","£ 4,680,000","£ 4,797,860",D,25,France,Manchester City,Premier League,2019-2020
16,Gabriel Jesus,"£ 90,000","£ 4,680,000","£ 4,797,860",F,22,Brazil,Manchester City,Premier League,2019-2020
17,João Cancelo,"£ 80,000","£ 4,160,000","£ 4,264,764",D,25,Portugal,Manchester City,Premier League,2019-2020
18,Claudio Bravo,"£ 80,000","£ 4,160,000","£ 4,264,764",K,36,Chile,Manchester City,Premier League,2019-2020
19,Ederson,"£ 65,000","£ 3,380,000","£ 3,465,121",K,26,Brazil,Manchester City,Premier League,2019-2020
20,Phil Foden,"£ 60,000","£ 3,120,000","£ 3,198,573",M,19,England,Manchester City,Premier League,2019-2020
21,Angeliño,"£ 60,000","£ 3,120,000","£ 3,198,573",D,22,Spain,Manchester City,Premier League,2019-2020
22,Scott Carson,"£ 25,000","£ 1,300,000","£ 1,332,739",K,34,England,Manchester City,Premier League,2019-2020
23,Oleksandr Zinchenko,"£ 20,000","£ 1,040,000","£ 1,066,191",D,23,Ukraine,Manchester City,Premier League,2019-2020
24,Eric García,"£ 11,923","£ 620,000","£ 635,614",D,19,Spain,Manchester City,Premier League,2019-2020
25,Mix Diskerud,"£ 10,000","£ 520,000","£ 533,096",M,29,United States,Manchester City,Premier League,2019-2020
