,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Phil Jagielka,"£ 50,000","£ 2,600,000","£ 2,665,478",D,37,England,Sheffield United,Premier League,2019-2020
2,Sander Berge,"£ 40,000","£ 2,080,000","£ 2,132,382",M,21,Norway,Sheffield United,Premier League,2019-2020
3,Richairo Zivkovic,"£ 37,692","£ 1,960,000","£ 2,009,360",F,23,Netherlands,Sheffield United,Premier League,2019-2020
4,Panagiotis Retsos,"£ 33,077","£ 1,720,000","£ 1,763,316",D,21,Greece,Sheffield United,Premier League,2019-2020
5,Muhamed Besic,"£ 30,000","£ 1,560,000","£ 1,599,287",M,27,Bosnia-Herzegovina,Sheffield United,Premier League,2019-2020
6,Ravel Morrison,"£ 25,000","£ 1,300,000","£ 1,332,739",F,26,Jamaica,Sheffield United,Premier League,2019-2020
7,Jack Robinson,"£ 25,000","£ 1,300,000","£ 1,332,739",D,26,England,Sheffield United,Premier League,2019-2020
8,Lys Mousset,"£ 25,000","£ 1,300,000","£ 1,332,739",F,23,France,Sheffield United,Premier League,2019-2020
9,Oliver McBurnie,"£ 20,000","£ 1,040,000","£ 1,066,191",F,23,Scotland,Sheffield United,Premier League,2019-2020
10,Michael Verrips,"£ 20,000","£ 1,040,000","£ 1,066,191",K,23,Netherlands,Sheffield United,Premier League,2019-2020
11,Richard Stearman,"£ 15,000","£ 780,000","£ 799,643",D,32,England,Sheffield United,Premier League,2019-2020
12,Oliver Norwood,"£ 15,000","£ 780,000","£ 799,643",M,28,Northern Ireland,Sheffield United,Premier League,2019-2020
13,Billy Sharp,"£ 11,923","£ 620,000","£ 635,614",F,33,England,Sheffield United,Premier League,2019-2020
14,Jack O'Connell,"£ 10,000","£ 520,000","£ 533,096",D,25,England,Sheffield United,Premier League,2019-2020
15,Luke Freeman,"£ 10,000","£ 520,000","£ 533,096",F,27,England,Sheffield United,Premier League,2019-2020
16,Dean Henderson,"£ 10,000","£ 520,000","£ 533,096",K,22,England,Sheffield United,Premier League,2019-2020
17,Leon Clarke,"£ 9,038","£ 470,000","£ 481,836",F,34,England,Sheffield United,Premier League,2019-2020
18,John Fleck,"£ 8,077","£ 420,000","£ 430,577",M,28,Scotland,Sheffield United,Premier League,2019-2020
19,Ricky Holmes,"£ 7,500","£ 390,000","£ 399,822",F,32,England,Sheffield United,Premier League,2019-2020
20,John Egan,"£ 7,500","£ 390,000","£ 399,822",D,27,Ireland,Sheffield United,Premier League,2019-2020
21,David McGoldrick,"£ 6,923","£ 360,000","£ 369,066",F,32,Ireland,Sheffield United,Premier League,2019-2020
22,Chris Basham,"£ 5,577","£ 290,000","£ 297,303",D,31,England,Sheffield United,Premier League,2019-2020
23,Jack Rodwell,"£ 5,000","£ 260,000","£ 266,548",M,28,England,Sheffield United,Premier League,2019-2020
24,Callum Robinson,"£ 5,000","£ 260,000","£ 266,548",F,24,Ireland,Sheffield United,Premier League,2019-2020
25,Simon Moore,"£ 5,000","£ 260,000","£ 266,548",K,29,England,Sheffield United,Premier League,2019-2020
26,Kieron Freeman,"£ 4,423","£ 230,000","£ 235,792",D,27,Wales,Sheffield United,Premier League,2019-2020
27,Ben Osborn,"£ 4,038","£ 210,000","£ 215,289",M,25,England,Sheffield United,Premier League,2019-2020
28,John Lundstram,"£ 4,038","£ 210,000","£ 215,289",M,25,England,Sheffield United,Premier League,2019-2020
29,George Baldock,"£ 4,038","£ 210,000","£ 215,289",D,26,England,Sheffield United,Premier League,2019-2020
30,Enda Stevens,"£ 4,038","£ 210,000","£ 215,289",D,29,Ireland,Sheffield United,Premier League,2019-2020
31,Kean Bryan,"£ 3,077","£ 160,000","£ 164,029",D,22,England,Sheffield United,Premier League,2019-2020
