,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Andrii Yarmolenko,"£ 115,000","£ 5,980,000","£ 6,130,599",F,30,Ukraine,West Ham,Premier League,2019-2020
2,Jack Wilshere,"£ 100,000","£ 5,200,000","£ 5,330,955",M,28,England,West Ham,Premier League,2019-2020
3,Felipe Anderson,"£ 85,000","£ 4,420,000","£ 4,531,312",F,26,Brazil,West Ham,Premier League,2019-2020
4,Sébastien Haller,"£ 75,000","£ 3,900,000","£ 3,998,216",F,25,France,West Ham,Premier League,2019-2020
5,Pablo Zabaleta,"£ 75,000","£ 3,900,000","£ 3,998,216",D,35,Argentina,West Ham,Premier League,2019-2020
6,Winston Reid,"£ 70,000","£ 3,640,000","£ 3,731,669",D,31,New Zealand,West Ham,Premier League,2019-2020
7,Angelo Ogbonna,"£ 70,000","£ 3,640,000","£ 3,731,669",D,31,Italy,West Ham,Premier League,2019-2020
8,Manuel Lanzini,"£ 70,000","£ 3,640,000","£ 3,731,669",F,26,Argentina,West Ham,Premier League,2019-2020
9,Michail Antonio,"£ 70,000","£ 3,640,000","£ 3,731,669",F,29,England,West Ham,Premier League,2019-2020
10,Issa Diop,"£ 66,923","£ 3,480,000","£ 3,567,639",D,23,France,West Ham,Premier League,2019-2020
11,Lukasz Fabianski,"£ 65,000","£ 3,380,000","£ 3,465,121",K,34,Poland,West Ham,Premier League,2019-2020
12,Pablo Fornals,"£ 65,000","£ 3,380,000","£ 3,465,121",F,23,Spain,West Ham,Premier League,2019-2020
13,Jarrod Bowen,"£ 60,000","£ 3,120,000","£ 3,198,573",F,23,England,West Ham,Premier League,2019-2020
14,Declan Rice,"£ 60,000","£ 3,120,000","£ 3,198,573",M,21,England,West Ham,Premier League,2019-2020
15,Mark Noble,"£ 50,000","£ 2,600,000","£ 2,665,478",M,32,England,West Ham,Premier League,2019-2020
16,Carlos Sánchez,"£ 50,000","£ 2,600,000","£ 2,665,478",M,33,Colombia,West Ham,Premier League,2019-2020
17,Albian Ajeti,"£ 50,000","£ 2,600,000","£ 2,665,478",F,22,Switzerland,West Ham,Premier League,2019-2020
18,Aaron Cresswell,"£ 50,000","£ 2,600,000","£ 2,665,478",D,30,England,West Ham,Premier League,2019-2020
19,Fabián Balbuena,"£ 40,000","£ 2,080,000","£ 2,132,382",D,28,Paraguay,West Ham,Premier League,2019-2020
20,Arthur Masuaku,"£ 40,000","£ 2,080,000","£ 2,132,382",D,26,Democratic Republic of the Congo,West Ham,Premier League,2019-2020
21,Robert Snodgrass,"£ 40,000","£ 2,080,000","£ 2,132,382",F,32,Scotland,West Ham,Premier League,2019-2020
22,Ryan Fredericks,"£ 40,000","£ 2,080,000","£ 2,132,382",D,27,England,West Ham,Premier League,2019-2020
23,Darren Randolph,"£ 35,000","£ 1,820,000","£ 1,865,834",K,32,Ireland,West Ham,Premier League,2019-2020
24,Roberto,"£ 30,000","£ 1,560,000","£ 1,599,287",K,33,Spain,West Ham,Premier League,2019-2020
25,Gonçalo Cardoso,"£ 10,000","£ 520,000","£ 533,096",D,19,Portugal,West Ham,Premier League,2019-2020
26,David Martin,"£ 8,000","£ 416,000","£ 426,476",K,34,England,West Ham,Premier League,2019-2020
