,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
0,1,Mesut Özil,"£ 350,000","£ 18,200,000","£ 18,200,000",F,32,Germany,Arsenal,Premier League,2020-2021
1,2,Pierre-Emerick Aubameyang,"£ 250,000","£ 13,000,000","£ 13,000,000",F,31,Gabon,Arsenal,Premier League,2020-2021
2,3,Thomas Partey,"£ 200,000","£ 10,400,000","£ 10,400,000",M,27,Ghana,Arsenal,Premier League,2020-2021
3,4,Alexandre Lacazette,"£ 182,115","£ 9,470,000","£ 9,470,000",F,29,France,Arsenal,Premier League,2020-2021
4,5,Willian,"£ 138,462","£ 7,200,000","£ 7,200,000",F,32,Brazil,Arsenal,Premier League,2020-2021
5,6,Héctor Bellerín,"£ 110,000","£ 5,720,000","£ 5,720,000",D,25,Spain,Arsenal,Premier League,2020-2021
6,7,David Luiz,"£ 100,962","£ 5,250,000","£ 5,250,000",D,33,Brazil,Arsenal,Premier League,2020-2021
7,8,Granit Xhaka,"£ 100,000","£ 5,200,000","£ 5,200,000",M,28,Switzerland,Arsenal,Premier League,2020-2021
8,9,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,200,000",D,27,Bosnia-Herzegovina,Arsenal,Premier League,2020-2021
9,10,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,200,000",K,28,Germany,Arsenal,Premier League,2020-2021
10,11,Nicolas Pépé,"£ 100,000","£ 5,200,000","£ 5,200,000",F,25,Cote d'Ivoire,Arsenal,Premier League,2020-2021
11,12,Sokratis,"£ 91,923","£ 4,780,000","£ 4,780,000",D,32,Greece,Arsenal,Premier League,2020-2021
12,13,Shkodran Mustafi,"£ 90,000","£ 4,680,000","£ 4,680,000",D,28,Germany,Arsenal,Premier League,2020-2021
13,14,Gabriel Martinelli,"£ 90,000","£ 4,680,000","£ 4,680,000",F,19,Brazil,Arsenal,Premier League,2020-2021
14,15,Pablo Marí,"£ 85,000","£ 4,420,000","£ 4,420,000",D,27,Spain,Arsenal,Premier League,2020-2021
15,16,Martin Ødegaard,"£ 80,000","£ 4,160,000","£ 4,160,000",F,22,Norway,Arsenal,Premier League,2020-2021
16,17,Cédric Soares,"£ 75,000","£ 3,900,000","£ 3,900,000",D,29,Portugal,Arsenal,Premier League,2020-2021
17,18,Kieran Tierney,"£ 75,000","£ 3,900,000","£ 3,900,000",D,23,Scotland,Arsenal,Premier League,2020-2021
18,19,Bukayo Saka,"£ 70,000","£ 3,640,000","£ 3,640,000",M,19,England,Arsenal,Premier League,2020-2021
19,20,Dani Ceballos,"£ 51,923","£ 2,700,000","£ 2,700,000",M,24,Spain,Arsenal,Premier League,2020-2021
20,21,Mohamed Elneny,"£ 50,000","£ 2,600,000","£ 2,600,000",M,28,Egypt,Arsenal,Premier League,2020-2021
21,22,Gabriel Magalhães,"£ 50,000","£ 2,600,000","£ 2,600,000",D,22,Brazil,Arsenal,Premier League,2020-2021
22,23,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,600,000",D,25,England,Arsenal,Premier League,2020-2021
23,24,Eddie Nketiah,"£ 45,000","£ 2,340,000","£ 2,340,000",F,21,England,Arsenal,Premier League,2020-2021
24,25,William Saliba,"£ 40,000","£ 2,080,000","£ 2,080,000",D,19,France,Arsenal,Premier League,2020-2021
25,26,Rob Holding,"£ 40,000","£ 2,080,000","£ 2,080,000",D,25,England,Arsenal,Premier League,2020-2021
26,27,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,820,000",M,23,England,Arsenal,Premier League,2020-2021
27,28,Mathew Ryan,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,Australia,Arsenal,Premier League,2020-2021
