,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Adam Lallana,"£ 90,000","£ 4,680,000","£ 4,680,000",F,32,England,Brighton,Premier League,2020-2021
2,Lewis Dunk,"£ 75,000","£ 3,900,000","£ 3,900,000",D,28,England,Brighton,Premier League,2020-2021
3,Danny Welbeck,"£ 55,000","£ 2,860,000","£ 2,860,000",F,29,England,Brighton,Premier League,2020-2021
4,Alireza Jahanbakhsh,"£ 50,000","£ 2,600,000","£ 2,600,000",F,27,Iran,Brighton,Premier League,2020-2021
5,Ben White,"£ 50,000","£ 2,600,000","£ 2,600,000",D,23,England,Brighton,Premier League,2020-2021
6,Pascal Groß,"£ 50,000","£ 2,600,000","£ 2,600,000",F,29,Germany,Brighton,Premier League,2020-2021
7,José Izquierdo,"£ 45,000","£ 2,340,000","£ 2,340,000",F,28,Colombia,Brighton,Premier League,2020-2021
8,Davy Pröpper,"£ 45,000","£ 2,340,000","£ 2,340,000",M,29,Netherlands,Brighton,Premier League,2020-2021
9,Joël Veltman,"£ 40,000","£ 2,080,000","£ 2,080,000",D,28,Netherlands,Brighton,Premier League,2020-2021
10,Leandro Trossard,"£ 40,000","£ 2,080,000","£ 2,080,000",F,25,Belgium,Brighton,Premier League,2020-2021
11,Florin Andone,"£ 40,000","£ 2,080,000","£ 2,080,000",F,27,Romania,Brighton,Premier League,2020-2021
12,Adam Webster,"£ 35,000","£ 1,820,000","£ 1,820,000",D,25,England,Brighton,Premier League,2020-2021
13,Neal Maupay,"£ 35,000","£ 1,820,000","£ 1,820,000",F,24,France,Brighton,Premier League,2020-2021
14,Mathew Ryan,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,Australia,Brighton,Premier League,2020-2021
15,Alexis Mac Allister,"£ 30,000","£ 1,560,000","£ 1,560,000",F,21,Argentina,Brighton,Premier League,2020-2021
16,Solly March,"£ 30,000","£ 1,560,000","£ 1,560,000",M,26,England,Brighton,Premier League,2020-2021
17,Andi Zeqiri,"£ 26,500","£ 1,378,000","£ 1,378,000",F,21,Switzerland,Brighton,Premier League,2020-2021
18,Yves Bissouma,"£ 25,000","£ 1,300,000","£ 1,300,000",M,24,Mali,Brighton,Premier League,2020-2021
19,Bernardo,"£ 25,000","£ 1,300,000","£ 1,300,000",D,25,Brazil,Brighton,Premier League,2020-2021
20,Aaron Connolly,"£ 23,077","£ 1,200,000","£ 1,200,000",F,20,Ireland,Brighton,Premier League,2020-2021
21,Jayson Molumby,"£ 17,308","£ 900,000","£ 900,000",M,21,Ireland,Brighton,Premier League,2020-2021
22,Percy Tau,"£ 15,962","£ 830,000","£ 830,000",F,26,South Africa,Brighton,Premier League,2020-2021
23,Moisés Caicedo,"£ 15,000","£ 780,000","£ 780,000",M,19,Ecuador,Brighton,Premier League,2020-2021
24,Jason Steele,"£ 15,000","£ 780,000","£ 780,000",K,30,England,Brighton,Premier League,2020-2021
25,Dan Burn,"£ 15,000","£ 780,000","£ 780,000",D,28,England,Brighton,Premier League,2020-2021
26,Steven Alzate,"£ 15,000","£ 780,000","£ 780,000",M,22,Colombia,Brighton,Premier League,2020-2021
27,Michal Karbownik,"£ 11,731","£ 610,000","£ 610,000",D,19,Poland,Brighton,Premier League,2020-2021
28,Robert Sánchez,"£ 10,000","£ 520,000","£ 520,000",K,22,Spain,Brighton,Premier League,2020-2021
29,Jakub Moder,"£ 10,000","£ 520,000","£ 520,000",M,21,Poland,Brighton,Premier League,2020-2021
30,Tariq Lamptey,"£ 10,000","£ 520,000","£ 520,000",D,20,England,Brighton,Premier League,2020-2021
31,Christian Walton,"£ 8,000","£ 416,000","£ 416,000",K,24,England,Brighton,Premier League,2020-2021
32,Max Sanders,£ 825,"£ 42,900","£ 42,900",M,21,England,Brighton,Premier League,2020-2021
