,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Raphinha,"£ 63,500","£ 3,302,000","£ 3,302,000",F,23,Brazil,Leeds,Premier League,2020-2021
2,Rodrigo,"£ 57,692","£ 3,000,000","£ 3,000,000",F,29,Spain,Leeds,Premier League,2020-2021
3,Robin Koch,"£ 46,154","£ 2,400,000","£ 2,400,000",D,24,Germany,Leeds,Premier League,2020-2021
4,Kiko Casilla,"£ 40,000","£ 2,080,000","£ 2,080,000",K,34,Spain,Leeds,Premier League,2020-2021
5,Patrick Bamford,"£ 35,000","£ 1,820,000","£ 1,820,000",F,27,England,Leeds,Premier League,2020-2021
6,Hélder Costa,"£ 32,500","£ 1,690,000","£ 1,690,000",F,26,Portugal,Leeds,Premier League,2020-2021
7,Kalvin Phillips,"£ 30,000","£ 1,560,000","£ 1,560,000",M,24,England,Leeds,Premier League,2020-2021
8,Diego Llorente,"£ 22,000","£ 1,144,000","£ 1,144,000",D,27,Spain,Leeds,Premier League,2020-2021
9,Illan Meslier,"£ 21,500","£ 1,118,000","£ 1,118,000",K,20,France,Leeds,Premier League,2020-2021
10,Adam Forshaw,"£ 20,000","£ 1,040,000","£ 1,040,000",M,29,England,Leeds,Premier League,2020-2021
11,Pablo Hernández,"£ 19,000","£ 988,000","£ 988,000",F,35,Spain,Leeds,Premier League,2020-2021
12,Jack Harrison,"£ 15,000","£ 780,000","£ 780,000",F,23,England,Leeds,Premier League,2020-2021
13,Ezgjan Alioski,"£ 15,000","£ 780,000","£ 780,000",M,28,North Macedonia,Leeds,Premier League,2020-2021
14,Gaetano Berardi,"£ 12,500","£ 650,000","£ 650,000",D,32,Switzerland,Leeds,Premier League,2020-2021
15,Joe Gelhardt,"£ 9,750","£ 507,000","£ 507,000",F,18,England,Leeds,Premier League,2020-2021
16,Ian Poveda,"£ 8,250","£ 429,000","£ 429,000",F,20,England,Leeds,Premier League,2020-2021
17,Luke Ayling,"£ 8,000","£ 416,000","£ 416,000",D,29,England,Leeds,Premier League,2020-2021
18,Stuart Dallas,"£ 8,000","£ 416,000","£ 416,000",D,29,Northern Ireland,Leeds,Premier League,2020-2021
19,Mateusz Klich,"£ 7,750","£ 403,000","£ 403,000",M,30,Poland,Leeds,Premier League,2020-2021
20,Pascal Struijk,"£ 7,115","£ 370,000","£ 370,000",D,21,Netherlands,Leeds,Premier League,2020-2021
21,Liam Cooper,"£ 6,500","£ 338,000","£ 338,000",D,29,Scotland,Leeds,Premier League,2020-2021
22,Ouasim Bouy,"£ 4,000","£ 208,000","£ 208,000",M,27,Morocco,Leeds,Premier League,2020-2021
23,Tyler Roberts,"£ 3,500","£ 182,000","£ 182,000",F,21,Wales,Leeds,Premier League,2020-2021
24,Jamie Shackleton,"£ 1,500","£ 78,000","£ 78,000",M,21,England,Leeds,Premier League,2020-2021
25,Conor Shaughnessy,"£ 1,500","£ 78,000","£ 78,000",M,24,Ireland,Leeds,Premier League,2020-2021
26,Oliver Casey,"£ 1,200","£ 62,400","£ 62,400",D,20,England,Leeds,Premier League,2020-2021
27,Elia Caprile,"£ 1,000","£ 52,000","£ 52,000",K,19,Italy,Leeds,Premier League,2020-2021
28,Leif Davis,£ 577,"£ 30,000","£ 30,000",D,20,England,Leeds,Premier League,2020-2021
