,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Lucas Digne,"£ 160,000","£ 8,320,000","£ 8,320,000",D,28,France,Aston Villa,Premier League,2021-2022
2,Philippe Coutinho,"£ 125,000","£ 6,500,000","£ 6,500,000",F,29,Brazil,Aston Villa,Premier League,2021-2022
3,Danny Ings,"£ 120,000","£ 6,240,000","£ 6,240,000",F,29,England,Aston Villa,Premier League,2021-2022
4,Emiliano Martínez,"£ 120,000","£ 6,240,000","£ 6,240,000",K,29,Argentina,Aston Villa,Premier League,2021-2022
5,Leon Bailey,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,Jamaica,Aston Villa,Premier League,2021-2022
6,Matty Cash,"£ 80,000","£ 4,160,000","£ 4,160,000",D,24,Poland,Aston Villa,Premier League,2021-2022
7,Tyrone Mings,"£ 80,000","£ 4,160,000","£ 4,160,000",D,28,England,Aston Villa,Premier League,2021-2022
8,Bertrand Traoré,"£ 77,885","£ 4,050,000","£ 4,050,000",F,26,Burkina Faso,Aston Villa,Premier League,2021-2022
9,Emiliano Buendía,"£ 75,000","£ 3,900,000","£ 3,900,000",F,25,Argentina,Aston Villa,Premier League,2021-2022
10,Ollie Watkins,"£ 75,000","£ 3,900,000","£ 3,900,000",F,26,England,Aston Villa,Premier League,2021-2022
11,Douglas Luiz,"£ 75,000","£ 3,900,000","£ 3,900,000",M,23,Brazil,Aston Villa,Premier League,2021-2022
12,Jacob Ramsey,"£ 70,000","£ 3,640,000","£ 3,640,000",M,20,England,Aston Villa,Premier League,2021-2022
13,John McGinn,"£ 55,000","£ 2,860,000","£ 2,860,000",M,27,Scotland,Aston Villa,Premier League,2021-2022
14,Trezeguet,"£ 52,500","£ 2,730,000","£ 2,730,000",F,26,Egypt,Aston Villa,Premier League,2021-2022
15,Ashley Young,"£ 50,000","£ 2,600,000","£ 2,600,000",D,36,England,Aston Villa,Premier League,2021-2022
16,Axel Tuanzebe,"£ 50,000","£ 2,600,000","£ 2,600,000",D,23,England,Aston Villa,Premier League,2021-2022
17,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,600,000",D,27,England,Aston Villa,Premier League,2021-2022
18,Keinan Davis,"£ 45,000","£ 2,340,000","£ 2,340,000",F,23,England,Aston Villa,Premier League,2021-2022
19,Morgan Sanson,"£ 45,000","£ 2,340,000","£ 2,340,000",M,27,France,Aston Villa,Premier League,2021-2022
20,Matt Targett,"£ 35,000","£ 1,820,000","£ 1,820,000",D,25,England,Aston Villa,Premier League,2021-2022
21,Anwar El Ghazi,"£ 30,962","£ 1,610,000","£ 1,610,000",F,26,Netherlands,Aston Villa,Premier League,2021-2022
22,Marvelous Nakamba,"£ 30,000","£ 1,560,000","£ 1,560,000",M,28,Zimbabwe,Aston Villa,Premier League,2021-2022
23,Ezri Konsa,"£ 30,000","£ 1,560,000","£ 1,560,000",D,24,England,Aston Villa,Premier League,2021-2022
24,Robin Olsen,"£ 20,000","£ 1,040,000","£ 1,040,000",K,32,Sweden,Aston Villa,Premier League,2021-2022
25,Jed Steer,"£ 20,000","£ 1,040,000","£ 1,040,000",K,28,England,Aston Villa,Premier League,2021-2022
26,Kortney Hause,"£ 8,077","£ 420,000","£ 420,000",D,26,England,Aston Villa,Premier League,2021-2022
27,Carney Chukwuemeka,"£ 1,538","£ 80,000","£ 80,000",M,18,England,Aston Villa,Premier League,2021-2022
