,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Bryan Mbeumo,"£ 45,000","£ 2,340,000","£ 2,340,000",F,22,France,Brentford,Premier League,2021-2022
2,Rico Henry,"£ 35,000","£ 1,820,000","£ 1,820,000",D,24,England,Brentford,Premier League,2021-2022
3,Christian Nörgaard,"£ 35,000","£ 1,820,000","£ 1,820,000",M,27,Denmark,Brentford,Premier League,2021-2022
4,Kristoffer Ajer,"£ 35,000","£ 1,820,000","£ 1,820,000",D,23,Norway,Brentford,Premier League,2021-2022
5,Vitaly Janelt,"£ 30,000","£ 1,560,000","£ 1,560,000",M,23,Germany,Brentford,Premier League,2021-2022
6,Christian Eriksen,"£ 30,000","£ 1,560,000","£ 1,560,000",F,29,Denmark,Brentford,Premier League,2021-2022
7,David Raya,"£ 25,000","£ 1,300,000","£ 1,300,000",K,26,Spain,Brentford,Premier League,2021-2022
8,Pontus Jansson,"£ 25,000","£ 1,300,000","£ 1,300,000",D,30,Sweden,Brentford,Premier League,2021-2022
9,Frank Onyeka,"£ 25,000","£ 1,300,000","£ 1,300,000",M,24,Nigeria,Brentford,Premier League,2021-2022
10,Sergi Canós,"£ 25,000","£ 1,300,000","£ 1,300,000",F,25,Spain,Brentford,Premier League,2021-2022
11,Yoane Wissa,"£ 20,000","£ 1,040,000","£ 1,040,000",F,25,Democratic Republic of the Congo,Brentford,Premier League,2021-2022
12,Joshua Da Silva,"£ 20,000","£ 1,040,000","£ 1,040,000",M,23,England,Brentford,Premier League,2021-2022
13,Ivan Toney,"£ 20,000","£ 1,040,000","£ 1,040,000",F,25,England,Brentford,Premier League,2021-2022
14,Mathias Jensen,"£ 20,000","£ 1,040,000","£ 1,040,000",M,26,Denmark,Brentford,Premier League,2021-2022
15,Zanka,"£ 15,000","£ 780,000","£ 780,000",D,31,Denmark,Brentford,Premier League,2021-2022
16,Ethan Pinnock,"£ 15,000","£ 780,000","£ 780,000",D,28,Jamaica,Brentford,Premier League,2021-2022
17,Joel Valencia,"£ 15,000","£ 780,000","£ 780,000",F,26,Ecuador,Brentford,Premier League,2021-2022
18,Saman Ghoddos,"£ 15,000","£ 780,000","£ 780,000",F,28,Iran,Brentford,Premier League,2021-2022
19,Shandon Baptiste,"£ 15,000","£ 780,000","£ 780,000",M,23,Grenada,Brentford,Premier League,2021-2022
20,Mads Bidstrup,"£ 10,000","£ 520,000","£ 520,000",M,20,Denmark,Brentford,Premier League,2021-2022
21,Mads Roerslev Rasmussen,"£ 10,000","£ 520,000","£ 520,000",D,22,Denmark,Brentford,Premier League,2021-2022
22,Álvaro Fernández,"£ 8,462","£ 440,000","£ 440,000",K,23,Spain,Brentford,Premier League,2021-2022
23,Charlie Goode,"£ 8,000","£ 416,000","£ 416,000",D,26,England,Brentford,Premier League,2021-2022
24,Julian Jeanvier,"£ 6,154","£ 320,000","£ 320,000",D,29,Guinea,Brentford,Premier League,2021-2022
25,Fin Stevens,"£ 5,385","£ 280,000","£ 280,000",D,18,Wales,Brentford,Premier League,2021-2022
26,Luka Racic,"£ 5,000","£ 260,000","£ 260,000",D,22,Denmark,Brentford,Premier League,2021-2022
27,Marcus Forss,"£ 5,000","£ 260,000","£ 260,000",F,22,Finland,Brentford,Premier League,2021-2022
28,Myles Peart-Harris,"£ 5,000","£ 260,000","£ 260,000",F,18,England,Brentford,Premier League,2021-2022
29,Tariqe Fosu,"£ 5,000","£ 260,000","£ 260,000",F,26,Ghana,Brentford,Premier League,2021-2022
30,Mads Bech Sörensen,"£ 4,038","£ 210,000","£ 210,000",D,23,Denmark,Brentford,Premier League,2021-2022
31,Dominic Thompson,"£ 3,462","£ 180,000","£ 180,000",D,21,England,Brentford,Premier League,2021-2022
32,Ellery Balcombe,"£ 3,269","£ 170,000","£ 170,000",K,22,England,Brentford,Premier League,2021-2022
33,Jan Zamburek,"£ 3,077","£ 160,000","£ 160,000",M,20,Czech Republic,Brentford,Premier League,2021-2022
34,Jonas Lössl,"£ 1,731","£ 90,000","£ 90,000",K,33,Denmark,Brentford,Premier League,2021-2022
