,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Ben Mee,"£ 55,000","£ 2,860,000","£ 2,860,000",D,32,England,Burnley,Premier League,2021-2022
2,Maxwel Cornet,"£ 50,000","£ 2,600,000","£ 2,600,000",F,25,Cote d'Ivoire,Burnley,Premier League,2021-2022
3,James Tarkowski,"£ 50,000","£ 2,600,000","£ 2,600,000",D,29,England,Burnley,Premier League,2021-2022
4,Chris Wood,"£ 50,000","£ 2,600,000","£ 2,600,000",F,29,New Zealand,Burnley,Premier League,2021-2022
5,Erik Pieters,"£ 48,077","£ 2,500,000","£ 2,500,000",D,33,Netherlands,Burnley,Premier League,2021-2022
6,Ashley Barnes,"£ 40,000","£ 2,080,000","£ 2,080,000",F,32,England,Burnley,Premier League,2021-2022
7,Josh Brownhill,"£ 40,000","£ 2,080,000","£ 2,080,000",M,26,England,Burnley,Premier League,2021-2022
8,Jack Cork,"£ 38,077","£ 1,980,000","£ 1,980,000",M,32,England,Burnley,Premier League,2021-2022
9,Dale Stephens,"£ 37,500","£ 1,950,000","£ 1,950,000",M,32,England,Burnley,Premier League,2021-2022
10,Ashley Westwood,"£ 35,962","£ 1,870,000","£ 1,870,000",M,31,England,Burnley,Premier League,2021-2022
11,Matej Vydra,"£ 35,000","£ 1,820,000","£ 1,820,000",F,29,Czech Republic,Burnley,Premier League,2021-2022
12,Jay Rodríguez,"£ 35,000","£ 1,820,000","£ 1,820,000",F,32,England,Burnley,Premier League,2021-2022
13,Wout Weghorst,"£ 32,692","£ 1,700,000","£ 1,700,000",F,29,Netherlands,Burnley,Premier League,2021-2022
14,Jóhann Berg Gudmundsson,"£ 30,000","£ 1,560,000","£ 1,560,000",F,31,Iceland,Burnley,Premier League,2021-2022
15,Nick Pope,"£ 30,000","£ 1,560,000","£ 1,560,000",K,29,England,Burnley,Premier League,2021-2022
16,Connor Roberts,"£ 26,154","£ 1,360,000","£ 1,360,000",D,26,Wales,Burnley,Premier League,2021-2022
17,Matthew Lowton,"£ 25,000","£ 1,300,000","£ 1,300,000",D,32,England,Burnley,Premier League,2021-2022
18,Phil Bardsley,"£ 25,000","£ 1,300,000","£ 1,300,000",D,36,Scotland,Burnley,Premier League,2021-2022
19,Charlie Taylor,"£ 25,000","£ 1,300,000","£ 1,300,000",D,28,England,Burnley,Premier League,2021-2022
20,Kevin Long,"£ 23,077","£ 1,200,000","£ 1,200,000",D,31,Ireland,Burnley,Premier League,2021-2022
21,Wayne Hennessey,"£ 20,000","£ 1,040,000","£ 1,040,000",K,35,Wales,Burnley,Premier League,2021-2022
22,Aaron Lennon,"£ 10,577","£ 550,000","£ 550,000",F,34,England,Burnley,Premier League,2021-2022
23,Nathan Collins,"£ 10,000","£ 520,000","£ 520,000",D,20,Ireland,Burnley,Premier League,2021-2022
24,Will Norris,"£ 5,769","£ 300,000","£ 300,000",K,28,England,Burnley,Premier League,2021-2022
25,Dwight McNeil,"£ 5,000","£ 260,000","£ 260,000",F,22,England,Burnley,Premier League,2021-2022
