,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Brandon Williams,"£ 65,000","£ 3,380,000","£ 3,380,000",D,21,England,Norwich,Premier League,2021-2022
2,Ben Gibson,"£ 40,000","£ 2,080,000","£ 2,080,000",D,29,England,Norwich,Premier League,2021-2022
3,Pierre Lees-Melou,"£ 31,154","£ 1,620,000","£ 1,620,000",M,28,France,Norwich,Premier League,2021-2022
4,Milot Rashica,"£ 30,769","£ 1,600,000","£ 1,600,000",F,25,Kosovo,Norwich,Premier League,2021-2022
5,Sam Byram,"£ 30,000","£ 1,560,000","£ 1,560,000",D,28,England,Norwich,Premier League,2021-2022
6,Ozan Kabak,"£ 27,692","£ 1,440,000","£ 1,440,000",D,21,Turkey,Norwich,Premier League,2021-2022
7,Todd Cantwell,"£ 25,000","£ 1,300,000","£ 1,300,000",M,23,England,Norwich,Premier League,2021-2022
8,Angus Gunn,"£ 25,000","£ 1,300,000","£ 1,300,000",K,26,England,Norwich,Premier League,2021-2022
9,Kenny McLean,"£ 25,000","£ 1,300,000","£ 1,300,000",M,30,Scotland,Norwich,Premier League,2021-2022
10,Teemu Pukki,"£ 25,000","£ 1,300,000","£ 1,300,000",F,31,Finland,Norwich,Premier League,2021-2022
11,Tim Krul,"£ 25,000","£ 1,300,000","£ 1,300,000",K,33,Netherlands,Norwich,Premier League,2021-2022
12,Lukas Rupp,"£ 22,500","£ 1,170,000","£ 1,170,000",M,31,Germany,Norwich,Premier League,2021-2022
13,Max Aarons,"£ 22,500","£ 1,170,000","£ 1,170,000",D,22,England,Norwich,Premier League,2021-2022
14,Mathias Normann,"£ 20,385","£ 1,060,000","£ 1,060,000",M,25,Norway,Norwich,Premier League,2021-2022
15,Grant Hanley,"£ 20,000","£ 1,040,000","£ 1,040,000",D,30,Scotland,Norwich,Premier League,2021-2022
16,Christoph Zimmermann,"£ 19,423","£ 1,010,000","£ 1,010,000",D,29,Germany,Norwich,Premier League,2021-2022
17,Christos Tzolis,"£ 19,231","£ 1,000,000","£ 1,000,000",F,20,Greece,Norwich,Premier League,2021-2022
18,Michael McGovern,"£ 16,923","£ 880,000","£ 880,000",K,37,Northern Ireland,Norwich,Premier League,2021-2022
19,Andrew Omobamidele,"£ 12,115","£ 630,000","£ 630,000",D,19,Ireland,Norwich,Premier League,2021-2022
20,Josh Sargent,"£ 12,115","£ 630,000","£ 630,000",F,21,United States,Norwich,Premier League,2021-2022
21,Jacob Lungi Sörensen,"£ 10,000","£ 520,000","£ 520,000",M,23,Denmark,Norwich,Premier League,2021-2022
22,Dimitrios Giannoulis,"£ 7,500","£ 390,000","£ 390,000",D,26,Greece,Norwich,Premier League,2021-2022
23,Kieran Dowell,"£ 7,500","£ 390,000","£ 390,000",F,24,England,Norwich,Premier League,2021-2022
24,Przemyslaw Placheta,"£ 6,154","£ 320,000","£ 320,000",F,23,Poland,Norwich,Premier League,2021-2022
25,Rocky Bushiri,"£ 5,000","£ 260,000","£ 260,000",D,21,Belgium,Norwich,Premier League,2021-2022
26,Billy Gilmour,"£ 5,000","£ 260,000","£ 260,000",M,20,Scotland,Norwich,Premier League,2021-2022
27,Adam Idah,"£ 5,000","£ 260,000","£ 260,000",F,20,Ireland,Norwich,Premier League,2021-2022
28,Bali Mumba,"£ 2,308","£ 120,000","£ 120,000",D,19,England,Norwich,Premier League,2021-2022
29,Flynn Clarke,£ 769,"£ 40,000","£ 40,000",F,18,Scotland,Norwich,Premier League,2021-2022
