,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Trincão,"£ 130,769","£ 6,800,000","£ 6,800,000",F,22,Portugal,Wolverhampton,Premier League,2021-2022
2,João Moutinho,"£ 100,000","£ 5,200,000","£ 5,200,000",M,35,Portugal,Wolverhampton,Premier League,2021-2022
3,Raúl Jiménez,"£ 100,000","£ 5,200,000","£ 5,200,000",F,30,Mexico,Wolverhampton,Premier League,2021-2022
4,Nélson Semedo,"£ 80,000","£ 4,160,000","£ 4,160,000",D,28,Portugal,Wolverhampton,Premier League,2021-2022
5,Fábio Silva,"£ 80,000","£ 4,160,000","£ 4,160,000",F,19,Portugal,Wolverhampton,Premier League,2021-2022
6,Leander Dendoncker,"£ 75,000","£ 3,900,000","£ 3,900,000",M,26,Belgium,Wolverhampton,Premier League,2021-2022
7,Daniel Podence,"£ 60,000","£ 3,120,000","£ 3,120,000",F,26,Portugal,Wolverhampton,Premier League,2021-2022
8,Adama Traoré,"£ 55,000","£ 2,860,000","£ 2,860,000",F,25,Spain,Wolverhampton,Premier League,2021-2022
9,Conor Coady,"£ 55,000","£ 2,860,000","£ 2,860,000",D,28,England,Wolverhampton,Premier League,2021-2022
10,Willy Boly,"£ 55,000","£ 2,860,000","£ 2,860,000",D,30,Cote d'Ivoire,Wolverhampton,Premier League,2021-2022
11,Pedro Neto,"£ 50,000","£ 2,600,000","£ 2,600,000",F,21,Portugal,Wolverhampton,Premier League,2021-2022
12,Rúben Neves,"£ 50,000","£ 2,600,000","£ 2,600,000",M,24,Portugal,Wolverhampton,Premier League,2021-2022
13,Ki-Jana Hoever,"£ 40,385","£ 2,100,000","£ 2,100,000",D,20,Netherlands,Wolverhampton,Premier League,2021-2022
14,Oskar Buur,"£ 38,462","£ 2,000,000","£ 2,000,000",D,23,Denmark,Wolverhampton,Premier League,2021-2022
15,Marçal,"£ 35,000","£ 1,820,000","£ 1,820,000",D,32,Brazil,Wolverhampton,Premier League,2021-2022
16,Jonny Otto,"£ 35,000","£ 1,820,000","£ 1,820,000",D,27,Spain,Wolverhampton,Premier League,2021-2022
17,Hee-chan Hwang,"£ 30,000","£ 1,560,000","£ 1,560,000",F,26,South Korea,Wolverhampton,Premier League,2021-2022
18,José Sá,"£ 25,000","£ 1,300,000","£ 1,300,000",K,29,Portugal,Wolverhampton,Premier League,2021-2022
19,Romain Saïss,"£ 21,923","£ 1,140,000","£ 1,140,000",D,31,Morocco,Wolverhampton,Premier League,2021-2022
20,Max Kilman,"£ 15,000","£ 780,000","£ 780,000",D,24,England,Wolverhampton,Premier League,2021-2022
21,Bruno Jordão,"£ 15,000","£ 780,000","£ 780,000",M,22,Portugal,Wolverhampton,Premier League,2021-2022
22,Luke Cundle,"£ 11,538","£ 600,000","£ 600,000",M,19,England,Wolverhampton,Premier League,2021-2022
23,Matija Sarkic,"£ 10,000","£ 520,000","£ 520,000",K,24,Montenegro,Wolverhampton,Premier League,2021-2022
24,Rayan Aït-Nouri,"£ 10,000","£ 520,000","£ 520,000",D,20,France,Wolverhampton,Premier League,2021-2022
25,Chiquinho,"£ 10,000","£ 520,000","£ 520,000",F,21,Portugal,Wolverhampton,Premier League,2021-2022
26,Yerson Mosquera,"£ 8,000","£ 416,000","£ 416,000",D,20,Colombia,Wolverhampton,Premier League,2021-2022
27,John Ruddy,"£ 5,769","£ 300,000","£ 300,000",K,35,England,Wolverhampton,Premier League,2021-2022
28,Toti Gomes,"£ 5,000","£ 260,000","£ 260,000",D,23,Portugal,Wolverhampton,Premier League,2021-2022
