,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Alberto Paloschi,"€ 34,096","€ 1,773,000","€ 1,835,403",F,26,Italy,Atalanta,Serie A,2016-2017
2,Mauricio Pinilla,"€ 30,673","€ 1,595,000","€ 1,651,138",F,32,Chile,Atalanta,Serie A,2016-2017
3,Ervin Zukanovic,"€ 27,269","€ 1,418,000","€ 1,467,908",D,29,Bosnia-Herzegovina,Atalanta,Serie A,2016-2017
4,Rafael Tolói,"€ 24,115","€ 1,254,000","€ 1,298,136",D,25,Brazil,Atalanta,Serie A,2016-2017
5,Mattia Caldara,"€ 22,231","€ 1,156,000","€ 1,196,687",D,22,Italy,Atalanta,Serie A,2016-2017
6,Guglielmo Stendardo,"€ 20,442","€ 1,063,000","€ 1,100,414",D,35,Italy,Atalanta,Serie A,2016-2017
7,Anthony Mounier,"€ 17,038","€ 886,000","€ 917,184",F,28,France,Atalanta,Serie A,2016-2017
8,Etrit Berisha,"€ 17,038","€ 886,000","€ 917,184",K,27,Albania,Atalanta,Serie A,2016-2017
9,Abdoulay Konko,"€ 17,038","€ 886,000","€ 917,184",D,32,France,Atalanta,Serie A,2016-2017
10,Boukary Dramé,"€ 17,038","€ 886,000","€ 917,184",D,30,Senegal,Atalanta,Serie A,2016-2017
11,Marco Sportiello,"€ 17,038","€ 886,000","€ 917,184",K,24,Italy,Atalanta,Serie A,2016-2017
12,Bryan Cristante,"€ 13,635","€ 709,000","€ 733,954",M,21,Italy,Atalanta,Serie A,2016-2017
13,Jasmin Kurtic,"€ 13,635","€ 709,000","€ 733,954",M,27,Slovenia,Atalanta,Serie A,2016-2017
14,Aleksandar Pesic,"€ 11,942","€ 621,000","€ 642,857",F,24,Serbia,Atalanta,Serie A,2016-2017
15,Marco D'Alessandro,"€ 11,942","€ 621,000","€ 642,857",M,25,Italy,Atalanta,Serie A,2016-2017
16,Davide Brivio,"€ 11,942","€ 621,000","€ 642,857",D,28,Italy,Atalanta,Serie A,2016-2017
17,Pierluigi Gollini,"€ 11,115","€ 578,000","€ 598,343",K,21,Italy,Atalanta,Serie A,2016-2017
18,Remo Freuler,"€ 10,231","€ 532,000","€ 550,724",M,24,Switzerland,Atalanta,Serie A,2016-2017
19,Alberto Grassi,"€ 10,231","€ 532,000","€ 550,724",M,21,Italy,Atalanta,Serie A,2016-2017
20,Andrea Masiello,"€ 10,231","€ 532,000","€ 550,724",D,30,Italy,Atalanta,Serie A,2016-2017
21,Hans Hateboer,"€ 9,885","€ 514,000","€ 532,091",D,22,Netherlands,Atalanta,Serie A,2016-2017
22,Franck Kessié,"€ 8,769","€ 456,000","€ 472,049",M,19,Cote d'Ivoire,Atalanta,Serie A,2016-2017
23,Andrea Conti,"€ 8,519","€ 443,000","€ 458,592",D,22,Italy,Atalanta,Serie A,2016-2017
24,Andrea Petagna,"€ 8,519","€ 443,000","€ 458,592",F,21,Italy,Atalanta,Serie A,2016-2017
25,Cristian Raimondi,"€ 6,827","€ 355,000","€ 367,495",M,35,Italy,Atalanta,Serie A,2016-2017
26,Guido Marilungo,"€ 6,827","€ 355,000","€ 367,495",F,26,Italy,Atalanta,Serie A,2016-2017
27,Leonardo Spinazzola,"€ 6,827","€ 355,000","€ 367,495",D,23,Italy,Atalanta,Serie A,2016-2017
28,Bryan Cabezas,"€ 6,827","€ 355,000","€ 367,495",F,19,Ecuador,Atalanta,Serie A,2016-2017
29,Giulio Migliaccio,"€ 6,827","€ 355,000","€ 367,495",M,35,Italy,Atalanta,Serie A,2016-2017
30,Roberto Gagliardini,"€ 5,115","€ 266,000","€ 275,362",M,22,Italy,Atalanta,Serie A,2016-2017
31,Salvatore Molina,"€ 2,904","€ 151,000","€ 156,315",M,24,Italy,Atalanta,Serie A,2016-2017
32,Christian Capone,"€ 1,192","€ 62,000","€ 64,182",F,17,Italy,Atalanta,Serie A,2016-2017
33,Filippo Melegoni,"€ 1,192","€ 62,000","€ 64,182",M,17,Italy,Atalanta,Serie A,2016-2017
34,Alessandro Bastoni,"€ 1,000","€ 52,000","€ 53,830",D,17,Italy,Atalanta,Serie A,2016-2017
35,Francesco Rossi,€ 538,"€ 28,000","€ 28,985",K,25,Italy,Atalanta,Serie A,2016-2017
36,Riccardo Gatti,€ 462,"€ 24,000","€ 24,845",D,19,Italy,Atalanta,Serie A,2016-2017
37,Stefano Mazzini,€ 250,"€ 13,000","€ 13,458",K,17,Italy,Atalanta,Serie A,2016-2017
38,Roberto Taliento,€ 250,"€ 13,000","€ 13,458",K,16,Italy,Atalanta,Serie A,2016-2017
39,Carlos Carmona,€ 0,€ 0,€ 0,M,29,Chile,Atalanta,Serie A,2016-2017
40,Emanuele Suagher,€ 0,€ 0,€ 0,D,23,Italy,Atalanta,Serie A,2016-2017
41,Davide Bassi,€ 0,€ 0,€ 0,K,31,Italy,Atalanta,Serie A,2016-2017
42,Emmanuel Latte Lath,€ 0,€ 0,€ 0,M,17,Cote d'Ivoire,Atalanta,Serie A,2016-2017
43,Berat Djimsiti,€ 0,€ 0,€ 0,D,23,Albania,Atalanta,Serie A,2016-2017
44,Papu Gómez,€ 0,€ 0,€ 0,F,28,Argentina,Atalanta,Serie A,2016-2017
