,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Marco Borriello,"€ 34,096","€ 1,773,000","€ 1,835,403",F,34,Italy,Cagliari,Serie A,2016-2017
2,Bruno Alves,"€ 27,269","€ 1,418,000","€ 1,467,908",D,34,Portugal,Cagliari,Serie A,2016-2017
3,Marco Storari,"€ 27,269","€ 1,418,000","€ 1,467,908",K,39,Italy,Cagliari,Serie A,2016-2017
4,Gabriel,"€ 25,750","€ 1,339,000","€ 1,386,128",K,23,Brazil,Cagliari,Serie A,2016-2017
5,Víctor Ibarbo,"€ 24,231","€ 1,260,000","€ 1,304,347",F,26,Colombia,Cagliari,Serie A,2016-2017
6,Mauricio Isla,"€ 23,846","€ 1,240,000","€ 1,283,643",D,28,Chile,Cagliari,Serie A,2016-2017
7,Simone Padoin,"€ 23,846","€ 1,240,000","€ 1,283,643",M,32,Italy,Cagliari,Serie A,2016-2017
8,Diego Farias,"€ 13,635","€ 709,000","€ 733,954",F,26,Brazil,Cagliari,Serie A,2016-2017
9,Artur Ionita,"€ 13,635","€ 709,000","€ 733,954",M,25,Moldova,Cagliari,Serie A,2016-2017
10,Daniele Dessena,"€ 13,635","€ 709,000","€ 733,954",M,29,Italy,Cagliari,Serie A,2016-2017
11,Panagiotis Tachtsidis,"€ 13,635","€ 709,000","€ 733,954",M,25,Greece,Cagliari,Serie A,2016-2017
12,Federico Melchiorri,"€ 13,635","€ 709,000","€ 733,954",F,29,Italy,Cagliari,Serie A,2016-2017
13,Marco Sau,"€ 13,635","€ 709,000","€ 733,954",F,28,Italy,Cagliari,Serie A,2016-2017
14,Luca Ceppitelli,"€ 11,942","€ 621,000","€ 642,857",D,26,Italy,Cagliari,Serie A,2016-2017
15,João Pedro,"€ 11,942","€ 621,000","€ 642,857",M,24,Brazil,Cagliari,Serie A,2016-2017
16,Davide Di Gennaro,"€ 10,231","€ 532,000","€ 550,724",M,28,Italy,Cagliari,Serie A,2016-2017
17,Bartosz Salamon,"€ 10,231","€ 532,000","€ 550,724",D,25,Poland,Cagliari,Serie A,2016-2017
18,Nicola Murru,"€ 10,231","€ 532,000","€ 550,724",D,21,Italy,Cagliari,Serie A,2016-2017
19,Fabio Pisacane,"€ 6,827","€ 355,000","€ 367,495",D,30,Italy,Cagliari,Serie A,2016-2017
20,Marco Capuano,"€ 6,827","€ 355,000","€ 367,495",D,24,Italy,Cagliari,Serie A,2016-2017
21,Roberto Colombo,"€ 5,115","€ 266,000","€ 275,362",K,40,Italy,Cagliari,Serie A,2016-2017
22,Rafael,"€ 5,115","€ 266,000","€ 275,362",K,34,Brazil,Cagliari,Serie A,2016-2017
23,Paolo Faragò,"€ 3,673","€ 191,000","€ 197,722",M,23,Italy,Cagliari,Serie A,2016-2017
24,Nicolò Barella,"€ 3,404","€ 177,000","€ 183,230",M,19,Italy,Cagliari,Serie A,2016-2017
25,Senna Miangue,"€ 2,731","€ 142,000","€ 146,998",D,19,Belgium,Cagliari,Serie A,2016-2017
26,Alessandro Deiola,"€ 1,654","€ 86,000","€ 89,027",M,20,Italy,Cagliari,Serie A,2016-2017
27,Federico Serra,€ 615,"€ 32,000","€ 33,126",F,18,Italy,Cagliari,Serie A,2016-2017
28,Luca Crosta,€ 250,"€ 13,000","€ 13,458",K,18,Italy,Cagliari,Serie A,2016-2017
29,Andrea Cadili,€ 250,"€ 13,000","€ 13,458",D,17,Italy,Cagliari,Serie A,2016-2017
30,Illia Briukhov,€ 250,"€ 13,000","€ 13,458",D,17,Ukraine,Cagliari,Serie A,2016-2017
31,Matteo Volteggi,€ 250,"€ 13,000","€ 13,458",D,18,Italy,Cagliari,Serie A,2016-2017
32,Mirko Bizzi,€ 250,"€ 13,000","€ 13,458",K,16,Italy,Cagliari,Serie A,2016-2017
33,Nicholas Pennington,€ 250,"€ 13,000","€ 13,458",M,17,Italy,Cagliari,Serie A,2016-2017
34,Riccardo Daga,€ 250,"€ 13,000","€ 13,458",K,16,Italy,Cagliari,Serie A,2016-2017
35,Riccardo Taccori,€ 250,"€ 13,000","€ 13,458",M,18,Italy,Cagliari,Serie A,2016-2017
36,Roberto Biancu,€ 250,"€ 13,000","€ 13,458",M,16,Italy,Cagliari,Serie A,2016-2017
37,Andrea Mastino,€ 250,"€ 13,000","€ 13,458",D,16,Italy,Cagliari,Serie A,2016-2017
38,Davide Arras,€ 154,"€ 8,000","€ 8,282",F,18,Italy,Cagliari,Serie A,2016-2017
39,Luka Krajnc,€ 0,€ 0,€ 0,D,21,Slovenia,Cagliari,Serie A,2016-2017
40,Luca Bittante,€ 0,€ 0,€ 0,D,22,Italy,Cagliari,Serie A,2016-2017
41,Vasco da Cunha,€ 0,€ 0,€ 0,D,16,Portugal,Cagliari,Serie A,2016-2017
42,Kwang-Song Han,€ 0,€ 0,€ 0,F,17,North Korea,Cagliari,Serie A,2016-2017
43,Niccolò Giannetti,€ 0,€ 0,€ 0,F,25,Italy,Cagliari,Serie A,2016-2017
44,Matias Antonini,€ 0,€ 0,€ 0,D,18,Brazil,Cagliari,Serie A,2016-2017
45,Gianni Munari,€ 0,€ 0,€ 0,M,33,Italy,Cagliari,Serie A,2016-2017
46,Marko Pajac,€ 0,€ 0,€ 0,D,23,Croatia,Cagliari,Serie A,2016-2017
