,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ilija Nestorovski,"€ 26,096","€ 1,357,000","€ 1,404,761",F,26,North Macedonia,Palermo,Serie A,2016-2017
2,Bruno Henrique,"€ 23,846","€ 1,240,000","€ 1,283,643",M,26,Brazil,Palermo,Serie A,2016-2017
3,Giancarlo González,"€ 20,442","€ 1,063,000","€ 1,100,414",D,28,Costa Rica,Palermo,Serie A,2016-2017
4,Mato Jajalo,"€ 17,038","€ 886,000","€ 917,184",M,28,Bosnia-Herzegovina,Palermo,Serie A,2016-2017
5,Slobodan Rajkovic,"€ 17,038","€ 886,000","€ 917,184",D,27,Serbia,Palermo,Serie A,2016-2017
6,Alessandro Diamanti,"€ 14,673","€ 763,000","€ 789,855",F,33,Italy,Palermo,Serie A,2016-2017
7,Toni Sunjic,"€ 14,346","€ 746,000","€ 772,256",D,27,Bosnia-Herzegovina,Palermo,Serie A,2016-2017
8,Oscar Hiljemark,"€ 14,308","€ 744,000","€ 770,186",M,24,Sweden,Palermo,Serie A,2016-2017
9,Andrea Rispoli,"€ 13,635","€ 709,000","€ 733,954",D,27,Italy,Palermo,Serie A,2016-2017
10,Michel Morganella,"€ 13,635","€ 709,000","€ 733,954",D,27,Switzerland,Palermo,Serie A,2016-2017
11,Ivaylo Chochev,"€ 12,846","€ 668,000","€ 691,511",M,23,Bulgaria,Palermo,Serie A,2016-2017
12,Aleksandar Trajkovski,"€ 11,942","€ 621,000","€ 642,857",F,23,North Macedonia,Palermo,Serie A,2016-2017
13,Roberto Vitiello,"€ 11,942","€ 621,000","€ 642,857",D,33,Italy,Palermo,Serie A,2016-2017
14,Carlos Embalo,"€ 11,942","€ 621,000","€ 642,857",F,21,Guinea-Bissau,Palermo,Serie A,2016-2017
15,Haitam Aleesami,"€ 11,462","€ 596,000","€ 616,977",D,24,Norway,Palermo,Serie A,2016-2017
16,Norbert Balogh,"€ 11,462","€ 596,000","€ 616,977",F,20,Hungary,Palermo,Serie A,2016-2017
17,Alessandro Gazzi,"€ 10,231","€ 532,000","€ 550,724",M,33,Italy,Palermo,Serie A,2016-2017
18,Josip Posavec,"€ 8,519","€ 443,000","€ 458,592",K,20,Croatia,Palermo,Serie A,2016-2017
19,Edoardo Goldaniga,"€ 8,519","€ 443,000","€ 458,592",D,22,Italy,Palermo,Serie A,2016-2017
20,Thiago Cionek,"€ 8,519","€ 443,000","€ 458,592",D,30,Poland,Palermo,Serie A,2016-2017
21,Roland Sallai,"€ 6,827","€ 355,000","€ 367,495",F,19,Hungary,Palermo,Serie A,2016-2017
22,Stefan Silva,"€ 6,750","€ 351,000","€ 363,354",F,26,Sweden,Palermo,Serie A,2016-2017
23,Simone Lo Faso,"€ 4,096","€ 213,000","€ 220,497",F,18,Italy,Palermo,Serie A,2016-2017
24,Giuseppe Pezzella,"€ 2,385","€ 124,000","€ 128,364",D,18,Italy,Palermo,Serie A,2016-2017
25,Francesco Bonfiglio,"€ 2,173","€ 113,000","€ 116,977",F,19,Italy,Palermo,Serie A,2016-2017
26,Andrea Fulignati,"€ 1,692","€ 88,000","€ 91,097",K,21,Italy,Palermo,Serie A,2016-2017
27,Andrea Punzi,€ 865,"€ 45,000","€ 46,584",D,19,Italy,Palermo,Serie A,2016-2017
28,Simone Giuliano,€ 673,"€ 35,000","€ 36,232",D,19,Italy,Palermo,Serie A,2016-2017
29,Sebastian Breza,€ 269,"€ 14,000","€ 14,493",K,18,Canada,Palermo,Serie A,2016-2017
30,Leonardo Marson,€ 250,"€ 13,000","€ 13,458",K,18,Italy,Palermo,Serie A,2016-2017
31,Gennaro Ruggiero,€ 250,"€ 13,000","€ 13,458",M,16,Italy,Palermo,Serie A,2016-2017
32,Samuele Guddo,€ 250,"€ 13,000","€ 13,458",K,16,Italy,Palermo,Serie A,2016-2017
33,Robin Quaison,€ 0,€ 0,€ 0,F,22,Sweden,Palermo,Serie A,2016-2017
34,Ouasim Bouy,€ 0,€ 0,€ 0,M,23,Morocco,Palermo,Serie A,2016-2017
35,Sinisa Andelkovic,€ 0,€ 0,€ 0,D,30,Slovenia,Palermo,Serie A,2016-2017
36,Aljaz Struna,€ 0,€ 0,€ 0,D,25,Slovenia,Palermo,Serie A,2016-2017
37,Marco Toscano,€ 0,€ 0,€ 0,M,18,Italy,Palermo,Serie A,2016-2017
38,Achraf Lazaar,€ 0,€ 0,€ 0,D,24,Morocco,Palermo,Serie A,2016-2017
39,Accursio Bentivegna,€ 0,€ 0,€ 0,M,20,Italy,Palermo,Serie A,2016-2017
