,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Alberto Gilardino,"€ 23,846","€ 1,240,000","€ 1,283,643",F,33,Italy,Pescara,Serie A,2016-2017
2,Alberto Aquilani,"€ 20,442","€ 1,063,000","€ 1,100,414",M,31,Italy,Pescara,Serie A,2016-2017
3,Guglielmo Stendardo,"€ 20,442","€ 1,063,000","€ 1,100,414",D,35,Italy,Pescara,Serie A,2016-2017
4,Simone Pepe,"€ 17,038","€ 886,000","€ 917,184",M,32,Italy,Pescara,Serie A,2016-2017
5,Jean-Christophe Bahebeck,"€ 15,327","€ 797,000","€ 825,051",F,23,France,Pescara,Serie A,2016-2017
6,Cesare Bovo,"€ 14,308","€ 744,000","€ 770,186",D,33,Italy,Pescara,Serie A,2016-2017
7,Bryan Cristante,"€ 13,635","€ 709,000","€ 733,954",M,21,Italy,Pescara,Serie A,2016-2017
8,Gianluca Caprari,"€ 13,635","€ 709,000","€ 733,954",F,22,Italy,Pescara,Serie A,2016-2017
9,Sulley Muntari,"€ 11,192","€ 582,000","€ 602,484",M,31,Ghana,Pescara,Serie A,2016-2017
10,Ledian Memushaj,"€ 11,000","€ 572,000","€ 592,132",M,29,Albania,Pescara,Serie A,2016-2017
11,Valerio Verre,"€ 9,173","€ 477,000","€ 493,789",M,22,Italy,Pescara,Serie A,2016-2017
12,Albano Bizzarri,"€ 9,173","€ 477,000","€ 493,789",K,38,Argentina,Pescara,Serie A,2016-2017
13,Francesco Zampano,"€ 9,173","€ 477,000","€ 493,789",D,22,Italy,Pescara,Serie A,2016-2017
14,Hugo Campagnaro,"€ 8,250","€ 429,000","€ 444,099",D,36,Argentina,Pescara,Serie A,2016-2017
15,Michele Fornasier,"€ 7,346","€ 382,000","€ 395,445",D,22,Italy,Pescara,Serie A,2016-2017
16,Ahmad Benali,"€ 7,346","€ 382,000","€ 395,445",M,24,Libya,Pescara,Serie A,2016-2017
17,Alexandru Mitrita,"€ 7,346","€ 382,000","€ 395,445",F,21,Romania,Pescara,Serie A,2016-2017
18,Cristiano Biraghi,"€ 7,346","€ 382,000","€ 395,445",D,23,Italy,Pescara,Serie A,2016-2017
19,Vincenzo Fiorillo,"€ 7,346","€ 382,000","€ 395,445",K,26,Italy,Pescara,Serie A,2016-2017
20,Gastón Brugman,"€ 7,346","€ 382,000","€ 395,445",M,23,Uruguay,Pescara,Serie A,2016-2017
21,Alessandro Crescenzi,"€ 7,346","€ 382,000","€ 395,445",D,24,Italy,Pescara,Serie A,2016-2017
22,Andrea Coda,"€ 6,423","€ 334,000","€ 345,756",D,31,Italy,Pescara,Serie A,2016-2017
23,Grigoris Kastanos,"€ 4,019","€ 209,000","€ 216,356",M,18,Cyprus,Pescara,Serie A,2016-2017
