,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Danilo Cataldi,"€ 52,846","€ 2,748,000","€ 2,812,725",M,22,Italy,Benevento,Serie A,2017-2018
2,Sandro,"€ 33,615","€ 1,748,000","€ 1,789,171",M,28,Brazil,Benevento,Serie A,2017-2018
3,Filip Djuricic,"€ 29,962","€ 1,558,000","€ 1,594,696",F,25,Serbia,Benevento,Serie A,2017-2018
4,Pietro Iemmello,"€ 17,615","€ 916,000","€ 937,575",F,25,Italy,Benevento,Serie A,2017-2018
5,Cheick Diabaté,"€ 16,808","€ 874,000","€ 894,586",F,29,Mali,Benevento,Serie A,2017-2018
6,Achraf Lazaar,"€ 16,673","€ 867,000","€ 887,421",D,25,Morocco,Benevento,Serie A,2017-2018
7,Andrea Costa,"€ 14,096","€ 733,000","€ 750,265",D,31,Italy,Benevento,Serie A,2017-2018
8,Bacary Sagna,"€ 13,827","€ 719,000","€ 735,935",D,34,France,Benevento,Serie A,2017-2018
9,Marco D'Alessandro,"€ 12,346","€ 642,000","€ 657,121",M,26,Italy,Benevento,Serie A,2017-2018
10,Guilherme,"€ 12,327","€ 641,000","€ 656,098",M,26,Brazil,Benevento,Serie A,2017-2018
11,Luca Antei,"€ 12,327","€ 641,000","€ 656,098",D,25,Italy,Benevento,Serie A,2017-2018
12,Gaetano Letizia,"€ 12,327","€ 641,000","€ 656,098",D,27,Italy,Benevento,Serie A,2017-2018
13,Cristiano Lombardi,"€ 8,808","€ 458,000","€ 468,787",F,21,Italy,Benevento,Serie A,2017-2018
14,Vid Belec,"€ 8,808","€ 458,000","€ 468,787",K,27,Slovenia,Benevento,Serie A,2017-2018
15,Massimo Coda,"€ 8,808","€ 458,000","€ 468,787",F,28,Italy,Benevento,Serie A,2017-2018
16,Alin Tosca,"€ 7,442","€ 387,000","€ 396,115",D,25,Romania,Benevento,Serie A,2017-2018
17,Christian Puggioni,"€ 7,058","€ 367,000","€ 375,644",K,36,Italy,Benevento,Serie A,2017-2018
18,Vittorio Parigini,"€ 7,038","€ 366,000","€ 374,621",F,21,Italy,Benevento,Serie A,2017-2018
19,Ledian Memushaj,"€ 7,038","€ 366,000","€ 374,621",M,30,Albania,Benevento,Serie A,2017-2018
20,Alberto Brignoli,"€ 7,038","€ 366,000","€ 374,621",K,25,Italy,Benevento,Serie A,2017-2018
21,Fabio Lucioni,"€ 5,288","€ 275,000","€ 281,477",D,29,Italy,Benevento,Serie A,2017-2018
22,Nicolas Viola,"€ 5,288","€ 275,000","€ 281,477",M,27,Italy,Benevento,Serie A,2017-2018
23,Riccardo Piscitelli,"€ 5,250","€ 273,000","€ 279,430",K,23,Italy,Benevento,Serie A,2017-2018
24,Berat Djimsiti,"€ 4,750","€ 247,000","€ 252,818",D,24,Albania,Benevento,Serie A,2017-2018
25,Lorenzo Venuti,"€ 3,519","€ 183,000","€ 187,310",D,22,Italy,Benevento,Serie A,2017-2018
26,Lorenzo Del Pinto,"€ 3,519","€ 183,000","€ 187,310",M,27,Italy,Benevento,Serie A,2017-2018
27,Enrico Brignola,"€ 1,750","€ 91,000","€ 93,143",F,17,Italy,Benevento,Serie A,2017-2018
28,Bright Gyamfi,"€ 1,750","€ 91,000","€ 93,143",D,21,Ghana,Benevento,Serie A,2017-2018
29,Thomas Candeloro,€ 769,"€ 40,000","€ 40,942",K,17,Switzerland,Benevento,Serie A,2017-2018
30,Alessio Donnarumma,€ 596,"€ 31,000","€ 31,730",M,19,Italy,Benevento,Serie A,2017-2018
31,Christian Rutjens,€ 558,"€ 29,000","€ 29,683",D,19,Spain,Benevento,Serie A,2017-2018
32,Gianluca Volzone,€ 250,"€ 13,000","€ 13,306",K,16,Italy,Benevento,Serie A,2017-2018
33,Giovanni Volpicelli,€ 250,"€ 13,000","€ 13,306",M,17,Italy,Benevento,Serie A,2017-2018
34,Vincenzo Pinto,€ 250,"€ 13,000","€ 13,306",F,16,Italy,Benevento,Serie A,2017-2018
35,Luca Sparandeo,€ 250,"€ 13,000","€ 13,306",D,17,Italy,Benevento,Serie A,2017-2018
36,Michele Camporese,€ 0,€ 0,€ 0,D,25,Italy,Benevento,Serie A,2017-2018
37,Mirko Eramo,€ 0,€ 0,€ 0,M,27,Italy,Benevento,Serie A,2017-2018
38,Raman Chibsah,€ 0,€ 0,€ 0,M,24,Ghana,Benevento,Serie A,2017-2018
39,Gianluca Di Chiara,€ 0,€ 0,€ 0,D,23,Italy,Benevento,Serie A,2017-2018
40,Samuel Armenteros,€ 0,€ 0,€ 0,F,27,Sweden,Benevento,Serie A,2017-2018
41,George Puscas,€ 0,€ 0,€ 0,F,21,Romania,Benevento,Serie A,2017-2018
42,Siriki Sanogo,€ 0,€ 0,€ 0,M,15,Cote d'Ivoire,Benevento,Serie A,2017-2018
43,Fabio Ceravolo,€ 0,€ 0,€ 0,F,30,Italy,Benevento,Serie A,2017-2018
44,Andreaw Gravillon,€ 0,€ 0,€ 0,D,19,Guadeloupe,Benevento,Serie A,2017-2018
45,Amato Ciciretti,€ 0,€ 0,€ 0,F,23,Italy,Benevento,Serie A,2017-2018
46,Mamadou Kanoute,€ 0,€ 0,€ 0,F,23,Senegal,Benevento,Serie A,2017-2018
47,Karamoko Cissé,€ 0,€ 0,€ 0,F,28,Guinea,Benevento,Serie A,2017-2018
48,Jean-Claude Billong,€ 0,€ 0,€ 0,D,23,France,Benevento,Serie A,2017-2018
