,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Emanuele Giaccherini,"€ 26,442","€ 1,375,000","€ 1,407,386",M,32,Italy,Chievo Verona,Serie A,2017-2018
2,Valter Birsa,"€ 22,769","€ 1,184,000","€ 1,211,887",M,30,Slovenia,Chievo Verona,Serie A,2017-2018
3,Riccardo Meggiorini,"€ 19,404","€ 1,009,000","€ 1,032,765",F,31,Italy,Chievo Verona,Serie A,2017-2018
4,Stefano Sorrentino,"€ 19,385","€ 1,008,000","€ 1,031,742",K,38,Italy,Chievo Verona,Serie A,2017-2018
5,Bostjan Cesar,"€ 14,423","€ 750,000","€ 767,665",D,34,Slovenia,Chievo Verona,Serie A,2017-2018
6,Massimo Gobbi,"€ 14,096","€ 733,000","€ 750,265",D,36,Italy,Chievo Verona,Serie A,2017-2018
7,Sergio Pellissier,"€ 12,346","€ 642,000","€ 657,121",F,38,Italy,Chievo Verona,Serie A,2017-2018
8,Alessandro Gamberini,"€ 12,327","€ 641,000","€ 656,098",D,35,Italy,Chievo Verona,Serie A,2017-2018
9,Ivan Radovanovic,"€ 11,654","€ 606,000","€ 620,273",M,28,Serbia,Chievo Verona,Serie A,2017-2018
10,Lucas Castro,"€ 11,385","€ 592,000","€ 605,944",M,28,Argentina,Chievo Verona,Serie A,2017-2018
11,Mariusz Stepinski,"€ 11,250","€ 585,000","€ 598,779",F,22,Poland,Chievo Verona,Serie A,2017-2018
12,Fabrizio Cacciatore,"€ 10,577","€ 550,000","€ 562,954",D,30,Italy,Chievo Verona,Serie A,2017-2018
13,Dario Dainelli,"€ 10,577","€ 550,000","€ 562,954",D,38,Italy,Chievo Verona,Serie A,2017-2018
14,Manuel Pucciarelli,"€ 10,558","€ 549,000","€ 561,931",F,26,Italy,Chievo Verona,Serie A,2017-2018
15,Nicola Rigoni,"€ 8,808","€ 458,000","€ 468,787",M,26,Italy,Chievo Verona,Serie A,2017-2018
16,Andrea Seculin,"€ 7,058","€ 367,000","€ 375,644",K,26,Italy,Chievo Verona,Serie A,2017-2018
17,Roberto Inglese,"€ 7,058","€ 367,000","€ 375,644",F,25,Italy,Chievo Verona,Serie A,2017-2018
18,Gianluca Gaudino,"€ 7,038","€ 366,000","€ 374,621",M,20,Germany,Chievo Verona,Serie A,2017-2018
19,Samuel Bastien,"€ 3,808","€ 198,000","€ 202,664",M,20,Belgium,Chievo Verona,Serie A,2017-2018
20,Pawel Jaroszynski,"€ 3,519","€ 183,000","€ 187,310",D,22,Poland,Chievo Verona,Serie A,2017-2018
21,Mattia Bani,"€ 3,462","€ 180,000","€ 184,240",D,23,Italy,Chievo Verona,Serie A,2017-2018
22,Fabio Depaoli,"€ 3,462","€ 180,000","€ 184,240",D,20,Italy,Chievo Verona,Serie A,2017-2018
23,Alessandro Confente,"€ 1,904","€ 99,000","€ 101,332",K,19,Italy,Chievo Verona,Serie A,2017-2018
24,Mehdi Léris,"€ 1,885","€ 98,000","€ 100,308",M,19,France,Chievo Verona,Serie A,2017-2018
25,Filippo Pavoni,€ 250,"€ 13,000","€ 13,306",K,17,Italy,Chievo Verona,Serie A,2017-2018
26,Emanuel Vignato,€ 250,"€ 13,000","€ 13,306",F,16,Italy,Chievo Verona,Serie A,2017-2018
27,Strahinja Tanasijevic,€ 96,"€ 5,000","€ 5,118",D,20,Serbia,Chievo Verona,Serie A,2017-2018
28,Perparim Hetemaj,€ 0,€ 0,€ 0,M,30,Finland,Chievo Verona,Serie A,2017-2018
29,Nenad Tomović,€ 0,€ 0,€ 0,D,29,Serbia,Chievo Verona,Serie A,2017-2018
30,Michele Rigione,€ 0,€ 0,€ 0,D,26,Italy,Chievo Verona,Serie A,2017-2018
31,Alejandro Rodríguez,€ 0,€ 0,€ 0,F,25,Spain,Chievo Verona,Serie A,2017-2018
32,Antonio Cinelli,€ 0,€ 0,€ 0,M,27,Italy,Chievo Verona,Serie A,2017-2018
33,Sofian Kiyine,€ 0,€ 0,€ 0,M,19,Morocco,Chievo Verona,Serie A,2017-2018
34,Luca Garritano,€ 0,€ 0,€ 0,F,23,Italy,Chievo Verona,Serie A,2017-2018
35,Nicolas Frey,€ 0,€ 0,€ 0,D,33,France,Chievo Verona,Serie A,2017-2018
36,Kevin Yamga,€ 0,€ 0,€ 0,F,20,France,Chievo Verona,Serie A,2017-2018
