,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ante Budimir,"€ 15,846","€ 824,000","€ 843,408",F,25,Croatia,Crotone,Serie A,2017-2018
2,Marcello Trotta,"€ 14,096","€ 733,000","€ 750,265",F,24,Italy,Crotone,Serie A,2017-2018
3,Federico Ricci,"€ 10,558","€ 549,000","€ 561,931",F,23,Italy,Crotone,Serie A,2017-2018
4,Adrian Stoian,"€ 9,865","€ 513,000","€ 525,083",F,26,Romania,Crotone,Serie A,2017-2018
5,Marco Capuano,"€ 8,808","€ 458,000","€ 468,787",D,25,Italy,Crotone,Serie A,2017-2018
6,Arlind Ajeti,"€ 8,808","€ 458,000","€ 468,787",D,23,Albania,Crotone,Serie A,2017-2018
7,Bruno Martella,"€ 8,808","€ 458,000","€ 468,787",D,24,Italy,Crotone,Serie A,2017-2018
8,Federico Ceccherini,"€ 8,808","€ 458,000","€ 468,787",D,25,Italy,Crotone,Serie A,2017-2018
9,Marcus Rohdén,"€ 8,808","€ 458,000","€ 468,787",M,26,Sweden,Crotone,Serie A,2017-2018
10,Daniel Pavlovic,"€ 7,750","€ 403,000","€ 412,492",D,29,Bosnia-Herzegovina,Crotone,Serie A,2017-2018
11,Ahmad Benali,"€ 7,596","€ 395,000","€ 404,304",M,25,Libya,Crotone,Serie A,2017-2018
12,Moussa Diaby,"€ 7,077","€ 368,000","€ 376,668",F,17,France,Crotone,Serie A,2017-2018
13,Marco Festa,"€ 7,038","€ 366,000","€ 374,621",K,25,Italy,Crotone,Serie A,2017-2018
14,Alex Cordaz,"€ 7,038","€ 366,000","€ 374,621",K,34,Italy,Crotone,Serie A,2017-2018
15,Mariano Izco,"€ 7,038","€ 366,000","€ 374,621",M,34,Argentina,Crotone,Serie A,2017-2018
16,Andrea Barberis,"€ 7,038","€ 366,000","€ 374,621",M,23,Italy,Crotone,Serie A,2017-2018
17,Mario Sampirisi,"€ 7,038","€ 366,000","€ 374,621",D,24,Italy,Crotone,Serie A,2017-2018
18,Davide Faraoni,"€ 7,038","€ 366,000","€ 374,621",D,25,Italy,Crotone,Serie A,2017-2018
19,Rolando Mandragora,"€ 7,038","€ 366,000","€ 374,621",M,20,Italy,Crotone,Serie A,2017-2018
20,Simy,"€ 6,346","€ 330,000","€ 337,773",F,25,Nigeria,Crotone,Serie A,2017-2018
21,Marco Tumminello,"€ 6,346","€ 330,000","€ 337,773",F,18,Italy,Crotone,Serie A,2017-2018
22,Andrea Nalini,"€ 6,346","€ 330,000","€ 337,773",F,27,Italy,Crotone,Serie A,2017-2018
23,Stefan Simic,"€ 5,288","€ 275,000","€ 281,477",D,22,Czech Republic,Crotone,Serie A,2017-2018
24,Giovanni Crociata,"€ 3,923","€ 204,000","€ 208,805",M,19,Italy,Crotone,Serie A,2017-2018
25,Luka Markovic,"€ 1,538","€ 80,000","€ 81,884",F,17,Serbia,Crotone,Serie A,2017-2018
26,Aniello Viscovo,"€ 1,058","€ 55,000","€ 56,295",K,18,Italy,Crotone,Serie A,2017-2018
27,Giuseppe Borello,€ 250,"€ 13,000","€ 13,306",F,18,Italy,Crotone,Serie A,2017-2018
28,Giacomo Figliuzzi,€ 250,"€ 13,000","€ 13,306",K,16,Italy,Crotone,Serie A,2017-2018
29,Pasquale Giannotti,€ 250,"€ 13,000","€ 13,306",M,18,Italy,Crotone,Serie A,2017-2018
30,Niccolò Zanellato,€ 250,"€ 13,000","€ 13,306",M,19,Italy,Crotone,Serie A,2017-2018
31,Francesco Latella,€ 250,"€ 13,000","€ 13,306",K,17,Italy,Crotone,Serie A,2017-2018
32,Andrej Kotnik,€ 0,€ 0,€ 0,F,21,Slovenia,Crotone,Serie A,2017-2018
33,Aleksandar Tonev,€ 0,€ 0,€ 0,F,27,Bulgaria,Crotone,Serie A,2017-2018
34,Leandro Cabrera,€ 0,€ 0,€ 0,D,26,Uruguay,Crotone,Serie A,2017-2018
35,Giuseppe Cuomo,€ 0,€ 0,€ 0,D,19,Italy,Crotone,Serie A,2017-2018
36,Cazim Suljic,€ 0,€ 0,€ 0,M,20,Bosnia-Herzegovina,Crotone,Serie A,2017-2018
37,Maxwell Acosty,€ 0,€ 0,€ 0,F,25,Ghana,Crotone,Serie A,2017-2018
38,Aristóteles Romero,€ 0,€ 0,€ 0,M,21,Venezuela,Crotone,Serie A,2017-2018
39,Noë Dussenne,€ 0,€ 0,€ 0,D,25,Belgium,Crotone,Serie A,2017-2018
40,Oliver Kragl,€ 0,€ 0,€ 0,M,27,Germany,Crotone,Serie A,2017-2018
