,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Gastón Ramírez,"€ 45,808","€ 2,382,000","€ 2,438,104",M,26,Uruguay,Sampdoria,Serie A,2017-2018
2,Duván Zapata,"€ 45,808","€ 2,382,000","€ 2,438,104",F,26,Colombia,Sampdoria,Serie A,2017-2018
3,Édgar Barreto,"€ 42,288","€ 2,199,000","€ 2,250,794",M,32,Paraguay,Sampdoria,Serie A,2017-2018
4,Fabio Quagliarella,"€ 42,288","€ 2,199,000","€ 2,250,794",F,34,Italy,Sampdoria,Serie A,2017-2018
5,Dennis Praet,"€ 38,769","€ 2,016,000","€ 2,063,484",M,23,Belgium,Sampdoria,Serie A,2017-2018
6,Lucas Torreira,"€ 35,250","€ 1,833,000","€ 1,876,173",M,21,Uruguay,Sampdoria,Serie A,2017-2018
7,Matías Silvestre,"€ 35,250","€ 1,833,000","€ 1,876,173",D,32,Argentina,Sampdoria,Serie A,2017-2018
8,Ivan Strinic,"€ 35,250","€ 1,833,000","€ 1,876,173",D,29,Croatia,Sampdoria,Serie A,2017-2018
9,Emiliano Viviano,"€ 31,712","€ 1,649,000","€ 1,687,840",K,31,Italy,Sampdoria,Serie A,2017-2018
10,Filip Djuricic,"€ 29,962","€ 1,558,000","€ 1,594,696",F,25,Serbia,Sampdoria,Serie A,2017-2018
11,Dodô,"€ 28,192","€ 1,466,000","€ 1,500,529",D,25,Brazil,Sampdoria,Serie A,2017-2018
12,Jacopo Sala,"€ 28,192","€ 1,466,000","€ 1,500,529",D,25,Italy,Sampdoria,Serie A,2017-2018
13,Gian Marco Ferrari,"€ 24,673","€ 1,283,000","€ 1,313,219",D,25,Italy,Sampdoria,Serie A,2017-2018
14,Gianluca Caprari,"€ 24,673","€ 1,283,000","€ 1,313,219",F,23,Italy,Sampdoria,Serie A,2017-2018
15,Dawid Kownacki,"€ 21,154","€ 1,100,000","€ 1,125,909",F,20,Poland,Sampdoria,Serie A,2017-2018
16,Nicola Murru,"€ 21,154","€ 1,100,000","€ 1,125,909",D,22,Italy,Sampdoria,Serie A,2017-2018
17,Karol Linetty,"€ 17,615","€ 916,000","€ 937,575",M,22,Poland,Sampdoria,Serie A,2017-2018
18,Vasco Regini,"€ 17,615","€ 916,000","€ 937,575",D,26,Italy,Sampdoria,Serie A,2017-2018
19,Valerio Verre,"€ 15,846","€ 824,000","€ 843,408",M,23,Italy,Sampdoria,Serie A,2017-2018
20,Patrik Schick,"€ 14,115","€ 734,000","€ 751,288",F,21,Czech Republic,Sampdoria,Serie A,2017-2018
21,Leonardo Capezzi,"€ 14,096","€ 733,000","€ 750,265",M,22,Italy,Sampdoria,Serie A,2017-2018
22,Bartosz Bereszynski,"€ 14,096","€ 733,000","€ 750,265",D,24,Poland,Sampdoria,Serie A,2017-2018
23,Federico Bonazzoli,"€ 12,327","€ 641,000","€ 656,098",F,20,Italy,Sampdoria,Serie A,2017-2018
24,Joachim Andersen,"€ 10,558","€ 549,000","€ 561,931",D,21,Denmark,Sampdoria,Serie A,2017-2018
25,Vid Belec,"€ 8,808","€ 458,000","€ 468,787",K,27,Slovenia,Sampdoria,Serie A,2017-2018
26,Daniel Pavlovic,"€ 7,750","€ 403,000","€ 412,492",D,29,Bosnia-Herzegovina,Sampdoria,Serie A,2017-2018
27,Christian Puggioni,"€ 7,058","€ 367,000","€ 375,644",K,36,Italy,Sampdoria,Serie A,2017-2018
28,Andrea Tozzo,"€ 2,115","€ 110,000","€ 112,591",K,24,Italy,Sampdoria,Serie A,2017-2018
29,Ognjen Stijepovic,€ 250,"€ 13,000","€ 13,306",F,17,Montenegro,Sampdoria,Serie A,2017-2018
30,Andrea Tessiore,€ 250,"€ 13,000","€ 13,306",M,17,Italy,Sampdoria,Serie A,2017-2018
31,Gergely Hutvágner,€ 250,"€ 13,000","€ 13,306",K,17,Hungary,Sampdoria,Serie A,2017-2018
32,Michal Tomic,€ 250,"€ 13,000","€ 13,306",M,18,Slovakia,Sampdoria,Serie A,2017-2018
33,Titas Krapikas,€ 250,"€ 13,000","€ 13,306",K,18,Lithuania,Sampdoria,Serie A,2017-2018
34,Ibourahima Baldé,€ 250,"€ 13,000","€ 13,306",F,18,Spain,Sampdoria,Serie A,2017-2018
35,Ricciulli,€ 0,€ 0,€ 0,F,17,Guinea-Bissau,Sampdoria,Serie A,2017-2018
36,Emanuel Ercolano,€ 0,€ 0,€ 0,D,14,Italy,Sampdoria,Serie A,2017-2018
37,Maxime Leverbe,€ 0,€ 0,€ 0,D,20,France,Sampdoria,Serie A,2017-2018
38,David Ivan,€ 0,€ 0,€ 0,M,22,Slovakia,Sampdoria,Serie A,2017-2018
39,Ricardo Álvarez,€ 0,€ 0,€ 0,M,29,Argentina,Sampdoria,Serie A,2017-2018
