,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Joel Campbell,"€ 28,481","€ 1,481,000","€ 1,506,673",F,26,Costa Rica,Frosinone,Serie A,2018-2019
2,Marco Sportiello,"€ 21,365","€ 1,111,000","€ 1,130,259",K,26,Italy,Frosinone,Serie A,2018-2019
3,Francesco Bardi,"€ 17,808","€ 926,000","€ 942,052",K,26,Italy,Frosinone,Serie A,2018-2019
4,Edoardo Goldaniga,"€ 17,808","€ 926,000","€ 942,052",D,24,Italy,Frosinone,Serie A,2018-2019
5,Lorenzo Ariaudo,"€ 17,808","€ 926,000","€ 942,052",D,29,Italy,Frosinone,Serie A,2018-2019
6,Emil Hallfredsson,"€ 17,808","€ 926,000","€ 942,052",M,34,Iceland,Frosinone,Serie A,2018-2019
7,Federico Dionisi,"€ 17,808","€ 926,000","€ 942,052",F,31,Italy,Frosinone,Serie A,2018-2019
8,Camillo Ciano,"€ 17,808","€ 926,000","€ 942,052",F,28,Italy,Frosinone,Serie A,2018-2019
9,Cristian Molinaro,"€ 17,808","€ 926,000","€ 942,052",D,34,Italy,Frosinone,Serie A,2018-2019
10,Lorenzo Crisetig,"€ 17,808","€ 926,000","€ 942,052",M,25,Italy,Frosinone,Serie A,2018-2019
11,Daniel Ciofani,"€ 17,808","€ 926,000","€ 942,052",F,32,Italy,Frosinone,Serie A,2018-2019
12,Raman Chibsah,"€ 17,808","€ 926,000","€ 942,052",M,25,Ghana,Frosinone,Serie A,2018-2019
13,Marcello Trotta,"€ 14,519","€ 755,000","€ 768,088",F,25,Italy,Frosinone,Serie A,2018-2019
14,Joaquín Ardaiz,"€ 14,250","€ 741,000","€ 753,845",F,19,Uruguay,Frosinone,Serie A,2018-2019
15,Bartosz Salamon,"€ 14,250","€ 741,000","€ 753,845",D,27,Poland,Frosinone,Serie A,2018-2019
16,Federico Viviani,"€ 12,500","€ 650,000","€ 661,268",M,26,Italy,Frosinone,Serie A,2018-2019
17,Stipe Perica,"€ 10,692","€ 556,000","€ 565,638",F,22,Croatia,Frosinone,Serie A,2018-2019
18,Nicolò Brighenti,"€ 10,692","€ 556,000","€ 565,638",D,28,Italy,Frosinone,Serie A,2018-2019
19,Danilo Soddimo,"€ 10,692","€ 556,000","€ 565,638",M,30,Italy,Frosinone,Serie A,2018-2019
20,Marco Capuano,"€ 10,692","€ 556,000","€ 565,638",D,26,Italy,Frosinone,Serie A,2018-2019
21,Luka Krajnc,"€ 10,692","€ 556,000","€ 565,638",D,23,Slovenia,Frosinone,Serie A,2018-2019
22,Francesco Zampano,"€ 10,692","€ 556,000","€ 565,638",D,24,Italy,Frosinone,Serie A,2018-2019
23,Stefan Simic,"€ 10,673","€ 555,000","€ 564,621",D,23,Czech Republic,Frosinone,Serie A,2018-2019
24,Mirko Gori,"€ 8,904","€ 463,000","€ 471,026",M,25,Italy,Frosinone,Serie A,2018-2019
25,Luca Paganini,"€ 8,904","€ 463,000","€ 471,026",F,25,Italy,Frosinone,Serie A,2018-2019
26,Paolo Sammarco,"€ 8,904","€ 463,000","€ 471,026",M,35,Italy,Frosinone,Serie A,2018-2019
27,Raffaele Maiello,"€ 8,904","€ 463,000","€ 471,026",M,26,Italy,Frosinone,Serie A,2018-2019
28,Rai Vloet,"€ 7,115","€ 370,000","€ 376,414",M,23,Netherlands,Frosinone,Serie A,2018-2019
29,Andrea Beghetto,"€ 7,115","€ 370,000","€ 376,414",M,23,Italy,Frosinone,Serie A,2018-2019
30,Luca Valzania,"€ 5,673","€ 295,000","€ 300,114",M,22,Italy,Frosinone,Serie A,2018-2019
31,Alessandro Iacobucci,"€ 5,346","€ 278,000","€ 282,819",K,27,Italy,Frosinone,Serie A,2018-2019
32,Paolo Ghiglione,"€ 5,346","€ 278,000","€ 282,819",D,21,Italy,Frosinone,Serie A,2018-2019
33,Emmanuel Besea,"€ 2,885","€ 150,000","€ 152,600",M,21,Ghana,Frosinone,Serie A,2018-2019
34,Luca Matarese,"€ 2,846","€ 148,000","€ 150,566",F,20,Italy,Frosinone,Serie A,2018-2019
35,Francesco Cassata,"€ 1,788","€ 93,000","€ 94,612",M,20,Italy,Frosinone,Serie A,2018-2019
36,Andrea Pinamonti,€ 712,"€ 37,000","€ 37,641",F,19,Italy,Frosinone,Serie A,2018-2019
37,Nicola Citro,€ 0,€ 0,€ 0,F,29,Italy,Frosinone,Serie A,2018-2019
38,Alessandro Gori,€ 0,€ 0,€ 0,M,19,Italy,Frosinone,Serie A,2018-2019
39,Pier Paolo Salvati,€ 0,€ 0,€ 0,K,16,Italy,Frosinone,Serie A,2018-2019
40,Michele Volpe,€ 0,€ 0,€ 0,F,20,Italy,Frosinone,Serie A,2018-2019
41,Emanuele Terranova,€ 0,€ 0,€ 0,D,31,Italy,Frosinone,Serie A,2018-2019
42,Giuseppe Marcianò,€ 0,€ 0,€ 0,K,18,Italy,Frosinone,Serie A,2018-2019
43,Francesco Verde,€ 0,€ 0,€ 0,D,18,Italy,Frosinone,Serie A,2018-2019
44,Andrea Errico,€ 0,€ 0,€ 0,M,19,Italy,Frosinone,Serie A,2018-2019
