,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Cristiano Ronaldo,"€ 1,103,981","€ 57,407,000","€ 58,402,148",F,33,Portugal,Juventus,Serie A,2018-2019
2,Gonzalo Higuaín,"€ 338,327","€ 17,593,000","€ 17,897,974",F,30,Argentina,Juventus,Serie A,2018-2019
3,Paulo Dybala,"€ 249,288","€ 12,963,000","€ 13,187,713",F,24,Argentina,Juventus,Serie A,2018-2019
4,Miralem Pjanic,"€ 231,481","€ 12,037,000","€ 12,245,661",M,28,Bosnia-Herzegovina,Juventus,Serie A,2018-2019
5,Douglas Costa,"€ 213,673","€ 11,111,000","€ 11,303,609",F,27,Brazil,Juventus,Serie A,2018-2019
6,Leonardo Bonucci,"€ 195,865","€ 10,185,000","€ 10,361,557",D,31,Italy,Juventus,Serie A,2018-2019
7,Mario Mandzukic,"€ 195,865","€ 10,185,000","€ 10,361,557",F,32,Croatia,Juventus,Serie A,2018-2019
8,Emre Can,"€ 178,058","€ 9,259,000","€ 9,419,504",M,24,Germany,Juventus,Serie A,2018-2019
9,Wojciech Szczesny,"€ 142,442","€ 7,407,000","€ 7,535,400",K,28,Poland,Juventus,Serie A,2018-2019
10,Blaise Matuidi,"€ 142,442","€ 7,407,000","€ 7,535,400",M,31,France,Juventus,Serie A,2018-2019
11,Giorgio Chiellini,"€ 142,442","€ 7,407,000","€ 7,535,400",D,33,Italy,Juventus,Serie A,2018-2019
12,Juan Cuadrado,"€ 142,442","€ 7,407,000","€ 7,535,400",F,30,Colombia,Juventus,Serie A,2018-2019
13,Sami Khedira,"€ 142,442","€ 7,407,000","€ 7,535,400",M,31,Germany,Juventus,Serie A,2018-2019
14,Medhi Benatia,"€ 106,846","€ 5,556,000","€ 5,652,313",D,31,Morocco,Juventus,Serie A,2018-2019
15,Daniele Rugani,"€ 106,846","€ 5,556,000","€ 5,652,313",D,23,Italy,Juventus,Serie A,2018-2019
16,João Cancelo,"€ 106,846","€ 5,556,000","€ 5,652,313",D,24,Portugal,Juventus,Serie A,2018-2019
17,Federico Bernardeschi,"€ 106,846","€ 5,556,000","€ 5,652,313",F,24,Italy,Juventus,Serie A,2018-2019
18,Andrea Barzagli,"€ 106,846","€ 5,556,000","€ 5,652,313",D,37,Italy,Juventus,Serie A,2018-2019
19,Alex Sandro,"€ 99,712","€ 5,185,000","€ 5,274,882",D,27,Brazil,Juventus,Serie A,2018-2019
20,Mattia Perin,"€ 81,904","€ 4,259,000","€ 4,332,830",K,25,Italy,Juventus,Serie A,2018-2019
