,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ciro Immobile,"€ 81,904","€ 4,259,000","€ 4,332,830",F,28,Italy,Lazio,Serie A,2018-2019
2,Lucas Leiva,"€ 81,904","€ 4,259,000","€ 4,332,830",M,31,Brazil,Lazio,Serie A,2018-2019
3,Sergej Milinkovic-Savic,"€ 64,096","€ 3,333,000","€ 3,390,777",M,23,Serbia,Lazio,Serie A,2018-2019
4,Francesco Acerbi,"€ 64,038","€ 3,330,000","€ 3,387,725",D,30,Italy,Lazio,Serie A,2018-2019
5,Felipe Caicedo,"€ 60,538","€ 3,148,000","€ 3,202,570",F,29,Ecuador,Lazio,Serie A,2018-2019
6,Luis Alberto,"€ 53,423","€ 2,778,000","€ 2,826,157",M,25,Spain,Lazio,Serie A,2018-2019
7,Milan Badelj,"€ 53,423","€ 2,778,000","€ 2,826,157",M,29,Croatia,Lazio,Serie A,2018-2019
8,Valon Berisha,"€ 53,423","€ 2,778,000","€ 2,826,157",M,25,Kosovo,Lazio,Serie A,2018-2019
9,Senad Lulic,"€ 49,865","€ 2,593,000","€ 2,637,950",M,32,Bosnia-Herzegovina,Lazio,Serie A,2018-2019
10,Marco Parolo,"€ 49,865","€ 2,593,000","€ 2,637,950",M,33,Italy,Lazio,Serie A,2018-2019
11,Stefan Radu,"€ 49,865","€ 2,593,000","€ 2,637,950",D,31,Romania,Lazio,Serie A,2018-2019
12,Joaquín Correa,"€ 46,288","€ 2,407,000","€ 2,448,725",F,23,Argentina,Lazio,Serie A,2018-2019
13,Riza Durmisi,"€ 39,173","€ 2,037,000","€ 2,072,311",D,24,Denmark,Lazio,Serie A,2018-2019
14,Martín Cáceres,"€ 39,135","€ 2,035,000","€ 2,070,277",D,31,Uruguay,Lazio,Serie A,2018-2019
15,Thomas Strakosha,"€ 35,615","€ 1,852,000","€ 1,884,104",K,23,Albania,Lazio,Serie A,2018-2019
16,Bastos,"€ 35,615","€ 1,852,000","€ 1,884,104",D,27,Angola,Lazio,Serie A,2018-2019
17,Silvio Proto,"€ 35,615","€ 1,852,000","€ 1,884,104",K,35,Belgium,Lazio,Serie A,2018-2019
18,Rômulo,"€ 35,577","€ 1,850,000","€ 1,882,070",M,31,Italy,Lazio,Serie A,2018-2019
19,Wallace,"€ 32,058","€ 1,667,000","€ 1,695,897",D,23,Brazil,Lazio,Serie A,2018-2019
20,Adam Marusic,"€ 28,481","€ 1,481,000","€ 1,506,673",M,25,Montenegro,Lazio,Serie A,2018-2019
21,Patric,"€ 28,481","€ 1,481,000","€ 1,506,673",D,25,Spain,Lazio,Serie A,2018-2019
22,Dusan Basta,"€ 28,481","€ 1,481,000","€ 1,506,673",D,33,Serbia,Lazio,Serie A,2018-2019
23,Jordan Lukaku,"€ 28,481","€ 1,481,000","€ 1,506,673",D,23,Belgium,Lazio,Serie A,2018-2019
24,Davide Di Gennaro,"€ 28,135","€ 1,463,000","€ 1,488,361",M,30,Italy,Lazio,Serie A,2018-2019
25,Luiz Felipe,"€ 24,923","€ 1,296,000","€ 1,318,466",D,21,Brazil,Lazio,Serie A,2018-2019
26,Danilo Cataldi,"€ 24,923","€ 1,296,000","€ 1,318,466",M,23,Italy,Lazio,Serie A,2018-2019
27,Alessandro Murgia,"€ 24,904","€ 1,295,000","€ 1,317,449",M,21,Italy,Lazio,Serie A,2018-2019
28,Ivan Vargic,"€ 17,635","€ 917,000","€ 932,896",K,31,Croatia,Lazio,Serie A,2018-2019
