,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Lorenzo Insigne,"€ 163,827","€ 8,519,000","€ 8,666,676",F,27,Italy,Napoli,Serie A,2018-2019
2,Dries Mertens,"€ 142,442","€ 7,407,000","€ 7,535,400",F,31,Belgium,Napoli,Serie A,2018-2019
3,Marek Hamsik,"€ 124,635","€ 6,481,000","€ 6,593,348",M,30,Slovakia,Napoli,Serie A,2018-2019
4,Kalidou Koulibaly,"€ 124,635","€ 6,481,000","€ 6,593,348",D,27,Senegal,Napoli,Serie A,2018-2019
5,José Callejón,"€ 106,846","€ 5,556,000","€ 5,652,313",F,31,Spain,Napoli,Serie A,2018-2019
6,Arkadiusz Milik,"€ 89,038","€ 4,630,000","€ 4,710,261",F,24,Poland,Napoli,Serie A,2018-2019
7,Faouzi Ghoulam,"€ 85,462","€ 4,444,000","€ 4,521,037",D,27,Algeria,Napoli,Serie A,2018-2019
8,Raúl Albiol,"€ 74,788","€ 3,889,000","€ 3,956,416",D,32,Spain,Napoli,Serie A,2018-2019
9,Allan,"€ 71,231","€ 3,704,000","€ 3,768,209",M,27,Brazil,Napoli,Serie A,2018-2019
10,Simone Verdi,"€ 64,096","€ 3,333,000","€ 3,390,777",F,25,Italy,Napoli,Serie A,2018-2019
11,Mário Rui,"€ 64,096","€ 3,333,000","€ 3,390,777",D,27,Portugal,Napoli,Serie A,2018-2019
12,Vlad Chiriches,"€ 60,538","€ 3,148,000","€ 3,202,570",D,28,Romania,Napoli,Serie A,2018-2019
13,Elseid Hysaj,"€ 56,981","€ 2,963,000","€ 3,014,363",D,24,Albania,Napoli,Serie A,2018-2019
14,Amin Younes,"€ 53,423","€ 2,778,000","€ 2,826,157",F,24,Germany,Napoli,Serie A,2018-2019
15,Fabián Ruiz,"€ 53,423","€ 2,778,000","€ 2,826,157",M,22,Spain,Napoli,Serie A,2018-2019
16,David Ospina,"€ 49,865","€ 2,593,000","€ 2,637,950",K,29,Colombia,Napoli,Serie A,2018-2019
17,Marko Rog,"€ 46,288","€ 2,407,000","€ 2,448,725",M,22,Croatia,Napoli,Serie A,2018-2019
18,Nikola Maksimovic,"€ 42,731","€ 2,222,000","€ 2,260,518",D,26,Serbia,Napoli,Serie A,2018-2019
19,Roberto Inglese,"€ 42,731","€ 2,222,000","€ 2,260,518",F,26,Italy,Napoli,Serie A,2018-2019
20,Lorenzo Tonelli,"€ 39,173","€ 2,037,000","€ 2,072,311",D,28,Italy,Napoli,Serie A,2018-2019
21,Piotr Zielinski,"€ 39,173","€ 2,037,000","€ 2,072,311",M,24,Poland,Napoli,Serie A,2018-2019
22,Alex Meret,"€ 35,615","€ 1,852,000","€ 1,884,104",K,21,Italy,Napoli,Serie A,2018-2019
23,Adam Ounas,"€ 32,058","€ 1,667,000","€ 1,695,897",F,21,Algeria,Napoli,Serie A,2018-2019
24,Alberto Grassi,"€ 28,481","€ 1,481,000","€ 1,506,673",M,23,Italy,Napoli,Serie A,2018-2019
25,Kévin Malcuit,"€ 28,481","€ 1,481,000","€ 1,506,673",D,26,France,Napoli,Serie A,2018-2019
26,Amadou Diawara,"€ 24,923","€ 1,296,000","€ 1,318,466",M,20,Guinea,Napoli,Serie A,2018-2019
27,Luigi Sepe,"€ 17,808","€ 926,000","€ 942,052",K,27,Italy,Napoli,Serie A,2018-2019
28,Orestis Karnezis,"€ 17,808","€ 926,000","€ 942,052",K,32,Greece,Napoli,Serie A,2018-2019
29,Amato Ciciretti,"€ 17,096","€ 889,000","€ 904,411",F,24,Italy,Napoli,Serie A,2018-2019
30,Sebastiano Luperto,"€ 14,250","€ 741,000","€ 753,845",D,21,Italy,Napoli,Serie A,2018-2019
31,Zinédine Machach,"€ 6,654","€ 346,000","€ 351,998",M,22,France,Napoli,Serie A,2018-2019
32,Carlos Vinícius,"€ 5,769","€ 300,000","€ 305,200",F,23,Brazil,Napoli,Serie A,2018-2019
33,Leandrinho,"€ 4,615","€ 240,000","€ 244,160",F,19,Brazil,Napoli,Serie A,2018-2019
34,Umberto Otranto,€ 942,"€ 49,000","€ 49,849",M,20,Italy,Napoli,Serie A,2018-2019
35,Alessio Zerbin,€ 250,"€ 13,000","€ 13,225",F,19,Italy,Napoli,Serie A,2018-2019
36,Raffaele Russo,€ 250,"€ 13,000","€ 13,225",F,19,Italy,Napoli,Serie A,2018-2019
