,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Roberto Inglese,"€ 42,731","€ 2,222,000","€ 2,260,518",F,26,Italy,Parma,Serie A,2018-2019
2,Gervinho,"€ 35,615","€ 1,852,000","€ 1,884,104",F,31,Cote d'Ivoire,Parma,Serie A,2018-2019
3,Juraj Kucka,"€ 34,231","€ 1,780,000","€ 1,810,856",M,31,Slovakia,Parma,Serie A,2018-2019
4,Alberto Grassi,"€ 28,481","€ 1,481,000","€ 1,506,673",M,23,Italy,Parma,Serie A,2018-2019
5,Bruno Alves,"€ 24,923","€ 1,296,000","€ 1,318,466",D,36,Portugal,Parma,Serie A,2018-2019
6,Jonathan Biabiany,"€ 21,365","€ 1,111,000","€ 1,130,259",F,30,France,Parma,Serie A,2018-2019
7,Luca Siligardi,"€ 21,019","€ 1,093,000","€ 1,111,947",F,30,Italy,Parma,Serie A,2018-2019
8,Fabio Ceravolo,"€ 19,596","€ 1,019,000","€ 1,036,664",F,31,Italy,Parma,Serie A,2018-2019
9,Luigi Sepe,"€ 17,808","€ 926,000","€ 942,052",K,27,Italy,Parma,Serie A,2018-2019
10,Amato Ciciretti,"€ 17,096","€ 889,000","€ 904,411",F,24,Italy,Parma,Serie A,2018-2019
11,Jacopo Dezi,"€ 14,250","€ 741,000","€ 753,845",M,26,Italy,Parma,Serie A,2018-2019
12,Alessandro Bastoni,"€ 14,250","€ 741,000","€ 753,845",D,19,Italy,Parma,Serie A,2018-2019
13,Gabriel Brazão,"€ 14,231","€ 740,000","€ 752,828",K,17,Brazil,Parma,Serie A,2018-2019
14,Antonio Di Gaudio,"€ 12,462","€ 648,000","€ 659,233",F,28,Italy,Parma,Serie A,2018-2019
15,Luca Rigoni,"€ 12,462","€ 648,000","€ 659,233",M,33,Italy,Parma,Serie A,2018-2019
16,Yves Baraye,"€ 10,692","€ 556,000","€ 565,638",F,26,Senegal,Parma,Serie A,2018-2019
17,Antonino Barillà,"€ 10,692","€ 556,000","€ 565,638",M,30,Italy,Parma,Serie A,2018-2019
18,Matteo Scozzarella,"€ 10,692","€ 556,000","€ 565,638",M,30,Italy,Parma,Serie A,2018-2019
19,Alessio Da Cruz,"€ 10,692","€ 556,000","€ 565,638",F,21,Netherlands,Parma,Serie A,2018-2019
20,Gianni Munari,"€ 10,692","€ 556,000","€ 565,638",M,35,Italy,Parma,Serie A,2018-2019
21,Abdou Diakhate,"€ 8,942","€ 465,000","€ 473,061",M,19,Senegal,Parma,Serie A,2018-2019
22,Massimo Gobbi,"€ 8,538","€ 444,000","€ 451,697",D,37,Italy,Parma,Serie A,2018-2019
23,Riccardo Gagliolo,"€ 8,192","€ 426,000","€ 433,385",D,28,Italy,Parma,Serie A,2018-2019
24,Leo Stulac,"€ 8,192","€ 426,000","€ 433,385",M,23,Slovenia,Parma,Serie A,2018-2019
25,Marcello Gazzola,"€ 7,827","€ 407,000","€ 414,055",D,33,Italy,Parma,Serie A,2018-2019
26,Federico Dimarco,"€ 7,115","€ 370,000","€ 376,414",D,20,Italy,Parma,Serie A,2018-2019
27,Pierluigi Frattali,"€ 6,769","€ 352,000","€ 358,102",K,32,Italy,Parma,Serie A,2018-2019
28,Simone Iacoponi,"€ 6,404","€ 333,000","€ 338,773",D,31,Italy,Parma,Serie A,2018-2019
29,Mattia Sprocati,"€ 6,404","€ 333,000","€ 338,773",F,25,Italy,Parma,Serie A,2018-2019
30,Giovanni Pinto,"€ 6,346","€ 330,000","€ 335,721",D,26,Italy,Parma,Serie A,2018-2019
31,José Machín,"€ 5,769","€ 300,000","€ 305,200",M,21,Equatorial Guinea,Parma,Serie A,2018-2019
32,Francisco Sierralta,"€ 5,346","€ 278,000","€ 282,819",D,21,Chile,Parma,Serie A,2018-2019
33,Alessandro Deiola,"€ 3,173","€ 165,000","€ 167,860",M,22,Italy,Parma,Serie A,2018-2019
34,Giuseppe Carriero,"€ 2,846","€ 148,000","€ 150,566",M,20,Italy,Parma,Serie A,2018-2019
35,Nicolás Schiappacasse,"€ 2,596","€ 135,000","€ 137,340",F,19,Uruguay,Parma,Serie A,2018-2019
36,Fabrizio Bagheria,€ 481,"€ 25,000","€ 25,433",K,17,Italy,Parma,Serie A,2018-2019
37,Lorenzo Simonetti,€ 0,€ 0,€ 0,M,21,Italy,Parma,Serie A,2018-2019
38,Alessandro Minelli,€ 0,€ 0,€ 0,D,18,Italy,Parma,Serie A,2018-2019
39,Andrea Di Maggio,€ 0,€ 0,€ 0,D,17,Italy,Parma,Serie A,2018-2019
40,Andrea Dini,€ 0,€ 0,€ 0,K,22,Italy,Parma,Serie A,2018-2019
41,Antonio Junior Vacca,€ 0,€ 0,€ 0,M,28,Italy,Parma,Serie A,2018-2019
42,Carl Davordzie,€ 0,€ 0,€ 0,F,18,Ghana,Parma,Serie A,2018-2019
43,Cristian Cauz,€ 0,€ 0,€ 0,D,21,Italy,Parma,Serie A,2018-2019
44,Cristian Galano,€ 0,€ 0,€ 0,F,27,Italy,Parma,Serie A,2018-2019
45,Davide Mastaj,€ 0,€ 0,€ 0,F,20,Italy,Parma,Serie A,2018-2019
46,Drissa Camara,€ 0,€ 0,€ 0,M,16,Cote d'Ivoire,Parma,Serie A,2018-2019
47,Emmanuele Matino,€ 0,€ 0,€ 0,D,19,Italy,Parma,Serie A,2018-2019
48,Facundo Lescano,€ 0,€ 0,€ 0,F,21,Argentina,Parma,Serie A,2018-2019
