,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Andrea Petagna,"€ 42,731","€ 2,222,000","€ 2,260,518",F,23,Italy,Spal,Serie A,2018-2019
2,Alberto Paloschi,"€ 35,615","€ 1,852,000","€ 1,884,104",F,28,Italy,Spal,Serie A,2018-2019
3,Mirko Valdifiori,"€ 24,923","€ 1,296,000","€ 1,318,466",M,32,Italy,Spal,Serie A,2018-2019
4,Simone Missiroli,"€ 24,923","€ 1,296,000","€ 1,318,466",M,32,Italy,Spal,Serie A,2018-2019
5,Alessandro Murgia,"€ 24,904","€ 1,295,000","€ 1,317,449",M,21,Italy,Spal,Serie A,2018-2019
6,Emiliano Viviano,"€ 21,827","€ 1,135,000","€ 1,154,675",K,32,Italy,Spal,Serie A,2018-2019
7,Jasmin Kurtic,"€ 21,365","€ 1,111,000","€ 1,130,259",M,29,Slovenia,Spal,Serie A,2018-2019
8,Vasco Regini,"€ 17,788","€ 925,000","€ 941,035",D,27,Italy,Spal,Serie A,2018-2019
9,Manuel Lazzari,"€ 14,250","€ 741,000","€ 753,845",M,24,Italy,Spal,Serie A,2018-2019
10,Pasquale Schiattarella,"€ 14,250","€ 741,000","€ 753,845",M,31,Italy,Spal,Serie A,2018-2019
11,Bartosz Salamon,"€ 14,250","€ 741,000","€ 753,845",D,27,Poland,Spal,Serie A,2018-2019
12,Mirco Antenucci,"€ 14,250","€ 741,000","€ 753,845",F,33,Italy,Spal,Serie A,2018-2019
13,Francesco Vicari,"€ 14,250","€ 741,000","€ 753,845",D,23,Italy,Spal,Serie A,2018-2019
14,Johan Djourou,"€ 14,250","€ 741,000","€ 753,845",D,31,Switzerland,Spal,Serie A,2018-2019
15,Felipe,"€ 14,250","€ 741,000","€ 753,845",D,33,Brazil,Spal,Serie A,2018-2019
16,Federico Viviani,"€ 12,500","€ 650,000","€ 661,268",M,26,Italy,Spal,Serie A,2018-2019
17,Filippo Costa,"€ 12,462","€ 648,000","€ 659,233",D,23,Italy,Spal,Serie A,2018-2019
18,Sergio Floccari,"€ 10,692","€ 556,000","€ 565,638",F,36,Italy,Spal,Serie A,2018-2019
19,Everton Luiz,"€ 10,692","€ 556,000","€ 565,638",M,30,Brazil,Spal,Serie A,2018-2019
20,Kevin Bonifazi,"€ 10,692","€ 556,000","€ 565,638",D,22,Italy,Spal,Serie A,2018-2019
21,Mattia Valoti,"€ 10,692","€ 556,000","€ 565,638",M,24,Italy,Spal,Serie A,2018-2019
22,Thiago Cionek,"€ 10,692","€ 556,000","€ 565,638",D,32,Poland,Spal,Serie A,2018-2019
23,Marko Jankovic,"€ 9,904","€ 515,000","€ 523,928",F,22,Montenegro,Spal,Serie A,2018-2019
24,Mohamed Fares,"€ 8,904","€ 463,000","€ 471,026",M,22,Algeria,Spal,Serie A,2018-2019
25,Lorenzo Dickmann,"€ 8,904","€ 463,000","€ 471,026",D,21,Italy,Spal,Serie A,2018-2019
26,Alfred Gomis,"€ 8,904","€ 463,000","€ 471,026",K,24,Senegal,Spal,Serie A,2018-2019
27,Vanja Milinković-Savić,"€ 8,904","€ 463,000","€ 471,026",K,21,Serbia,Spal,Serie A,2018-2019
28,Sauli Väisänen,"€ 7,019","€ 365,000","€ 371,327",D,24,Finland,Spal,Serie A,2018-2019
29,Lazar Nikolic,"€ 3,558","€ 185,000","€ 188,207",F,18,Serbia,Spal,Serie A,2018-2019
30,Andrea Fulignati,"€ 3,558","€ 185,000","€ 188,207",K,23,Italy,Spal,Serie A,2018-2019
