,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Andrea Belotti,"€ 64,096","€ 3,333,000","€ 3,390,777",F,24,Italy,Torino,Serie A,2018-2019
2,Simone Zaza,"€ 56,981","€ 2,963,000","€ 3,014,363",F,27,Italy,Torino,Serie A,2018-2019
3,Nicolas N'Koulou,"€ 53,423","€ 2,778,000","€ 2,826,157",D,28,Cameroon,Torino,Serie A,2018-2019
4,Iago Falque,"€ 53,423","€ 2,778,000","€ 2,826,157",F,28,Spain,Torino,Serie A,2018-2019
5,Salvatore Sirigu,"€ 52,846","€ 2,748,000","€ 2,795,636",K,31,Italy,Torino,Serie A,2018-2019
6,Daniele Baselli,"€ 49,865","€ 2,593,000","€ 2,637,950",M,26,Italy,Torino,Serie A,2018-2019
7,Tomás Rincón,"€ 49,865","€ 2,593,000","€ 2,637,950",M,30,Venezuela,Torino,Serie A,2018-2019
8,Cristian Ansaldi,"€ 49,865","€ 2,593,000","€ 2,637,950",D,31,Argentina,Torino,Serie A,2018-2019
9,Roberto Soriano,"€ 49,712","€ 2,585,000","€ 2,629,811",M,27,Italy,Torino,Serie A,2018-2019
10,Adem Ljajic,"€ 49,327","€ 2,565,000","€ 2,609,464",M,26,Serbia,Torino,Serie A,2018-2019
11,Armando Izzo,"€ 46,288","€ 2,407,000","€ 2,448,725",D,26,Italy,Torino,Serie A,2018-2019
12,Soualiho Meïté,"€ 39,173","€ 2,037,000","€ 2,072,311",M,24,France,Torino,Serie A,2018-2019
13,Lorenzo De Silvestri,"€ 32,058","€ 1,667,000","€ 1,695,897",D,30,Italy,Torino,Serie A,2018-2019
14,Álex Berenguer,"€ 24,923","€ 1,296,000","€ 1,318,466",F,22,Spain,Torino,Serie A,2018-2019
15,Mirko Valdifiori,"€ 24,923","€ 1,296,000","€ 1,318,466",M,32,Italy,Torino,Serie A,2018-2019
16,Koffi Djidji,"€ 21,365","€ 1,111,000","€ 1,130,259",D,25,Cote d'Ivoire,Torino,Serie A,2018-2019
