,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Rolando Mandragora,"€ 42,731","€ 2,222,000","€ 2,260,518",M,21,Italy,Udinese,Serie A,2018-2019
2,Sandro,"€ 39,135","€ 2,035,000","€ 2,070,277",M,29,Brazil,Udinese,Serie A,2018-2019
3,Alex Meret,"€ 35,615","€ 1,852,000","€ 1,884,104",K,21,Italy,Udinese,Serie A,2018-2019
4,Danilo,"€ 28,481","€ 1,481,000","€ 1,506,673",D,34,Brazil,Udinese,Serie A,2018-2019
5,Valon Behrami,"€ 28,481","€ 1,481,000","€ 1,506,673",M,33,Switzerland,Udinese,Serie A,2018-2019
6,Jakub Jankto,"€ 28,481","€ 1,481,000","€ 1,506,673",M,22,Czech Republic,Udinese,Serie A,2018-2019
7,Sebastien De Maio,"€ 28,462","€ 1,480,000","€ 1,505,656",D,31,France,Udinese,Serie A,2018-2019
8,Marvin Zeegelaar,"€ 22,308","€ 1,160,000","€ 1,180,109",D,27,Netherlands,Udinese,Serie A,2018-2019
9,Emmanuel Badu,"€ 19,596","€ 1,019,000","€ 1,036,664",M,27,Ghana,Udinese,Serie A,2018-2019
10,Stefano Okaka,"€ 19,519","€ 1,015,000","€ 1,032,595",F,28,Italy,Udinese,Serie A,2018-2019
11,Emil Hallfredsson,"€ 17,808","€ 926,000","€ 942,052",M,34,Iceland,Udinese,Serie A,2018-2019
12,Ignacio Pussetto,"€ 17,808","€ 926,000","€ 942,052",F,22,Argentina,Udinese,Serie A,2018-2019
13,Seko Fofana,"€ 17,808","€ 926,000","€ 942,052",M,23,Cote d'Ivoire,Udinese,Serie A,2018-2019
14,Orestis Karnezis,"€ 17,808","€ 926,000","€ 942,052",K,32,Greece,Udinese,Serie A,2018-2019
15,Kevin Lasagna,"€ 16,019","€ 833,000","€ 847,440",F,25,Italy,Udinese,Serie A,2018-2019
16,Rodrigo de Paul,"€ 16,019","€ 833,000","€ 847,440",F,24,Argentina,Udinese,Serie A,2018-2019
17,Simone Scuffet,"€ 14,250","€ 741,000","€ 753,845",K,22,Italy,Udinese,Serie A,2018-2019
18,Juan Musso,"€ 14,250","€ 741,000","€ 753,845",K,24,Argentina,Udinese,Serie A,2018-2019
19,Lukasz Teodorczyk,"€ 14,250","€ 741,000","€ 753,845",F,27,Poland,Udinese,Serie A,2018-2019
20,Giuseppe Pezzella,"€ 14,231","€ 740,000","€ 752,828",D,20,Italy,Udinese,Serie A,2018-2019
21,Ryder Matos,"€ 14,096","€ 733,000","€ 745,707",F,25,Brazil,Udinese,Serie A,2018-2019
22,Ali Adnan,"€ 12,827","€ 667,000","€ 678,562",D,24,Iraq,Udinese,Serie A,2018-2019
23,William Troost-Ekong,"€ 12,462","€ 648,000","€ 659,233",D,24,Nigeria,Udinese,Serie A,2018-2019
24,Darwin Machís,"€ 12,462","€ 648,000","€ 659,233",F,25,Venezuela,Udinese,Serie A,2018-2019
25,Felipe Vizeu,"€ 12,462","€ 648,000","€ 659,233",F,21,Brazil,Udinese,Serie A,2018-2019
26,Jens Stryger Larsen,"€ 12,462","€ 648,000","€ 659,233",D,27,Denmark,Udinese,Serie A,2018-2019
27,Marco D'Alessandro,"€ 12,462","€ 648,000","€ 659,233",M,27,Italy,Udinese,Serie A,2018-2019
28,Samir,"€ 12,462","€ 648,000","€ 659,233",D,23,Brazil,Udinese,Serie A,2018-2019
29,Molla Wagué,"€ 10,692","€ 556,000","€ 565,638",D,27,Mali,Udinese,Serie A,2018-2019
30,Stipe Perica,"€ 10,692","€ 556,000","€ 565,638",F,22,Croatia,Udinese,Serie A,2018-2019
31,Andrija Balic,"€ 10,692","€ 556,000","€ 565,638",M,20,Croatia,Udinese,Serie A,2018-2019
32,Gabriele Angella,"€ 10,558","€ 549,000","€ 558,517",D,29,Italy,Udinese,Serie A,2018-2019
33,Antonin Barak,"€ 8,904","€ 463,000","€ 471,026",M,23,Czech Republic,Udinese,Serie A,2018-2019
34,Hidde ter Avest,"€ 8,904","€ 463,000","€ 471,026",D,21,Netherlands,Udinese,Serie A,2018-2019
35,Nícolas,"€ 8,904","€ 463,000","€ 471,026",K,30,Brazil,Udinese,Serie A,2018-2019
36,Mamadou Coulibaly,"€ 7,115","€ 370,000","€ 376,414",M,19,Senegal,Udinese,Serie A,2018-2019
37,Nicholas Opoku,"€ 7,115","€ 370,000","€ 376,414",D,20,Ghana,Udinese,Serie A,2018-2019
38,Svante Ingelsson,"€ 7,115","€ 370,000","€ 376,414",F,20,Sweden,Udinese,Serie A,2018-2019
39,Petar Micin,"€ 6,981","€ 363,000","€ 369,293",F,19,Serbia,Udinese,Serie A,2018-2019
40,Gaspar Íñiguez,"€ 6,308","€ 328,000","€ 333,686",M,24,Argentina,Udinese,Serie A,2018-2019
41,Ben Wilmot,"€ 5,577","€ 290,000","€ 295,027",D,18,England,Udinese,Serie A,2018-2019
42,Francisco Sierralta,"€ 5,346","€ 278,000","€ 282,819",D,21,Chile,Udinese,Serie A,2018-2019
43,Simone Pontisso,"€ 3,558","€ 185,000","€ 188,207",M,21,Italy,Udinese,Serie A,2018-2019
44,Bram Nuytinck,"€ 3,558","€ 185,000","€ 188,207",D,28,Netherlands,Udinese,Serie A,2018-2019
45,Samuele Perisan,€ 962,"€ 50,000","€ 50,867",K,20,Italy,Udinese,Serie A,2018-2019
46,Thomas Battistella,€ 250,"€ 13,000","€ 13,225",M,16,Italy,Udinese,Serie A,2018-2019
47,Aly Mallé,€ 0,€ 0,€ 0,F,20,Mali,Udinese,Serie A,2018-2019
48,Pawel Bochniewicz,€ 0,€ 0,€ 0,D,22,Poland,Udinese,Serie A,2018-2019
49,Miloš Bočić,€ 0,€ 0,€ 0,F,18,Serbia,Udinese,Serie A,2018-2019
50,Mauro Coppolaro,€ 0,€ 0,€ 0,D,21,Italy,Udinese,Serie A,2018-2019
51,Manuel Gasparini,€ 0,€ 0,€ 0,K,16,Italy,Udinese,Serie A,2018-2019
52,Emanuele Rovini,€ 0,€ 0,€ 0,F,23,Italy,Udinese,Serie A,2018-2019
53,Filip Vaško,€ 0,€ 0,€ 0,D,18,Slovakia,Udinese,Serie A,2018-2019
54,Riad Bajić,€ 0,€ 0,€ 0,F,24,Bosnia-Herzegovina,Udinese,Serie A,2018-2019
